[1365, 838]
[folio, [614.0, 47.0, 114.0, 18.0], jrBnM1XmGp, 5781719]
[folio, [614.0, 65.0, 114.0, 18.0], jrBnM1XmGp, 5781719]
[ordered-list, [93.0, 139.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 157.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 175.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 193.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 211.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 229.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 247.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 265.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 283.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 301.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 319.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 337.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 355.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 373.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 391.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 409.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 427.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 445.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 463.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 481.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 499.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 517.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 535.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 553.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 571.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 589.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 607.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 625.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 643.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 661.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 679.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 697.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 715.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 733.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 751.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 769.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 787.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 805.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 823.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 841.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 859.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 877.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 895.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 913.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 931.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 949.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 967.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 985.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [93.0, 1003.0, 650.0, 18.0], shoonya_0sZ263G3CRX1UV, 5781719]
[ordered-list, [88.0, 1035.0, 653.0, 18.0], shoonya_3sYD0OLIR1NTWV, 5781719]
[ordered-list, [88.0, 1053.0, 653.0, 18.0], shoonya_3sYD0OLIR1NTWV, 5781719]
[ordered-list, [88.0, 1071.0, 653.0, 18.0], shoonya_3sYD0OLIR1NTWV, 5781719]
[ordered-list, [88.0, 1089.0, 653.0, 18.0], shoonya_3sYD0OLIR1NTWV, 5781719]
[ordered-list, [88.0, 1107.0, 653.0, 18.0], shoonya_3sYD0OLIR1NTWV, 5781719]
[ordered-list, [88.0, 1125.0, 653.0, 18.0], shoonya_3sYD0OLIR1NTWV, 5781719]
[ordered-list, [88.0, 1143.0, 653.0, 18.0], shoonya_3sYD0OLIR1NTWV, 5781719]
[ordered-list, [88.0, 1161.0, 653.0, 18.0], shoonya_3sYD0OLIR1NTWV, 5781719]
[ordered-list, [88.0, 1179.0, 653.0, 18.0], shoonya_3sYD0OLIR1NTWV, 5781719]
[ordered-list, [88.0, 1197.0, 653.0, 18.0], shoonya_3sYD0OLIR1NTWV, 5781719]
[sub-ordered-list, [97.0, 1074.0, 640.0, 18.0], shoonya_1s47TOZTHUPSHI, 5781719]
[sub-ordered-list, [97.0, 1092.0, 640.0, 18.0], shoonya_1s47TOZTHUPSHI, 5781719]
[sub-ordered-list, [97.0, 1110.0, 640.0, 18.0], shoonya_1s47TOZTHUPSHI, 5781719]
[sub-ordered-list, [97.0, 1128.0, 640.0, 18.0], shoonya_1s47TOZTHUPSHI, 5781719]
[sub-ordered-list, [97.0, 1146.0, 640.0, 18.0], shoonya_1s47TOZTHUPSHI, 5781719]
