[792, 612]
[folio, [249.0, 49.0, 71.0, 18.0], CuiVr4iXx8, 6493022]
[paragraph, [86.0, 90.0, 398.0, 18.0], omj3qO0eRP, 6493022]
[paragraph, [86.0, 108.0, 398.0, 18.0], omj3qO0eRP, 6493022]
[paragraph, [88.0, 133.0, 392.0, 18.0], _Rfhw9E8BO, 6493022]
[paragraph, [88.0, 151.0, 392.0, 18.0], _Rfhw9E8BO, 6493022]
[paragraph, [88.0, 169.0, 392.0, 18.0], _Rfhw9E8BO, 6493022]
[paragraph, [88.0, 187.0, 392.0, 18.0], _Rfhw9E8BO, 6493022]
[paragraph, [88.0, 205.0, 392.0, 18.0], _Rfhw9E8BO, 6493022]
[paragraph, [88.0, 223.0, 392.0, 18.0], _Rfhw9E8BO, 6493022]
[paragraph, [83.0, 253.0, 395.0, 18.0], vXhNmj-1p2, 6493022]
[paragraph, [83.0, 271.0, 395.0, 18.0], vXhNmj-1p2, 6493022]
[paragraph, [78.0, 292.0, 405.0, 18.0], ubgDFaTbPp, 6493022]
[paragraph, [78.0, 310.0, 405.0, 18.0], ubgDFaTbPp, 6493022]
[paragraph, [85.0, 331.0, 399.0, 18.0], 499R1j5kxs, 6493022]
[paragraph, [85.0, 349.0, 399.0, 18.0], 499R1j5kxs, 6493022]
[paragraph, [85.0, 367.0, 399.0, 18.0], 499R1j5kxs, 6493022]
[paragraph, [85.0, 385.0, 399.0, 18.0], 499R1j5kxs, 6493022]
[paragraph, [85.0, 403.0, 399.0, 18.0], 499R1j5kxs, 6493022]
[paragraph, [85.0, 421.0, 399.0, 18.0], 499R1j5kxs, 6493022]
[paragraph, [85.0, 439.0, 399.0, 18.0], 499R1j5kxs, 6493022]
[paragraph, [85.0, 457.0, 399.0, 18.0], 499R1j5kxs, 6493022]
[paragraph, [85.0, 475.0, 399.0, 18.0], 499R1j5kxs, 6493022]
[paragraph, [85.0, 493.0, 399.0, 18.0], 499R1j5kxs, 6493022]
[paragraph, [83.0, 532.0, 398.0, 18.0], yUpKxa1F4Q, 6493022]
[paragraph, [83.0, 550.0, 398.0, 18.0], yUpKxa1F4Q, 6493022]
[paragraph, [83.0, 568.0, 398.0, 18.0], yUpKxa1F4Q, 6493022]
[paragraph, [92.0, 593.0, 389.0, 18.0], pFNbke0v2f, 6493022]
[paragraph, [92.0, 611.0, 389.0, 18.0], pFNbke0v2f, 6493022]
[paragraph, [92.0, 629.0, 389.0, 18.0], pFNbke0v2f, 6493022]
[paragraph, [85.0, 651.0, 396.0, 18.0], pfG0D40uJB, 6493022]
[paragraph, [85.0, 669.0, 396.0, 18.0], pfG0D40uJB, 6493022]
