[2304, 1656]
[section-title, [296.0, 229.0, 400.0, 52.5], vBjiHuWQve, 5699298]
[paragraph, [297.0, 296.0, 1187.0, 36.0], shoonya_0sTO6LIMQAVT3O, 5699298]
[paragraph, [297.0, 332.0, 1187.0, 36.0], shoonya_0sTO6LIMQAVT3O, 5699298]
[paragraph, [297.0, 368.0, 1187.0, 36.0], shoonya_0sTO6LIMQAVT3O, 5699298]
[paragraph, [297.0, 404.0, 1187.0, 36.0], shoonya_0sTO6LIMQAVT3O, 5699298]
[paragraph, [297.0, 440.0, 1187.0, 36.0], shoonya_0sTO6LIMQAVT3O, 5699298]
[paragraph, [297.0, 476.0, 1187.0, 36.0], shoonya_0sTO6LIMQAVT3O, 5699298]
[paragraph, [297.0, 512.0, 1187.0, 36.0], shoonya_0sTO6LIMQAVT3O, 5699298]
[paragraph, [297.0, 548.0, 1187.0, 36.0], shoonya_0sTO6LIMQAVT3O, 5699298]
[paragraph, [297.0, 584.0, 1187.0, 36.0], shoonya_0sTO6LIMQAVT3O, 5699298]
[paragraph, [302.0, 693.0, 672.0, 36.0], XlzLcop6p4, 5699298]
[paragraph, [302.0, 729.0, 672.0, 36.0], XlzLcop6p4, 5699298]
[section-title, [312.0, 827.0, 451.0, 52.5], shoonya_6sMD7SFSY3CVTT, 5699298]
[paragraph, [309.0, 946.0, 1183.0, 36.0], shoonya_1sMNCMMQVKQ2S6, 5699298]
[paragraph, [309.0, 982.0, 1183.0, 36.0], shoonya_1sMNCMMQVKQ2S6, 5699298]
[paragraph, [309.0, 1018.0, 1183.0, 36.0], shoonya_1sMNCMMQVKQ2S6, 5699298]
[paragraph, [309.0, 1054.0, 1183.0, 36.0], shoonya_1sMNCMMQVKQ2S6, 5699298]
[paragraph, [309.0, 1090.0, 1183.0, 36.0], shoonya_1sMNCMMQVKQ2S6, 5699298]
[paragraph, [309.0, 1126.0, 1183.0, 36.0], shoonya_1sMNCMMQVKQ2S6, 5699298]
[paragraph, [311.0, 1248.0, 1176.0, 36.0], shoonya_3sFLIAZI8GRA0U, 5699298]
[paragraph, [311.0, 1284.0, 1176.0, 36.0], shoonya_3sFLIAZI8GRA0U, 5699298]
[paragraph, [311.0, 1320.0, 1176.0, 36.0], shoonya_3sFLIAZI8GRA0U, 5699298]
[paragraph, [311.0, 1356.0, 1176.0, 36.0], shoonya_3sFLIAZI8GRA0U, 5699298]
[paragraph, [292.0, 1474.0, 691.0, 36.0], hfdalAp9_C, 5699298]
[section-title, [298.0, 1593.0, 797.0, 52.5], IQIkLT9ikv, 5699298]
[paragraph, [309.0, 1723.0, 1178.0, 36.0], shoonya_2sHMHT0FM7244S, 5699298]
[paragraph, [309.0, 1759.0, 1178.0, 36.0], shoonya_2sHMHT0FM7244S, 5699298]
[paragraph, [309.0, 1795.0, 1178.0, 36.0], shoonya_2sHMHT0FM7244S, 5699298]
[paragraph, [309.0, 1831.0, 1178.0, 36.0], shoonya_2sHMHT0FM7244S, 5699298]
[paragraph, [309.0, 1867.0, 1178.0, 36.0], shoonya_2sHMHT0FM7244S, 5699298]
[paragraph, [309.0, 1903.0, 1178.0, 36.0], shoonya_2sHMHT0FM7244S, 5699298]
[paragraph, [309.0, 1939.0, 1178.0, 36.0], shoonya_2sHMHT0FM7244S, 5699298]
[paragraph, [309.0, 1975.0, 1178.0, 36.0], shoonya_2sHMHT0FM7244S, 5699298]
[paragraph, [309.0, 2011.0, 1178.0, 36.0], shoonya_2sHMHT0FM7244S, 5699298]
