[1008, 612]
[ordered-list, [175.0, 69.0, 379.0, 18.0], shoonya_0sX4073QI4L9I1, 5717488]
[ordered-list, [175.0, 87.0, 379.0, 18.0], shoonya_0sX4073QI4L9I1, 5717488]
[ordered-list, [175.0, 105.0, 379.0, 18.0], shoonya_0sX4073QI4L9I1, 5717488]
[ordered-list, [175.0, 123.0, 379.0, 18.0], shoonya_0sX4073QI4L9I1, 5717488]
[ordered-list, [175.0, 141.0, 379.0, 18.0], shoonya_0sX4073QI4L9I1, 5717488]
[ordered-list, [65.0, 182.0, 491.0, 18.0], XbosJ8FCcR, 5717488]
[ordered-list, [65.0, 200.0, 491.0, 18.0], XbosJ8FCcR, 5717488]
[ordered-list, [65.0, 218.0, 491.0, 18.0], XbosJ8FCcR, 5717488]
[ordered-list, [65.0, 236.0, 491.0, 18.0], XbosJ8FCcR, 5717488]
[ordered-list, [65.0, 254.0, 491.0, 18.0], XbosJ8FCcR, 5717488]
[ordered-list, [65.0, 272.0, 491.0, 18.0], XbosJ8FCcR, 5717488]
[ordered-list, [65.0, 290.0, 491.0, 18.0], XbosJ8FCcR, 5717488]
[ordered-list, [65.0, 308.0, 491.0, 18.0], XbosJ8FCcR, 5717488]
[ordered-list, [65.0, 326.0, 491.0, 18.0], XbosJ8FCcR, 5717488]
[ordered-list, [65.0, 344.0, 491.0, 18.0], XbosJ8FCcR, 5717488]
[ordered-list, [65.0, 362.0, 491.0, 18.0], XbosJ8FCcR, 5717488]
[ordered-list, [65.0, 380.0, 491.0, 18.0], XbosJ8FCcR, 5717488]
[ordered-list, [65.0, 398.0, 491.0, 18.0], XbosJ8FCcR, 5717488]
[ordered-list, [65.0, 416.0, 491.0, 18.0], XbosJ8FCcR, 5717488]
[sub-ordered-list, [114.0, 256.0, 439.0, 18.0], KmStrWwXtX, 5717488]
[sub-ordered-list, [114.0, 274.0, 439.0, 18.0], KmStrWwXtX, 5717488]
[sub-ordered-list, [114.0, 292.0, 439.0, 18.0], KmStrWwXtX, 5717488]
[sub-ordered-list, [114.0, 310.0, 439.0, 18.0], KmStrWwXtX, 5717488]
[sub-ordered-list, [114.0, 328.0, 439.0, 18.0], KmStrWwXtX, 5717488]
[sub-ordered-list, [114.0, 346.0, 439.0, 18.0], KmStrWwXtX, 5717488]
[sub-ordered-list, [114.0, 364.0, 439.0, 18.0], KmStrWwXtX, 5717488]
[sub-ordered-list, [114.0, 382.0, 439.0, 18.0], KmStrWwXtX, 5717488]
[sub-ordered-list, [114.0, 400.0, 439.0, 18.0], KmStrWwXtX, 5717488]
[sub-ordered-list, [114.0, 418.0, 439.0, 18.0], KmStrWwXtX, 5717488]
[paragraph, [116.0, 452.0, 428.0, 18.0], yOuGajtfvH, 5717488]
[paragraph, [116.0, 470.0, 428.0, 18.0], yOuGajtfvH, 5717488]
[paragraph, [116.0, 488.0, 428.0, 18.0], yOuGajtfvH, 5717488]
[ordered-list, [91.0, 511.0, 460.0, 18.0], sNXutSHuGI, 5717488]
[ordered-list, [91.0, 529.0, 460.0, 18.0], sNXutSHuGI, 5717488]
[ordered-list, [91.0, 547.0, 460.0, 18.0], sNXutSHuGI, 5717488]
[ordered-list, [91.0, 565.0, 460.0, 18.0], sNXutSHuGI, 5717488]
[ordered-list, [91.0, 583.0, 460.0, 18.0], sNXutSHuGI, 5717488]
[ordered-list, [91.0, 601.0, 460.0, 18.0], sNXutSHuGI, 5717488]
[ordered-list, [91.0, 619.0, 460.0, 18.0], sNXutSHuGI, 5717488]
[ordered-list, [91.0, 637.0, 460.0, 18.0], sNXutSHuGI, 5717488]
[ordered-list, [91.0, 655.0, 460.0, 18.0], sNXutSHuGI, 5717488]
[ordered-list, [91.0, 673.0, 460.0, 18.0], sNXutSHuGI, 5717488]
[ordered-list, [91.0, 691.0, 460.0, 18.0], sNXutSHuGI, 5717488]
[ordered-list, [91.0, 709.0, 460.0, 18.0], sNXutSHuGI, 5717488]
[ordered-list, [91.0, 727.0, 460.0, 18.0], sNXutSHuGI, 5717488]
[ordered-list, [91.0, 745.0, 460.0, 18.0], sNXutSHuGI, 5717488]
[ordered-list, [91.0, 763.0, 460.0, 18.0], sNXutSHuGI, 5717488]
[sub-ordered-list, [83.0, 600.0, 469.0, 18.0], YTRf3O0fxY, 5717488]
[sub-ordered-list, [83.0, 618.0, 469.0, 18.0], YTRf3O0fxY, 5717488]
[sub-ordered-list, [83.0, 636.0, 469.0, 18.0], YTRf3O0fxY, 5717488]
[sub-ordered-list, [83.0, 654.0, 469.0, 18.0], YTRf3O0fxY, 5717488]
[sub-ordered-list, [83.0, 672.0, 469.0, 18.0], YTRf3O0fxY, 5717488]
[sub-ordered-list, [83.0, 690.0, 469.0, 18.0], YTRf3O0fxY, 5717488]
[sub-ordered-list, [83.0, 708.0, 469.0, 18.0], YTRf3O0fxY, 5717488]
[sub-ordered-list, [83.0, 726.0, 469.0, 18.0], YTRf3O0fxY, 5717488]
[sub-ordered-list, [83.0, 744.0, 469.0, 18.0], YTRf3O0fxY, 5717488]
[sub-ordered-list, [83.0, 762.0, 469.0, 18.0], YTRf3O0fxY, 5717488]
