[792, 612]
[section-title, [273.0, 110.0, 77.0, 30.0], iW6wbVF39u, 6494006]
[paragraph, [160.0, 158.0, 139.0, 18.0], Z48ZkB6CD6, 6494006]
[paragraph, [108.0, 182.0, 408.0, 18.0], shoonya_0s4Z6UPJP46IYH, 6494006]
[paragraph, [108.0, 200.0, 408.0, 18.0], shoonya_0s4Z6UPJP46IYH, 6494006]
[paragraph, [108.0, 218.0, 408.0, 18.0], shoonya_0s4Z6UPJP46IYH, 6494006]
[paragraph, [108.0, 236.0, 408.0, 18.0], shoonya_0s4Z6UPJP46IYH, 6494006]
[paragraph, [108.0, 254.0, 408.0, 18.0], shoonya_0s4Z6UPJP46IYH, 6494006]
[paragraph, [108.0, 272.0, 408.0, 18.0], shoonya_0s4Z6UPJP46IYH, 6494006]
[paragraph, [108.0, 290.0, 408.0, 18.0], shoonya_0s4Z6UPJP46IYH, 6494006]
[paragraph, [108.0, 308.0, 408.0, 18.0], shoonya_0s4Z6UPJP46IYH, 6494006]
[paragraph, [108.0, 326.0, 408.0, 18.0], shoonya_0s4Z6UPJP46IYH, 6494006]
[paragraph, [108.0, 344.0, 408.0, 18.0], shoonya_0s4Z6UPJP46IYH, 6494006]
[paragraph, [108.0, 362.0, 408.0, 18.0], shoonya_0s4Z6UPJP46IYH, 6494006]
[paragraph, [108.0, 380.0, 408.0, 18.0], shoonya_0s4Z6UPJP46IYH, 6494006]
[paragraph, [108.0, 398.0, 408.0, 18.0], shoonya_0s4Z6UPJP46IYH, 6494006]
[paragraph, [108.0, 423.0, 398.0, 18.0], CAjytwdIuM, 6494006]
[paragraph, [108.0, 441.0, 398.0, 18.0], CAjytwdIuM, 6494006]
[paragraph, [108.0, 459.0, 398.0, 18.0], CAjytwdIuM, 6494006]
[paragraph, [108.0, 477.0, 398.0, 18.0], CAjytwdIuM, 6494006]
[paragraph, [108.0, 495.0, 398.0, 18.0], CAjytwdIuM, 6494006]
[paragraph, [108.0, 513.0, 398.0, 18.0], CAjytwdIuM, 6494006]
[paragraph, [108.0, 531.0, 398.0, 18.0], CAjytwdIuM, 6494006]
[paragraph, [108.0, 549.0, 398.0, 18.0], CAjytwdIuM, 6494006]
[paragraph, [108.0, 567.0, 398.0, 18.0], CAjytwdIuM, 6494006]
[paragraph, [108.0, 585.0, 398.0, 18.0], CAjytwdIuM, 6494006]
[paragraph, [108.0, 603.0, 398.0, 18.0], CAjytwdIuM, 6494006]
[paragraph, [108.0, 621.0, 398.0, 18.0], CAjytwdIuM, 6494006]
[paragraph, [107.0, 642.0, 395.0, 18.0], 8t1yyiOwjw, 6494006]
[paragraph, [107.0, 660.0, 395.0, 18.0], 8t1yyiOwjw, 6494006]
[paragraph, [107.0, 678.0, 395.0, 18.0], 8t1yyiOwjw, 6494006]
[paragraph, [107.0, 696.0, 395.0, 18.0], 8t1yyiOwjw, 6494006]
[paragraph, [107.0, 714.0, 395.0, 18.0], 8t1yyiOwjw, 6494006]
