[634, 407]
[paragraph, [43.0, 48.0, 334.0, 18.0], shoonya_3sZJUIVLKAYZSV, 6533733]
[paragraph, [43.0, 66.0, 334.0, 18.0], shoonya_3sZJUIVLKAYZSV, 6533733]
[paragraph, [43.0, 84.0, 334.0, 18.0], shoonya_3sZJUIVLKAYZSV, 6533733]
[paragraph, [43.0, 102.0, 334.0, 18.0], shoonya_3sZJUIVLKAYZSV, 6533733]
[paragraph, [43.0, 120.0, 334.0, 18.0], shoonya_3sZJUIVLKAYZSV, 6533733]
[paragraph, [43.0, 138.0, 334.0, 18.0], shoonya_3sZJUIVLKAYZSV, 6533733]
[paragraph, [43.0, 156.0, 334.0, 18.0], shoonya_3sZJUIVLKAYZSV, 6533733]
[paragraph, [43.0, 174.0, 334.0, 18.0], shoonya_3sZJUIVLKAYZSV, 6533733]
[paragraph, [43.0, 210.0, 334.0, 18.0], shoonya_1sMVGN58QCAH9D, 6533733]
[paragraph, [43.0, 228.0, 334.0, 18.0], shoonya_1sMVGN58QCAH9D, 6533733]
[paragraph, [43.0, 246.0, 334.0, 18.0], shoonya_1sMVGN58QCAH9D, 6533733]
[paragraph, [43.0, 264.0, 334.0, 18.0], shoonya_1sMVGN58QCAH9D, 6533733]
[paragraph, [43.0, 282.0, 334.0, 18.0], shoonya_1sMVGN58QCAH9D, 6533733]
[paragraph, [43.0, 300.0, 334.0, 18.0], shoonya_1sMVGN58QCAH9D, 6533733]
[paragraph, [43.0, 318.0, 334.0, 18.0], shoonya_1sMVGN58QCAH9D, 6533733]
[paragraph, [106.0, 337.0, 197.0, 18.0], shoonya_5sUZHVD970OKDQ, 6533733]
[paragraph, [46.0, 363.0, 332.0, 18.0], B9P7H5BY0E, 6533733]
[paragraph, [43.0, 397.0, 336.0, 18.0], shoonya_0s4TZVX5FJCSFS, 6533733]
[paragraph, [43.0, 415.0, 336.0, 18.0], shoonya_0s4TZVX5FJCSFS, 6533733]
[paragraph, [43.0, 433.0, 336.0, 18.0], shoonya_0s4TZVX5FJCSFS, 6533733]
[paragraph, [43.0, 451.0, 336.0, 18.0], shoonya_0s4TZVX5FJCSFS, 6533733]
[paragraph, [43.0, 469.0, 336.0, 18.0], shoonya_0s4TZVX5FJCSFS, 6533733]
[paragraph, [43.0, 487.0, 336.0, 18.0], shoonya_0s4TZVX5FJCSFS, 6533733]
[paragraph, [43.0, 505.0, 336.0, 18.0], shoonya_0s4TZVX5FJCSFS, 6533733]
[paragraph, [43.0, 523.0, 336.0, 18.0], shoonya_0s4TZVX5FJCSFS, 6533733]
[paragraph, [43.0, 541.0, 336.0, 18.0], shoonya_0s4TZVX5FJCSFS, 6533733]
[paragraph, [43.0, 559.0, 336.0, 18.0], shoonya_0s4TZVX5FJCSFS, 6533733]
