[3508, 2481]
[section-title, [844.0, 104.0, 764.0, 93.0], shoonya_0sJO34W3XTQNKZ, 6534553]
[dateline, [1836.0, 516.0, 409.0, 52.5], bzQWddZtg9, 6534553]
[paragraph, [228.0, 785.0, 294.0, 52.5], 4ztGjN7J3g, 6534553]
[paragraph, [215.0, 898.0, 2039.0, 52.5], aqmN37wvl9, 6534553]
[paragraph, [215.0, 950.5, 2039.0, 52.5], aqmN37wvl9, 6534553]
[paragraph, [215.0, 1003.0, 2039.0, 52.5], aqmN37wvl9, 6534553]
[paragraph, [215.0, 1055.5, 2039.0, 52.5], aqmN37wvl9, 6534553]
[paragraph, [215.0, 1108.0, 2039.0, 52.5], aqmN37wvl9, 6534553]
[paragraph, [215.0, 1160.5, 2039.0, 52.5], aqmN37wvl9, 6534553]
[section-title, [222.0, 1364.0, 581.0, 93.0], -P1Gns3Hwm, 6534553]
[unordered-list, [212.0, 1514.0, 1279.0, 52.5], vU-1OOmBaI, 6534553]
[unordered-list, [212.0, 1566.5, 1279.0, 52.5], vU-1OOmBaI, 6534553]
[unordered-list, [212.0, 1619.0, 1279.0, 52.5], vU-1OOmBaI, 6534553]
[placeholder-text, [1924.0, 1938.0, 344.0, 18.0], vqTQgDmsVJ, 6534553]
[placeholder-text, [1924.0, 1956.0, 344.0, 18.0], vqTQgDmsVJ, 6534553]
[placeholder-text, [1924.0, 1974.0, 344.0, 18.0], vqTQgDmsVJ, 6534553]
[placeholder-text, [1924.0, 1992.0, 344.0, 18.0], vqTQgDmsVJ, 6534553]
[placeholder-text, [1924.0, 2010.0, 344.0, 18.0], vqTQgDmsVJ, 6534553]
[placeholder-text, [1924.0, 2028.0, 344.0, 18.0], vqTQgDmsVJ, 6534553]
[placeholder-text, [1924.0, 2046.0, 344.0, 18.0], vqTQgDmsVJ, 6534553]
[placeholder-text, [1924.0, 2064.0, 344.0, 18.0], vqTQgDmsVJ, 6534553]
[placeholder-text, [1924.0, 2082.0, 344.0, 18.0], vqTQgDmsVJ, 6534553]
[placeholder-text, [1924.0, 2100.0, 344.0, 18.0], vqTQgDmsVJ, 6534553]
[placeholder-text, [1924.0, 2118.0, 344.0, 18.0], vqTQgDmsVJ, 6534553]
[placeholder-text, [1924.0, 2136.0, 344.0, 18.0], vqTQgDmsVJ, 6534553]
[placeholder-text, [1924.0, 2154.0, 344.0, 18.0], vqTQgDmsVJ, 6534553]
[placeholder-text, [1924.0, 2172.0, 344.0, 18.0], vqTQgDmsVJ, 6534553]
[placeholder-text, [1924.0, 2190.0, 344.0, 18.0], vqTQgDmsVJ, 6534553]
[placeholder-text, [1924.0, 2208.0, 344.0, 18.0], vqTQgDmsVJ, 6534553]
[placeholder-text, [1924.0, 2226.0, 344.0, 18.0], vqTQgDmsVJ, 6534553]
[contact-info, [225.0, 3273.0, 547.0, 52.5], oWPrWsQWXO, 6534553]
