[1050, 693]
[folio, [523.0, 71.0, 87.0, 18.0], LfrjNKKzAy, 5702200]
[folio, [523.0, 89.0, 87.0, 18.0], LfrjNKKzAy, 5702200]
[paragraph, [83.0, 120.0, 527.0, 18.0], ubHhNVqdts, 5702200]
[paragraph, [83.0, 138.0, 527.0, 18.0], ubHhNVqdts, 5702200]
[paragraph, [83.0, 156.0, 527.0, 18.0], ubHhNVqdts, 5702200]
[paragraph, [83.0, 174.0, 527.0, 18.0], ubHhNVqdts, 5702200]
[paragraph, [83.0, 192.0, 527.0, 18.0], ubHhNVqdts, 5702200]
[paragraph, [83.0, 210.0, 527.0, 18.0], ubHhNVqdts, 5702200]
[paragraph, [83.0, 228.0, 527.0, 18.0], ubHhNVqdts, 5702200]
[paragraph, [80.0, 258.0, 534.0, 18.0], UWvdz2bRaE, 5702200]
[paragraph, [80.0, 276.0, 534.0, 18.0], UWvdz2bRaE, 5702200]
[paragraph, [80.0, 294.0, 534.0, 18.0], UWvdz2bRaE, 5702200]
[paragraph, [80.0, 336.0, 536.0, 18.0], B4TZE1ob2h, 5702200]
[paragraph, [80.0, 354.0, 536.0, 18.0], B4TZE1ob2h, 5702200]
[paragraph, [80.0, 372.0, 536.0, 18.0], B4TZE1ob2h, 5702200]
[paragraph, [80.0, 390.0, 536.0, 18.0], B4TZE1ob2h, 5702200]
[paragraph, [80.0, 408.0, 536.0, 18.0], B4TZE1ob2h, 5702200]
[paragraph, [80.0, 426.0, 536.0, 18.0], B4TZE1ob2h, 5702200]
[paragraph, [80.0, 444.0, 536.0, 18.0], B4TZE1ob2h, 5702200]
[paragraph, [80.0, 462.0, 536.0, 18.0], B4TZE1ob2h, 5702200]
[paragraph, [80.0, 480.0, 536.0, 18.0], B4TZE1ob2h, 5702200]
[paragraph, [80.0, 498.0, 536.0, 18.0], B4TZE1ob2h, 5702200]
[paragraph, [78.0, 524.0, 540.0, 18.0], sMi6PKHaT7, 5702200]
[paragraph, [78.0, 542.0, 540.0, 18.0], sMi6PKHaT7, 5702200]
[paragraph, [78.0, 560.0, 540.0, 18.0], sMi6PKHaT7, 5702200]
[paragraph, [78.0, 578.0, 540.0, 18.0], sMi6PKHaT7, 5702200]
[paragraph, [78.0, 596.0, 540.0, 18.0], sMi6PKHaT7, 5702200]
[paragraph, [78.0, 620.0, 535.0, 18.0], pzWRyzmVPv, 5702200]
[paragraph, [78.0, 638.0, 535.0, 18.0], pzWRyzmVPv, 5702200]
[paragraph, [78.0, 656.0, 535.0, 18.0], pzWRyzmVPv, 5702200]
[paragraph, [78.0, 693.0, 536.0, 18.0], shoonya_0sKURETCJFWYG4, 5702200]
[paragraph, [78.0, 711.0, 536.0, 18.0], shoonya_0sKURETCJFWYG4, 5702200]
[paragraph, [78.0, 729.0, 536.0, 18.0], shoonya_0sKURETCJFWYG4, 5702200]
[paragraph, [78.0, 747.0, 536.0, 18.0], shoonya_0sKURETCJFWYG4, 5702200]
[paragraph, [78.0, 765.0, 536.0, 18.0], shoonya_0sKURETCJFWYG4, 5702200]
[paragraph, [78.0, 783.0, 536.0, 18.0], shoonya_0sKURETCJFWYG4, 5702200]
[paragraph, [78.0, 801.0, 536.0, 18.0], shoonya_0sKURETCJFWYG4, 5702200]
[paragraph, [78.0, 819.0, 536.0, 18.0], shoonya_0sKURETCJFWYG4, 5702200]
[paragraph, [78.0, 837.0, 536.0, 18.0], shoonya_0sKURETCJFWYG4, 5702200]
[paragraph, [78.0, 855.0, 536.0, 18.0], shoonya_0sKURETCJFWYG4, 5702200]
[paragraph, [78.0, 873.0, 536.0, 18.0], shoonya_0sKURETCJFWYG4, 5702200]
[paragraph, [78.0, 891.0, 536.0, 18.0], shoonya_0sKURETCJFWYG4, 5702200]
[paragraph, [78.0, 909.0, 536.0, 18.0], shoonya_0sKURETCJFWYG4, 5702200]
[paragraph, [78.0, 927.0, 536.0, 18.0], shoonya_0sKURETCJFWYG4, 5702200]
[paragraph, [78.0, 945.0, 536.0, 18.0], shoonya_0sKURETCJFWYG4, 5702200]
