[1755, 1240]
[folio, [626.0, 74.0, 496.0, 36.0], OC8-b6f8RO, 5744356]
[paragraph, [198.0, 206.0, 935.0, 36.0], shoonya_2sAKN9VHTZJC6A, 5744356]
[paragraph, [198.0, 242.0, 935.0, 36.0], shoonya_2sAKN9VHTZJC6A, 5744356]
[paragraph, [198.0, 278.0, 935.0, 36.0], shoonya_2sAKN9VHTZJC6A, 5744356]
[paragraph, [198.0, 314.0, 935.0, 36.0], shoonya_2sAKN9VHTZJC6A, 5744356]
[paragraph, [198.0, 350.0, 935.0, 36.0], shoonya_2sAKN9VHTZJC6A, 5744356]
[paragraph, [198.0, 386.0, 935.0, 36.0], shoonya_2sAKN9VHTZJC6A, 5744356]
[paragraph, [190.0, 464.0, 946.0, 36.0], hrVTLDezXV, 5744356]
[paragraph, [190.0, 500.0, 946.0, 36.0], hrVTLDezXV, 5744356]
[paragraph, [190.0, 536.0, 946.0, 36.0], hrVTLDezXV, 5744356]
[paragraph, [190.0, 572.0, 946.0, 36.0], hrVTLDezXV, 5744356]
[paragraph, [190.0, 608.0, 946.0, 36.0], hrVTLDezXV, 5744356]
[paragraph, [190.0, 644.0, 946.0, 36.0], hrVTLDezXV, 5744356]
[paragraph, [190.0, 680.0, 946.0, 36.0], hrVTLDezXV, 5744356]
[paragraph, [190.0, 716.0, 946.0, 36.0], hrVTLDezXV, 5744356]
[paragraph, [190.0, 752.0, 946.0, 36.0], hrVTLDezXV, 5744356]
[paragraph, [190.0, 788.0, 946.0, 36.0], hrVTLDezXV, 5744356]
[paragraph, [190.0, 824.0, 946.0, 36.0], hrVTLDezXV, 5744356]
[paragraph, [190.0, 860.0, 946.0, 36.0], hrVTLDezXV, 5744356]
[paragraph, [190.0, 896.0, 946.0, 36.0], hrVTLDezXV, 5744356]
[paragraph, [190.0, 932.0, 946.0, 36.0], hrVTLDezXV, 5744356]
[paragraph, [190.0, 968.0, 946.0, 36.0], hrVTLDezXV, 5744356]
[paragraph, [190.0, 1004.0, 946.0, 36.0], hrVTLDezXV, 5744356]
[paragraph, [190.0, 1040.0, 946.0, 36.0], hrVTLDezXV, 5744356]
[paragraph, [198.0, 1090.0, 933.0, 36.0], shoonya_1sYK2KK71W3PMW, 5744356]
[paragraph, [198.0, 1126.0, 933.0, 36.0], shoonya_1sYK2KK71W3PMW, 5744356]
[paragraph, [198.0, 1162.0, 933.0, 36.0], shoonya_1sYK2KK71W3PMW, 5744356]
[paragraph, [198.0, 1198.0, 933.0, 36.0], shoonya_1sYK2KK71W3PMW, 5744356]
[paragraph, [198.0, 1234.0, 933.0, 36.0], shoonya_1sYK2KK71W3PMW, 5744356]
[paragraph, [198.0, 1270.0, 933.0, 36.0], shoonya_1sYK2KK71W3PMW, 5744356]
[paragraph, [198.0, 1306.0, 933.0, 36.0], shoonya_1sYK2KK71W3PMW, 5744356]
[paragraph, [198.0, 1342.0, 933.0, 36.0], shoonya_1sYK2KK71W3PMW, 5744356]
[paragraph, [201.0, 1405.0, 928.0, 36.0], shoonya_4s2VRVMZSII0BR, 5744356]
[paragraph, [201.0, 1441.0, 928.0, 36.0], shoonya_4s2VRVMZSII0BR, 5744356]
[paragraph, [201.0, 1477.0, 928.0, 36.0], shoonya_4s2VRVMZSII0BR, 5744356]
[paragraph, [201.0, 1513.0, 928.0, 36.0], shoonya_4s2VRVMZSII0BR, 5744356]
[paragraph, [201.0, 1549.0, 928.0, 36.0], shoonya_4s2VRVMZSII0BR, 5744356]
