[1823, 1375]
[folio, [983.0, 94.0, 293.0, 36.0], awPJC-9uyQ, 5683782]
[folio, [626.0, 102.0, 119.0, 36.0], shoonya_3sTS7KHNPB7KIH, 5683782]
[paragraph, [696.0, 166.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 202.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 238.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 274.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 310.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 346.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 382.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 418.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 454.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 490.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 526.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 562.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 598.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 634.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 670.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 706.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 742.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 778.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 814.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 850.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 886.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 922.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 958.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 994.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 1030.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 1066.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 1102.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 1138.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 1174.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 1210.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 1246.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 1282.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 1318.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 1354.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 1390.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 1426.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 1462.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 1498.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 1534.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 1570.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 1606.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 1642.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [696.0, 1678.0, 576.0, 36.0], pwhGHRCA0g, 5683782]
[paragraph, [104.0, 167.0, 582.0, 36.0], shoonya_0sTVHE41NS5JMY, 5683782]
[paragraph, [104.0, 203.0, 582.0, 36.0], shoonya_0sTVHE41NS5JMY, 5683782]
[paragraph, [104.0, 239.0, 582.0, 36.0], shoonya_0sTVHE41NS5JMY, 5683782]
[paragraph, [105.0, 303.0, 583.0, 36.0], shoonya_2s4RELG9REOAP0, 5683782]
[paragraph, [105.0, 339.0, 583.0, 36.0], shoonya_2s4RELG9REOAP0, 5683782]
[paragraph, [105.0, 375.0, 583.0, 36.0], shoonya_2s4RELG9REOAP0, 5683782]
[paragraph, [105.0, 411.0, 583.0, 36.0], shoonya_2s4RELG9REOAP0, 5683782]
