[1211, 798]
[folio, [346.0, 50.0, 98.0, 18.0], shoonya_0sHGK1PST9GBO7, 5740592]
[folio, [346.0, 68.0, 98.0, 18.0], shoonya_0sHGK1PST9GBO7, 5740592]
[paragraph, [42.0, 107.0, 700.0, 18.0], HSo-K9bigi, 5740592]
[paragraph, [42.0, 125.0, 700.0, 18.0], HSo-K9bigi, 5740592]
[paragraph, [42.0, 143.0, 700.0, 18.0], HSo-K9bigi, 5740592]
[paragraph, [42.0, 161.0, 700.0, 18.0], HSo-K9bigi, 5740592]
[paragraph, [42.0, 179.0, 700.0, 18.0], HSo-K9bigi, 5740592]
[paragraph, [42.0, 197.0, 700.0, 18.0], HSo-K9bigi, 5740592]
[paragraph, [42.0, 215.0, 700.0, 18.0], HSo-K9bigi, 5740592]
[paragraph, [42.0, 233.0, 700.0, 18.0], HSo-K9bigi, 5740592]
[paragraph, [42.0, 251.0, 700.0, 18.0], HSo-K9bigi, 5740592]
[paragraph, [42.0, 269.0, 700.0, 18.0], HSo-K9bigi, 5740592]
[paragraph, [42.0, 287.0, 700.0, 18.0], HSo-K9bigi, 5740592]
[paragraph, [42.0, 305.0, 700.0, 18.0], HSo-K9bigi, 5740592]
[paragraph, [42.0, 323.0, 700.0, 18.0], HSo-K9bigi, 5740592]
[paragraph, [41.0, 355.0, 701.0, 18.0], swZ_FpvT02, 5740592]
[paragraph, [41.0, 373.0, 701.0, 18.0], swZ_FpvT02, 5740592]
[paragraph, [41.0, 391.0, 701.0, 18.0], swZ_FpvT02, 5740592]
[paragraph, [41.0, 409.0, 701.0, 18.0], swZ_FpvT02, 5740592]
[paragraph, [41.0, 427.0, 701.0, 18.0], swZ_FpvT02, 5740592]
[paragraph, [41.0, 445.0, 701.0, 18.0], swZ_FpvT02, 5740592]
[paragraph, [41.0, 463.0, 701.0, 18.0], swZ_FpvT02, 5740592]
[paragraph, [41.0, 481.0, 701.0, 18.0], swZ_FpvT02, 5740592]
[paragraph, [41.0, 499.0, 701.0, 18.0], swZ_FpvT02, 5740592]
[paragraph, [41.0, 517.0, 701.0, 18.0], swZ_FpvT02, 5740592]
[paragraph, [41.0, 535.0, 701.0, 18.0], swZ_FpvT02, 5740592]
[paragraph, [41.0, 553.0, 701.0, 18.0], swZ_FpvT02, 5740592]
[paragraph, [41.0, 571.0, 701.0, 18.0], swZ_FpvT02, 5740592]
[paragraph, [41.0, 589.0, 701.0, 18.0], swZ_FpvT02, 5740592]
[paragraph, [41.0, 607.0, 701.0, 18.0], swZ_FpvT02, 5740592]
[paragraph, [41.0, 625.0, 701.0, 18.0], swZ_FpvT02, 5740592]
[paragraph, [41.0, 643.0, 701.0, 18.0], swZ_FpvT02, 5740592]
[paragraph, [46.0, 678.0, 698.0, 18.0], 7Q7R6o8Fj_, 5740592]
[paragraph, [46.0, 696.0, 698.0, 18.0], 7Q7R6o8Fj_, 5740592]
[paragraph, [46.0, 714.0, 698.0, 18.0], 7Q7R6o8Fj_, 5740592]
[paragraph, [46.0, 732.0, 698.0, 18.0], 7Q7R6o8Fj_, 5740592]
[paragraph, [46.0, 750.0, 698.0, 18.0], 7Q7R6o8Fj_, 5740592]
[paragraph, [46.0, 768.0, 698.0, 18.0], 7Q7R6o8Fj_, 5740592]
[paragraph, [46.0, 786.0, 698.0, 18.0], 7Q7R6o8Fj_, 5740592]
[paragraph, [46.0, 804.0, 698.0, 18.0], 7Q7R6o8Fj_, 5740592]
[paragraph, [46.0, 822.0, 698.0, 18.0], 7Q7R6o8Fj_, 5740592]
[paragraph, [46.0, 840.0, 698.0, 18.0], 7Q7R6o8Fj_, 5740592]
[paragraph, [46.0, 858.0, 698.0, 18.0], 7Q7R6o8Fj_, 5740592]
[paragraph, [46.0, 876.0, 698.0, 18.0], 7Q7R6o8Fj_, 5740592]
[paragraph, [46.0, 894.0, 698.0, 18.0], 7Q7R6o8Fj_, 5740592]
[paragraph, [46.0, 912.0, 698.0, 18.0], 7Q7R6o8Fj_, 5740592]
[paragraph, [46.0, 930.0, 698.0, 18.0], 7Q7R6o8Fj_, 5740592]
[paragraph, [46.0, 948.0, 698.0, 18.0], 7Q7R6o8Fj_, 5740592]
[paragraph, [46.0, 966.0, 698.0, 18.0], 7Q7R6o8Fj_, 5740592]
[paragraph, [46.0, 984.0, 698.0, 18.0], 7Q7R6o8Fj_, 5740592]
[paragraph, [46.0, 1002.0, 698.0, 18.0], 7Q7R6o8Fj_, 5740592]
[paragraph, [46.0, 1020.0, 698.0, 18.0], 7Q7R6o8Fj_, 5740592]
[paragraph, [46.0, 1038.0, 698.0, 18.0], 7Q7R6o8Fj_, 5740592]
[paragraph, [57.0, 1076.0, 687.0, 18.0], 6KkJRAl42K, 5740592]
[paragraph, [57.0, 1094.0, 687.0, 18.0], 6KkJRAl42K, 5740592]
[paragraph, [57.0, 1112.0, 687.0, 18.0], 6KkJRAl42K, 5740592]
[paragraph, [57.0, 1130.0, 687.0, 18.0], 6KkJRAl42K, 5740592]
[footnote, [420.0, 1171.0, 320.0, 18.0], kkUk2jHlMY, 5740592]
