[2200, 1700]
[paragraph, [371.0, 115.0, 1134.0, 36.0], shoonya_2s25ZB5DGSRM3W, 5733972]
[paragraph, [371.0, 151.0, 1134.0, 36.0], shoonya_2s25ZB5DGSRM3W, 5733972]
[paragraph, [371.0, 187.0, 1134.0, 36.0], shoonya_2s25ZB5DGSRM3W, 5733972]
[paragraph, [371.0, 223.0, 1134.0, 36.0], shoonya_2s25ZB5DGSRM3W, 5733972]
[paragraph, [371.0, 259.0, 1134.0, 36.0], shoonya_2s25ZB5DGSRM3W, 5733972]
[paragraph, [371.0, 295.0, 1134.0, 36.0], shoonya_2s25ZB5DGSRM3W, 5733972]
[paragraph, [371.0, 331.0, 1134.0, 36.0], shoonya_2s25ZB5DGSRM3W, 5733972]
[paragraph, [371.0, 367.0, 1134.0, 36.0], shoonya_2s25ZB5DGSRM3W, 5733972]
[paragraph, [371.0, 403.0, 1134.0, 36.0], shoonya_2s25ZB5DGSRM3W, 5733972]
[paragraph, [371.0, 439.0, 1134.0, 36.0], shoonya_2s25ZB5DGSRM3W, 5733972]
[paragraph, [373.0, 525.0, 1132.0, 36.0], shoonya_1s02XF1MR7HGA3, 5733972]
[paragraph, [373.0, 561.0, 1132.0, 36.0], shoonya_1s02XF1MR7HGA3, 5733972]
[paragraph, [373.0, 597.0, 1132.0, 36.0], shoonya_1s02XF1MR7HGA3, 5733972]
[paragraph, [373.0, 633.0, 1132.0, 36.0], shoonya_1s02XF1MR7HGA3, 5733972]
[paragraph, [373.0, 669.0, 1132.0, 36.0], shoonya_1s02XF1MR7HGA3, 5733972]
[paragraph, [373.0, 705.0, 1132.0, 36.0], shoonya_1s02XF1MR7HGA3, 5733972]
[paragraph, [373.0, 741.0, 1132.0, 36.0], shoonya_1s02XF1MR7HGA3, 5733972]
[paragraph, [373.0, 777.0, 1132.0, 36.0], shoonya_1s02XF1MR7HGA3, 5733972]
[paragraph, [373.0, 813.0, 1132.0, 36.0], shoonya_1s02XF1MR7HGA3, 5733972]
[paragraph, [373.0, 849.0, 1132.0, 36.0], shoonya_1s02XF1MR7HGA3, 5733972]
[paragraph, [373.0, 885.0, 1132.0, 36.0], shoonya_1s02XF1MR7HGA3, 5733972]
[paragraph, [373.0, 921.0, 1132.0, 36.0], shoonya_1s02XF1MR7HGA3, 5733972]
[paragraph, [373.0, 957.0, 1132.0, 36.0], shoonya_1s02XF1MR7HGA3, 5733972]
[paragraph, [373.0, 993.0, 1132.0, 36.0], shoonya_1s02XF1MR7HGA3, 5733972]
[paragraph, [373.0, 1029.0, 1132.0, 36.0], shoonya_1s02XF1MR7HGA3, 5733972]
[paragraph, [373.0, 1065.0, 1132.0, 36.0], shoonya_1s02XF1MR7HGA3, 5733972]
[paragraph, [373.0, 1101.0, 1132.0, 36.0], shoonya_1s02XF1MR7HGA3, 5733972]
[paragraph, [373.0, 1137.0, 1132.0, 36.0], shoonya_1s02XF1MR7HGA3, 5733972]
[paragraph, [373.0, 1173.0, 1132.0, 36.0], shoonya_1s02XF1MR7HGA3, 5733972]
[paragraph, [373.0, 1209.0, 1132.0, 36.0], shoonya_1s02XF1MR7HGA3, 5733972]
[paragraph, [372.0, 1269.0, 1132.0, 36.0], shoonya_0s0APVZACPI4Y8, 5733972]
[paragraph, [372.0, 1305.0, 1132.0, 36.0], shoonya_0s0APVZACPI4Y8, 5733972]
[paragraph, [372.0, 1341.0, 1132.0, 36.0], shoonya_0s0APVZACPI4Y8, 5733972]
[paragraph, [372.0, 1377.0, 1132.0, 36.0], shoonya_0s0APVZACPI4Y8, 5733972]
[paragraph, [372.0, 1413.0, 1132.0, 36.0], shoonya_0s0APVZACPI4Y8, 5733972]
[paragraph, [372.0, 1449.0, 1132.0, 36.0], shoonya_0s0APVZACPI4Y8, 5733972]
[paragraph, [372.0, 1485.0, 1132.0, 36.0], shoonya_0s0APVZACPI4Y8, 5733972]
[paragraph, [372.0, 1521.0, 1132.0, 36.0], shoonya_0s0APVZACPI4Y8, 5733972]
[paragraph, [372.0, 1557.0, 1132.0, 36.0], shoonya_0s0APVZACPI4Y8, 5733972]
[paragraph, [372.0, 1593.0, 1132.0, 36.0], shoonya_0s0APVZACPI4Y8, 5733972]
[paragraph, [372.0, 1629.0, 1132.0, 36.0], shoonya_0s0APVZACPI4Y8, 5733972]
[paragraph, [372.0, 1665.0, 1132.0, 36.0], shoonya_0s0APVZACPI4Y8, 5733972]
[paragraph, [372.0, 1701.0, 1132.0, 36.0], shoonya_0s0APVZACPI4Y8, 5733972]
[paragraph, [372.0, 1737.0, 1132.0, 36.0], shoonya_0s0APVZACPI4Y8, 5733972]
[paragraph, [372.0, 1773.0, 1132.0, 36.0], shoonya_0s0APVZACPI4Y8, 5733972]
[paragraph, [372.0, 1809.0, 1132.0, 36.0], shoonya_0s0APVZACPI4Y8, 5733972]
[paragraph, [372.0, 1845.0, 1132.0, 36.0], shoonya_0s0APVZACPI4Y8, 5733972]
[paragraph, [372.0, 1881.0, 1132.0, 36.0], shoonya_0s0APVZACPI4Y8, 5733972]
[paragraph, [372.0, 1950.0, 1137.0, 36.0], bV1kl8CyZy, 5733972]
[paragraph, [372.0, 1986.0, 1137.0, 36.0], bV1kl8CyZy, 5733972]
[paragraph, [372.0, 2022.0, 1137.0, 36.0], bV1kl8CyZy, 5733972]
