[2175, 1462]
[folio, [156.0, 142.0, 149.0, 36.0], B4O7E4wlOY, 5655240]
[paragraph, [148.0, 246.0, 1176.0, 36.0], shoonya_1sD7AVGRYU4NMN, 5655240]
[paragraph, [148.0, 282.0, 1176.0, 36.0], shoonya_1sD7AVGRYU4NMN, 5655240]
[paragraph, [148.0, 318.0, 1176.0, 36.0], shoonya_1sD7AVGRYU4NMN, 5655240]
[paragraph, [148.0, 354.0, 1176.0, 36.0], shoonya_1sD7AVGRYU4NMN, 5655240]
[paragraph, [148.0, 390.0, 1176.0, 36.0], shoonya_1sD7AVGRYU4NMN, 5655240]
[paragraph, [148.0, 426.0, 1176.0, 36.0], shoonya_1sD7AVGRYU4NMN, 5655240]
[paragraph, [148.0, 462.0, 1176.0, 36.0], shoonya_1sD7AVGRYU4NMN, 5655240]
[paragraph, [148.0, 498.0, 1176.0, 36.0], shoonya_1sD7AVGRYU4NMN, 5655240]
[paragraph, [148.0, 534.0, 1176.0, 36.0], shoonya_1sD7AVGRYU4NMN, 5655240]
[paragraph, [148.0, 570.0, 1176.0, 36.0], shoonya_1sD7AVGRYU4NMN, 5655240]
[paragraph, [156.0, 646.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 682.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 718.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 754.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 790.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 826.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 862.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 898.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 934.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 970.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 1006.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 1042.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 1078.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 1114.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 1150.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 1186.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 1222.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 1258.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 1294.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 1330.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 1366.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 1402.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 1438.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 1474.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 1510.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 1546.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 1582.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 1618.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 1654.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 1690.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 1726.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 1762.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 1798.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 1834.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 1870.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 1906.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 1942.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 1978.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
[paragraph, [156.0, 2014.0, 1175.0, 36.0], shoonya_0s233H4DEENX15, 5655240]
