[1650, 1275]
[headline, [519.0, 164.0, 234.0, 37.5], shoonya_8sL0RZZV0CZOBM, 5781111]
[sub-headline, [517.0, 237.0, 239.0, 36.0], shoonya_9sXFSTHIG27357, 5781111]
[paragraph, [141.0, 364.0, 988.0, 36.0], shoonya_2sRPWBMJV10BZE, 5781111]
[ordered-list, [196.0, 484.0, 897.0, 36.0], PgAH9CmO2U, 5781111]
[ordered-list, [196.0, 520.0, 897.0, 36.0], PgAH9CmO2U, 5781111]
[ordered-list, [196.0, 556.0, 897.0, 36.0], PgAH9CmO2U, 5781111]
[ordered-list, [196.0, 592.0, 897.0, 36.0], PgAH9CmO2U, 5781111]
[ordered-list, [196.0, 628.0, 897.0, 36.0], PgAH9CmO2U, 5781111]
[ordered-list, [196.0, 664.0, 897.0, 36.0], PgAH9CmO2U, 5781111]
[ordered-list, [196.0, 700.0, 897.0, 36.0], PgAH9CmO2U, 5781111]
[ordered-list, [196.0, 736.0, 897.0, 36.0], PgAH9CmO2U, 5781111]
[ordered-list, [196.0, 772.0, 897.0, 36.0], PgAH9CmO2U, 5781111]
[ordered-list, [196.0, 808.0, 897.0, 36.0], PgAH9CmO2U, 5781111]
[ordered-list, [196.0, 844.0, 897.0, 36.0], PgAH9CmO2U, 5781111]
[ordered-list, [196.0, 880.0, 897.0, 36.0], PgAH9CmO2U, 5781111]
[ordered-list, [196.0, 916.0, 897.0, 36.0], PgAH9CmO2U, 5781111]
[ordered-list, [196.0, 952.0, 897.0, 36.0], PgAH9CmO2U, 5781111]
[ordered-list, [196.0, 988.0, 897.0, 36.0], PgAH9CmO2U, 5781111]
[ordered-list, [196.0, 1024.0, 897.0, 36.0], PgAH9CmO2U, 5781111]
[ordered-list, [196.0, 1060.0, 897.0, 36.0], PgAH9CmO2U, 5781111]
[ordered-list, [196.0, 1096.0, 897.0, 36.0], PgAH9CmO2U, 5781111]
[ordered-list, [196.0, 1132.0, 897.0, 36.0], PgAH9CmO2U, 5781111]
[ordered-list, [196.0, 1168.0, 897.0, 36.0], PgAH9CmO2U, 5781111]
[ordered-list, [196.0, 1204.0, 897.0, 36.0], PgAH9CmO2U, 5781111]
[sub-ordered-list, [257.0, 527.0, 813.0, 36.0], shoonya_4sFXS8OAUXCPB0, 5781111]
[sub-ordered-list, [257.0, 563.0, 813.0, 36.0], shoonya_4sFXS8OAUXCPB0, 5781111]
[sub-ordered-list, [257.0, 599.0, 813.0, 36.0], shoonya_4sFXS8OAUXCPB0, 5781111]
[sub-ordered-list, [259.0, 728.0, 462.0, 36.0], shoonya_3sZEX85HLV59UX, 5781111]
[sub-ordered-list, [259.0, 764.0, 462.0, 36.0], shoonya_3sZEX85HLV59UX, 5781111]
[sub-ordered-list, [258.0, 927.0, 725.0, 36.0], shoonya_10sBFFLERVCOLH, 5781111]
[sub-ordered-list, [258.0, 963.0, 725.0, 36.0], shoonya_10sBFFLERVCOLH, 5781111]
[sub-ordered-list, [258.0, 999.0, 725.0, 36.0], shoonya_10sBFFLERVCOLH, 5781111]
[sub-ordered-list, [258.0, 1125.0, 656.0, 36.0], shoonya_1sQRWZAW3BGWTY, 5781111]
[sub-ordered-list, [258.0, 1161.0, 656.0, 36.0], shoonya_1sQRWZAW3BGWTY, 5781111]
[sub-ordered-list, [258.0, 1197.0, 656.0, 36.0], shoonya_1sQRWZAW3BGWTY, 5781111]
