[596, 393]
[paragraph, [42.0, 41.0, 305.0, 18.0], shoonya_1sBJE0AEOFZQYV, 6533440]
[paragraph, [42.0, 59.0, 305.0, 18.0], shoonya_1sBJE0AEOFZQYV, 6533440]
[paragraph, [42.0, 77.0, 305.0, 18.0], shoonya_1sBJE0AEOFZQYV, 6533440]
[paragraph, [42.0, 95.0, 305.0, 18.0], shoonya_1sBJE0AEOFZQYV, 6533440]
[paragraph, [42.0, 113.0, 305.0, 18.0], shoonya_1sBJE0AEOFZQYV, 6533440]
[paragraph, [42.0, 131.0, 305.0, 18.0], shoonya_1sBJE0AEOFZQYV, 6533440]
[paragraph, [42.0, 149.0, 305.0, 18.0], shoonya_1sBJE0AEOFZQYV, 6533440]
[paragraph, [39.0, 180.0, 310.0, 18.0], shoonya_0sTY1B5I9XA761, 6533440]
[paragraph, [39.0, 198.0, 310.0, 18.0], shoonya_0sTY1B5I9XA761, 6533440]
[paragraph, [39.0, 216.0, 310.0, 18.0], shoonya_0sTY1B5I9XA761, 6533440]
[paragraph, [39.0, 234.0, 310.0, 18.0], shoonya_0sTY1B5I9XA761, 6533440]
[paragraph, [39.0, 252.0, 310.0, 18.0], shoonya_0sTY1B5I9XA761, 6533440]
[paragraph, [39.0, 270.0, 310.0, 18.0], shoonya_0sTY1B5I9XA761, 6533440]
[paragraph, [39.0, 288.0, 310.0, 18.0], shoonya_0sTY1B5I9XA761, 6533440]
[paragraph, [39.0, 306.0, 310.0, 18.0], shoonya_0sTY1B5I9XA761, 6533440]
[paragraph, [39.0, 324.0, 310.0, 18.0], shoonya_0sTY1B5I9XA761, 6533440]
[paragraph, [39.0, 342.0, 310.0, 18.0], shoonya_0sTY1B5I9XA761, 6533440]
[paragraph, [39.0, 360.0, 310.0, 18.0], shoonya_0sTY1B5I9XA761, 6533440]
[paragraph, [39.0, 378.0, 310.0, 18.0], shoonya_0sTY1B5I9XA761, 6533440]
[paragraph, [39.0, 396.0, 310.0, 18.0], shoonya_0sTY1B5I9XA761, 6533440]
[paragraph, [39.0, 414.0, 310.0, 18.0], shoonya_0sTY1B5I9XA761, 6533440]
[paragraph, [39.0, 432.0, 310.0, 18.0], shoonya_0sTY1B5I9XA761, 6533440]
[paragraph, [39.0, 450.0, 310.0, 18.0], shoonya_0sTY1B5I9XA761, 6533440]
[paragraph, [39.0, 468.0, 310.0, 18.0], shoonya_0sTY1B5I9XA761, 6533440]
[paragraph, [39.0, 486.0, 310.0, 18.0], shoonya_0sTY1B5I9XA761, 6533440]
[paragraph, [39.0, 504.0, 310.0, 18.0], shoonya_0sTY1B5I9XA761, 6533440]
