[1755, 1240]
[paragraph, [216.0, 149.0, 880.0, 36.0], shoonya_3s1FITE7Q7GJOK, 5693445]
[paragraph, [216.0, 185.0, 880.0, 36.0], shoonya_3s1FITE7Q7GJOK, 5693445]
[paragraph, [216.0, 221.0, 880.0, 36.0], shoonya_3s1FITE7Q7GJOK, 5693445]
[paragraph, [216.0, 257.0, 880.0, 36.0], shoonya_3s1FITE7Q7GJOK, 5693445]
[paragraph, [216.0, 293.0, 880.0, 36.0], shoonya_3s1FITE7Q7GJOK, 5693445]
[paragraph, [216.0, 329.0, 880.0, 36.0], shoonya_3s1FITE7Q7GJOK, 5693445]
[paragraph, [216.0, 365.0, 880.0, 36.0], shoonya_3s1FITE7Q7GJOK, 5693445]
[paragraph, [216.0, 401.0, 880.0, 36.0], shoonya_3s1FITE7Q7GJOK, 5693445]
[paragraph, [219.0, 500.0, 879.0, 36.0], shoonya_2sGU8L5D4LR5TH, 5693445]
[paragraph, [219.0, 536.0, 879.0, 36.0], shoonya_2sGU8L5D4LR5TH, 5693445]
[paragraph, [219.0, 572.0, 879.0, 36.0], shoonya_2sGU8L5D4LR5TH, 5693445]
[paragraph, [219.0, 608.0, 879.0, 36.0], shoonya_2sGU8L5D4LR5TH, 5693445]
[paragraph, [219.0, 644.0, 879.0, 36.0], shoonya_2sGU8L5D4LR5TH, 5693445]
[paragraph, [219.0, 680.0, 879.0, 36.0], shoonya_2sGU8L5D4LR5TH, 5693445]
[paragraph, [219.0, 716.0, 879.0, 36.0], shoonya_2sGU8L5D4LR5TH, 5693445]
[paragraph, [217.0, 796.0, 881.0, 36.0], shoonya_1sKIUMUFMDJUXT, 5693445]
[paragraph, [217.0, 832.0, 881.0, 36.0], shoonya_1sKIUMUFMDJUXT, 5693445]
[paragraph, [217.0, 868.0, 881.0, 36.0], shoonya_1sKIUMUFMDJUXT, 5693445]
[paragraph, [217.0, 904.0, 881.0, 36.0], shoonya_1sKIUMUFMDJUXT, 5693445]
[paragraph, [217.0, 940.0, 881.0, 36.0], shoonya_1sKIUMUFMDJUXT, 5693445]
[paragraph, [217.0, 976.0, 881.0, 36.0], shoonya_1sKIUMUFMDJUXT, 5693445]
[paragraph, [217.0, 1012.0, 881.0, 36.0], shoonya_1sKIUMUFMDJUXT, 5693445]
[paragraph, [217.0, 1048.0, 881.0, 36.0], shoonya_1sKIUMUFMDJUXT, 5693445]
[paragraph, [217.0, 1084.0, 881.0, 36.0], shoonya_1sKIUMUFMDJUXT, 5693445]
[paragraph, [217.0, 1120.0, 881.0, 36.0], shoonya_1sKIUMUFMDJUXT, 5693445]
[paragraph, [217.0, 1156.0, 881.0, 36.0], shoonya_1sKIUMUFMDJUXT, 5693445]
[paragraph, [217.0, 1256.0, 882.0, 36.0], shoonya_0sA5UMA4P55646, 5693445]
[paragraph, [217.0, 1292.0, 882.0, 36.0], shoonya_0sA5UMA4P55646, 5693445]
[paragraph, [217.0, 1328.0, 882.0, 36.0], shoonya_0sA5UMA4P55646, 5693445]
[paragraph, [217.0, 1364.0, 882.0, 36.0], shoonya_0sA5UMA4P55646, 5693445]
[paragraph, [217.0, 1400.0, 882.0, 36.0], shoonya_0sA5UMA4P55646, 5693445]
[paragraph, [217.0, 1436.0, 882.0, 36.0], shoonya_0sA5UMA4P55646, 5693445]
[paragraph, [217.0, 1472.0, 882.0, 36.0], shoonya_0sA5UMA4P55646, 5693445]
[paragraph, [217.0, 1508.0, 882.0, 36.0], shoonya_0sA5UMA4P55646, 5693445]
