[1211, 798]
[folio, [364.0, 34.0, 100.0, 18.0], shoonya_0sRDUEUFB5RPF8, 5741303]
[folio, [364.0, 52.0, 100.0, 18.0], shoonya_0sRDUEUFB5RPF8, 5741303]
[paragraph, [31.0, 92.0, 742.0, 18.0], B34-PUKdLc, 5741303]
[paragraph, [31.0, 110.0, 742.0, 18.0], B34-PUKdLc, 5741303]
[paragraph, [31.0, 128.0, 742.0, 18.0], B34-PUKdLc, 5741303]
[paragraph, [31.0, 146.0, 742.0, 18.0], B34-PUKdLc, 5741303]
[paragraph, [31.0, 164.0, 742.0, 18.0], B34-PUKdLc, 5741303]
[paragraph, [31.0, 182.0, 742.0, 18.0], B34-PUKdLc, 5741303]
[paragraph, [31.0, 200.0, 742.0, 18.0], B34-PUKdLc, 5741303]
[paragraph, [31.0, 218.0, 742.0, 18.0], B34-PUKdLc, 5741303]
[paragraph, [31.0, 236.0, 742.0, 18.0], B34-PUKdLc, 5741303]
[paragraph, [31.0, 254.0, 742.0, 18.0], B34-PUKdLc, 5741303]
[paragraph, [31.0, 272.0, 742.0, 18.0], B34-PUKdLc, 5741303]
[paragraph, [31.0, 290.0, 742.0, 18.0], B34-PUKdLc, 5741303]
[paragraph, [31.0, 308.0, 742.0, 18.0], B34-PUKdLc, 5741303]
[paragraph, [31.0, 326.0, 742.0, 18.0], B34-PUKdLc, 5741303]
[paragraph, [31.0, 344.0, 742.0, 18.0], B34-PUKdLc, 5741303]
[paragraph, [31.0, 362.0, 742.0, 18.0], B34-PUKdLc, 5741303]
[paragraph, [31.0, 380.0, 742.0, 18.0], B34-PUKdLc, 5741303]
[paragraph, [31.0, 398.0, 742.0, 18.0], B34-PUKdLc, 5741303]
[paragraph, [31.0, 416.0, 742.0, 18.0], B34-PUKdLc, 5741303]
[paragraph, [31.0, 434.0, 742.0, 18.0], B34-PUKdLc, 5741303]
[paragraph, [31.0, 452.0, 742.0, 18.0], B34-PUKdLc, 5741303]
[paragraph, [31.0, 470.0, 742.0, 18.0], B34-PUKdLc, 5741303]
[paragraph, [31.0, 488.0, 742.0, 18.0], B34-PUKdLc, 5741303]
[paragraph, [31.0, 506.0, 742.0, 18.0], B34-PUKdLc, 5741303]
[paragraph, [31.0, 524.0, 742.0, 18.0], B34-PUKdLc, 5741303]
[paragraph, [31.0, 542.0, 742.0, 18.0], B34-PUKdLc, 5741303]
[paragraph, [45.0, 567.0, 726.0, 18.0], 936FjBQha3, 5741303]
[paragraph, [45.0, 585.0, 726.0, 18.0], 936FjBQha3, 5741303]
[paragraph, [45.0, 603.0, 726.0, 18.0], 936FjBQha3, 5741303]
[paragraph, [45.0, 621.0, 726.0, 18.0], 936FjBQha3, 5741303]
[paragraph, [45.0, 639.0, 726.0, 18.0], 936FjBQha3, 5741303]
[paragraph, [45.0, 657.0, 726.0, 18.0], 936FjBQha3, 5741303]
[paragraph, [45.0, 675.0, 726.0, 18.0], 936FjBQha3, 5741303]
[paragraph, [45.0, 693.0, 726.0, 18.0], 936FjBQha3, 5741303]
[paragraph, [45.0, 711.0, 726.0, 18.0], 936FjBQha3, 5741303]
[paragraph, [45.0, 729.0, 726.0, 18.0], 936FjBQha3, 5741303]
[paragraph, [45.0, 747.0, 726.0, 18.0], 936FjBQha3, 5741303]
[paragraph, [45.0, 765.0, 726.0, 18.0], 936FjBQha3, 5741303]
[paragraph, [45.0, 783.0, 726.0, 18.0], 936FjBQha3, 5741303]
[paragraph, [45.0, 801.0, 726.0, 18.0], 936FjBQha3, 5741303]
[paragraph, [45.0, 819.0, 726.0, 18.0], 936FjBQha3, 5741303]
[paragraph, [45.0, 837.0, 726.0, 18.0], 936FjBQha3, 5741303]
[paragraph, [45.0, 855.0, 726.0, 18.0], 936FjBQha3, 5741303]
[paragraph, [45.0, 873.0, 726.0, 18.0], 936FjBQha3, 5741303]
[paragraph, [45.0, 891.0, 726.0, 18.0], 936FjBQha3, 5741303]
[paragraph, [53.0, 929.0, 701.0, 18.0], Xu3C-YiHvp, 5741303]
[paragraph, [53.0, 947.0, 701.0, 18.0], Xu3C-YiHvp, 5741303]
[paragraph, [53.0, 965.0, 701.0, 18.0], Xu3C-YiHvp, 5741303]
[paragraph, [53.0, 983.0, 701.0, 18.0], Xu3C-YiHvp, 5741303]
[paragraph, [53.0, 1001.0, 701.0, 18.0], Xu3C-YiHvp, 5741303]
[paragraph, [53.0, 1019.0, 701.0, 18.0], Xu3C-YiHvp, 5741303]
[paragraph, [53.0, 1037.0, 701.0, 18.0], Xu3C-YiHvp, 5741303]
[paragraph, [53.0, 1055.0, 701.0, 18.0], Xu3C-YiHvp, 5741303]
[paragraph, [53.0, 1073.0, 701.0, 18.0], Xu3C-YiHvp, 5741303]
[paragraph, [53.0, 1091.0, 701.0, 18.0], Xu3C-YiHvp, 5741303]
[paragraph, [53.0, 1109.0, 701.0, 18.0], Xu3C-YiHvp, 5741303]
[paragraph, [53.0, 1127.0, 701.0, 18.0], Xu3C-YiHvp, 5741303]
[paragraph, [53.0, 1145.0, 701.0, 18.0], Xu3C-YiHvp, 5741303]
[footnote, [419.0, 1173.0, 324.0, 18.0], 8TB9DX38rT, 5741303]
