[2339, 1653]
[paragraph, [325.0, 162.0, 1143.0, 36.0], shoonya_0sH282U31HPBV2, 5734400]
[paragraph, [325.0, 198.0, 1143.0, 36.0], shoonya_0sH282U31HPBV2, 5734400]
[paragraph, [325.0, 234.0, 1143.0, 36.0], shoonya_0sH282U31HPBV2, 5734400]
[paragraph, [325.0, 270.0, 1143.0, 36.0], shoonya_0sH282U31HPBV2, 5734400]
[paragraph, [325.0, 306.0, 1143.0, 36.0], shoonya_0sH282U31HPBV2, 5734400]
[paragraph, [325.0, 342.0, 1143.0, 36.0], shoonya_0sH282U31HPBV2, 5734400]
[paragraph, [325.0, 378.0, 1143.0, 36.0], shoonya_0sH282U31HPBV2, 5734400]
[paragraph, [325.0, 414.0, 1143.0, 36.0], shoonya_0sH282U31HPBV2, 5734400]
[paragraph, [325.0, 450.0, 1143.0, 36.0], shoonya_0sH282U31HPBV2, 5734400]
[paragraph, [319.0, 503.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 539.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 575.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 611.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 647.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 683.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 719.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 755.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 791.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 827.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 863.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 899.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 935.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 971.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 1007.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 1043.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 1079.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 1115.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 1151.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 1187.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 1223.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 1259.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 1295.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 1331.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 1367.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 1403.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 1439.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 1475.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 1511.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 1547.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 1583.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 1619.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 1655.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 1691.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 1727.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 1763.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 1799.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 1835.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [319.0, 1871.0, 1145.0, 36.0], shoonya_1sBVID2EEE16NJ, 5734400]
[paragraph, [329.0, 1944.0, 1133.0, 36.0], shoonya_3sY0FINMVE1TCD, 5734400]
[paragraph, [329.0, 1980.0, 1133.0, 36.0], shoonya_3sY0FINMVE1TCD, 5734400]
[paragraph, [329.0, 2016.0, 1133.0, 36.0], shoonya_3sY0FINMVE1TCD, 5734400]
[paragraph, [329.0, 2052.0, 1133.0, 36.0], shoonya_3sY0FINMVE1TCD, 5734400]
[folio, [804.0, 2151.0, 591.0, 36.0], HNrYOxX5j-, 5734400]
