[882, 655]
[website-link, [273.0, 26.0, 110.0, 18.0], 2o0xACv5DK, 5758642]
[chapter-title, [78.0, 78.0, 234.0, 30.0], 8NAINBihC7, 5758642]
[chapter-title, [78.0, 108.0, 234.0, 30.0], 8NAINBihC7, 5758642]
[chapter-title, [78.0, 138.0, 234.0, 30.0], 8NAINBihC7, 5758642]
[author, [371.0, 122.0, 106.0, 18.0], i4eedhY9aK, 5758642]
[author, [371.0, 140.0, 106.0, 18.0], i4eedhY9aK, 5758642]
[author, [371.0, 158.0, 106.0, 18.0], i4eedhY9aK, 5758642]
[paragraph, [219.0, 188.0, 348.0, 18.0], UY2KNUQUq4, 5758642]
[paragraph, [219.0, 206.0, 348.0, 18.0], UY2KNUQUq4, 5758642]
[paragraph, [219.0, 224.0, 348.0, 18.0], UY2KNUQUq4, 5758642]
[paragraph, [219.0, 242.0, 348.0, 18.0], UY2KNUQUq4, 5758642]
[paragraph, [219.0, 260.0, 348.0, 18.0], UY2KNUQUq4, 5758642]
[paragraph, [219.0, 278.0, 348.0, 18.0], UY2KNUQUq4, 5758642]
[paragraph, [77.0, 331.0, 241.0, 18.0], shoonya_0s2DUEBFKVKNS6, 5758642]
[paragraph, [77.0, 349.0, 241.0, 18.0], shoonya_0s2DUEBFKVKNS6, 5758642]
[paragraph, [77.0, 367.0, 241.0, 18.0], shoonya_0s2DUEBFKVKNS6, 5758642]
[paragraph, [77.0, 385.0, 241.0, 18.0], shoonya_0s2DUEBFKVKNS6, 5758642]
[paragraph, [77.0, 403.0, 241.0, 18.0], shoonya_0s2DUEBFKVKNS6, 5758642]
[paragraph, [77.0, 421.0, 241.0, 18.0], shoonya_0s2DUEBFKVKNS6, 5758642]
[paragraph, [77.0, 439.0, 241.0, 18.0], shoonya_0s2DUEBFKVKNS6, 5758642]
[paragraph, [77.0, 457.0, 241.0, 18.0], shoonya_0s2DUEBFKVKNS6, 5758642]
[paragraph, [77.0, 475.0, 241.0, 18.0], shoonya_0s2DUEBFKVKNS6, 5758642]
[paragraph, [77.0, 493.0, 241.0, 18.0], shoonya_0s2DUEBFKVKNS6, 5758642]
[paragraph, [77.0, 511.0, 241.0, 18.0], shoonya_0s2DUEBFKVKNS6, 5758642]
[paragraph, [77.0, 529.0, 241.0, 18.0], shoonya_0s2DUEBFKVKNS6, 5758642]
[paragraph, [333.0, 331.0, 241.0, 18.0], shoonya_4sK7ZB6LVF4KPD, 5758642]
[paragraph, [333.0, 349.0, 241.0, 18.0], shoonya_4sK7ZB6LVF4KPD, 5758642]
[paragraph, [333.0, 384.0, 242.0, 18.0], shoonya_7sHSLQC2QI53K0, 5758642]
[paragraph, [333.0, 402.0, 242.0, 18.0], shoonya_7sHSLQC2QI53K0, 5758642]
[paragraph, [333.0, 420.0, 242.0, 18.0], shoonya_7sHSLQC2QI53K0, 5758642]
[paragraph, [333.0, 438.0, 242.0, 18.0], shoonya_7sHSLQC2QI53K0, 5758642]
[paragraph, [333.0, 456.0, 242.0, 18.0], shoonya_7sHSLQC2QI53K0, 5758642]
[paragraph, [335.0, 490.0, 239.0, 18.0], shoonya_8s5MWE0ZGH0LV2, 5758642]
[paragraph, [335.0, 508.0, 239.0, 18.0], shoonya_8s5MWE0ZGH0LV2, 5758642]
[paragraph, [335.0, 526.0, 239.0, 18.0], shoonya_8s5MWE0ZGH0LV2, 5758642]
[paragraph, [75.0, 563.0, 243.0, 18.0], shoonya_2sMDQMBKXKN5OB, 5758642]
[paragraph, [75.0, 581.0, 243.0, 18.0], shoonya_2sMDQMBKXKN5OB, 5758642]
[paragraph, [75.0, 599.0, 243.0, 18.0], shoonya_2sMDQMBKXKN5OB, 5758642]
[paragraph, [75.0, 617.0, 243.0, 18.0], shoonya_2sMDQMBKXKN5OB, 5758642]
[paragraph, [75.0, 635.0, 243.0, 18.0], shoonya_2sMDQMBKXKN5OB, 5758642]
[paragraph, [75.0, 653.0, 243.0, 18.0], shoonya_2sMDQMBKXKN5OB, 5758642]
[paragraph, [75.0, 671.0, 243.0, 18.0], shoonya_2sMDQMBKXKN5OB, 5758642]
[paragraph, [75.0, 689.0, 243.0, 18.0], shoonya_2sMDQMBKXKN5OB, 5758642]
[paragraph, [75.0, 707.0, 243.0, 18.0], shoonya_2sMDQMBKXKN5OB, 5758642]
[answer, [330.0, 567.0, 243.0, 18.0], shoonya_5sB5L1QXCY7DQL, 5758642]
[answer, [330.0, 585.0, 243.0, 18.0], shoonya_5sB5L1QXCY7DQL, 5758642]
[answer, [330.0, 603.0, 243.0, 18.0], shoonya_5sB5L1QXCY7DQL, 5758642]
[answer, [330.0, 621.0, 243.0, 18.0], shoonya_5sB5L1QXCY7DQL, 5758642]
[answer, [330.0, 639.0, 243.0, 18.0], shoonya_5sB5L1QXCY7DQL, 5758642]
[answer, [330.0, 657.0, 243.0, 18.0], shoonya_5sB5L1QXCY7DQL, 5758642]
[answer, [330.0, 675.0, 243.0, 18.0], shoonya_5sB5L1QXCY7DQL, 5758642]
[answer, [333.0, 708.0, 240.0, 18.0], shoonya_1sUJNZCCYL3Z9O, 5758642]
[answer, [333.0, 726.0, 240.0, 18.0], shoonya_1sUJNZCCYL3Z9O, 5758642]
[answer, [333.0, 744.0, 240.0, 18.0], shoonya_1sUJNZCCYL3Z9O, 5758642]
[answer, [333.0, 762.0, 240.0, 18.0], shoonya_1sUJNZCCYL3Z9O, 5758642]
[paragraph, [77.0, 745.0, 242.0, 18.0], shoonya_3s9IEJ5CWE940Z, 5758642]
[paragraph, [77.0, 763.0, 242.0, 18.0], shoonya_3s9IEJ5CWE940Z, 5758642]
