[1300, 900]
[folio, [392.0, 35.0, 121.0, 18.0], ZPq4DRYjr2, 5732282]
[section-title, [246.0, 100.0, 408.0, 30.0], shoonya_6sQAUQ5RGEY0DI, 5732282]
[paragraph, [94.0, 159.0, 701.0, 18.0], shoonya_3sB6MAAX3GB8VJ, 5732282]
[paragraph, [94.0, 177.0, 701.0, 18.0], shoonya_3sB6MAAX3GB8VJ, 5732282]
[paragraph, [94.0, 195.0, 701.0, 18.0], shoonya_3sB6MAAX3GB8VJ, 5732282]
[paragraph, [94.0, 213.0, 701.0, 18.0], shoonya_3sB6MAAX3GB8VJ, 5732282]
[paragraph, [94.0, 231.0, 701.0, 18.0], shoonya_3sB6MAAX3GB8VJ, 5732282]
[paragraph, [94.0, 249.0, 701.0, 18.0], shoonya_3sB6MAAX3GB8VJ, 5732282]
[paragraph, [94.0, 267.0, 701.0, 18.0], shoonya_3sB6MAAX3GB8VJ, 5732282]
[paragraph, [99.0, 302.0, 704.0, 18.0], shoonya_0sRDZ4S04PHXF9, 5732282]
[paragraph, [99.0, 320.0, 704.0, 18.0], shoonya_0sRDZ4S04PHXF9, 5732282]
[paragraph, [99.0, 338.0, 704.0, 18.0], shoonya_0sRDZ4S04PHXF9, 5732282]
[paragraph, [99.0, 356.0, 704.0, 18.0], shoonya_0sRDZ4S04PHXF9, 5732282]
[paragraph, [99.0, 374.0, 704.0, 18.0], shoonya_0sRDZ4S04PHXF9, 5732282]
[paragraph, [99.0, 392.0, 704.0, 18.0], shoonya_0sRDZ4S04PHXF9, 5732282]
[paragraph, [99.0, 410.0, 704.0, 18.0], shoonya_0sRDZ4S04PHXF9, 5732282]
[paragraph, [99.0, 428.0, 704.0, 18.0], shoonya_0sRDZ4S04PHXF9, 5732282]
[paragraph, [99.0, 446.0, 704.0, 18.0], shoonya_0sRDZ4S04PHXF9, 5732282]
[paragraph, [99.0, 464.0, 704.0, 18.0], shoonya_0sRDZ4S04PHXF9, 5732282]
[paragraph, [98.0, 490.0, 702.0, 18.0], shoonya_1sX8B8NNC3ZHZL, 5732282]
[paragraph, [98.0, 508.0, 702.0, 18.0], shoonya_1sX8B8NNC3ZHZL, 5732282]
[paragraph, [98.0, 526.0, 702.0, 18.0], shoonya_1sX8B8NNC3ZHZL, 5732282]
[paragraph, [98.0, 544.0, 702.0, 18.0], shoonya_1sX8B8NNC3ZHZL, 5732282]
[paragraph, [98.0, 562.0, 702.0, 18.0], shoonya_1sX8B8NNC3ZHZL, 5732282]
[paragraph, [98.0, 580.0, 702.0, 18.0], shoonya_1sX8B8NNC3ZHZL, 5732282]
[paragraph, [98.0, 598.0, 702.0, 18.0], shoonya_1sX8B8NNC3ZHZL, 5732282]
[paragraph, [98.0, 616.0, 702.0, 18.0], shoonya_1sX8B8NNC3ZHZL, 5732282]
[paragraph, [98.0, 634.0, 702.0, 18.0], shoonya_1sX8B8NNC3ZHZL, 5732282]
