[842, 595]
[folio, [5.0, 60.0, 80.0, 18.0], liJKHpwYzS, 5742249]
[folio, [5.0, 78.0, 80.0, 18.0], liJKHpwYzS, 5742249]
[folio, [5.0, 96.0, 80.0, 18.0], liJKHpwYzS, 5742249]
[paragraph, [218.0, 92.0, 160.0, 18.0], zqQI8dEtk6, 5742249]
[paragraph, [218.0, 110.0, 160.0, 18.0], zqQI8dEtk6, 5742249]
[paragraph, [218.0, 128.0, 160.0, 18.0], zqQI8dEtk6, 5742249]
[author, [106.0, 120.0, 108.0, 18.0], shoonya_0sFKWMLA9JECZE, 5742249]
[paragraph, [214.0, 157.0, 137.0, 18.0], o8loz7ESbe, 5742249]
[paragraph, [214.0, 175.0, 137.0, 18.0], o8loz7ESbe, 5742249]
[paragraph, [51.0, 165.0, 146.0, 18.0], QJxy7Npj_l, 5742249]
[paragraph, [54.0, 199.0, 148.0, 18.0], Hs93KOq0w9, 5742249]
[paragraph, [54.0, 217.0, 148.0, 18.0], Hs93KOq0w9, 5742249]
[paragraph, [54.0, 235.0, 148.0, 18.0], Hs93KOq0w9, 5742249]
[paragraph, [54.0, 253.0, 148.0, 18.0], Hs93KOq0w9, 5742249]
[paragraph, [54.0, 271.0, 148.0, 18.0], Hs93KOq0w9, 5742249]
[paragraph, [54.0, 289.0, 148.0, 18.0], Hs93KOq0w9, 5742249]
[paragraph, [54.0, 307.0, 148.0, 18.0], Hs93KOq0w9, 5742249]
[paragraph, [216.0, 208.0, 147.0, 18.0], Q1Rkb9HOVF, 5742249]
[paragraph, [216.0, 226.0, 147.0, 18.0], Q1Rkb9HOVF, 5742249]
[paragraph, [216.0, 244.0, 147.0, 18.0], Q1Rkb9HOVF, 5742249]
[paragraph, [216.0, 262.0, 147.0, 18.0], Q1Rkb9HOVF, 5742249]
[paragraph, [216.0, 280.0, 147.0, 18.0], Q1Rkb9HOVF, 5742249]
[paragraph, [216.0, 298.0, 147.0, 18.0], Q1Rkb9HOVF, 5742249]
[paragraph, [216.0, 316.0, 147.0, 18.0], Q1Rkb9HOVF, 5742249]
[paragraph, [51.0, 346.0, 158.0, 18.0], NbwB-cvVy2, 5742249]
[paragraph, [51.0, 364.0, 158.0, 18.0], NbwB-cvVy2, 5742249]
[paragraph, [51.0, 382.0, 158.0, 18.0], NbwB-cvVy2, 5742249]
[paragraph, [51.0, 400.0, 158.0, 18.0], NbwB-cvVy2, 5742249]
[paragraph, [51.0, 418.0, 158.0, 18.0], NbwB-cvVy2, 5742249]
[paragraph, [214.0, 356.0, 148.0, 18.0], aldqkrsz2N, 5742249]
[paragraph, [214.0, 374.0, 148.0, 18.0], aldqkrsz2N, 5742249]
[paragraph, [214.0, 392.0, 148.0, 18.0], aldqkrsz2N, 5742249]
[paragraph, [214.0, 410.0, 148.0, 18.0], aldqkrsz2N, 5742249]
[paragraph, [214.0, 428.0, 148.0, 18.0], aldqkrsz2N, 5742249]
[paragraph, [214.0, 446.0, 148.0, 18.0], aldqkrsz2N, 5742249]
[paragraph, [214.0, 464.0, 148.0, 18.0], aldqkrsz2N, 5742249]
[paragraph, [214.0, 482.0, 148.0, 18.0], aldqkrsz2N, 5742249]
[paragraph, [214.0, 500.0, 148.0, 18.0], aldqkrsz2N, 5742249]
[paragraph, [214.0, 518.0, 148.0, 18.0], aldqkrsz2N, 5742249]
[paragraph, [382.0, 432.0, 162.0, 18.0], ynSDyNNeMU, 5742249]
[paragraph, [382.0, 450.0, 162.0, 18.0], ynSDyNNeMU, 5742249]
[paragraph, [382.0, 468.0, 162.0, 18.0], ynSDyNNeMU, 5742249]
[paragraph, [382.0, 486.0, 162.0, 18.0], ynSDyNNeMU, 5742249]
[paragraph, [52.0, 449.0, 127.0, 18.0], WY1Dr2qbFk, 5742249]
[paragraph, [52.0, 467.0, 127.0, 18.0], WY1Dr2qbFk, 5742249]
[paragraph, [52.0, 485.0, 127.0, 18.0], WY1Dr2qbFk, 5742249]
[paragraph, [52.0, 503.0, 127.0, 18.0], WY1Dr2qbFk, 5742249]
[contact-info, [446.0, 520.0, 98.0, 18.0], IT8T721tvY, 5742249]
[contact-info, [446.0, 538.0, 98.0, 18.0], IT8T721tvY, 5742249]
[paragraph, [217.0, 600.0, 326.0, 18.0], shoonya_5sEQ3Z2N9Q1G5I, 5742249]
[paragraph, [217.0, 618.0, 326.0, 18.0], shoonya_5sEQ3Z2N9Q1G5I, 5742249]
[paragraph, [217.0, 636.0, 326.0, 18.0], shoonya_5sEQ3Z2N9Q1G5I, 5742249]
[paragraph, [217.0, 654.0, 326.0, 18.0], shoonya_5sEQ3Z2N9Q1G5I, 5742249]
[paragraph, [217.0, 672.0, 326.0, 18.0], shoonya_5sEQ3Z2N9Q1G5I, 5742249]
[paragraph, [217.0, 690.0, 326.0, 18.0], shoonya_5sEQ3Z2N9Q1G5I, 5742249]
[paragraph, [217.0, 708.0, 326.0, 18.0], shoonya_5sEQ3Z2N9Q1G5I, 5742249]
[paragraph, [217.0, 726.0, 326.0, 18.0], shoonya_5sEQ3Z2N9Q1G5I, 5742249]
