[1650, 1275]
[paragraph, [274.0, 98.0, 923.0, 36.0], Qu_lxJwRP6, 5719491]
[paragraph, [274.0, 134.0, 923.0, 36.0], Qu_lxJwRP6, 5719491]
[paragraph, [274.0, 170.0, 923.0, 36.0], Qu_lxJwRP6, 5719491]
[paragraph, [274.0, 206.0, 923.0, 36.0], Qu_lxJwRP6, 5719491]
[paragraph, [274.0, 242.0, 923.0, 36.0], Qu_lxJwRP6, 5719491]
[section-title, [73.0, 295.0, 1119.0, 49.5], shoonya_5sW1L9OMMKZE99, 5719491]
[unordered-list, [111.0, 384.0, 1080.0, 36.0], 3dp6GDoGdx, 5719491]
[unordered-list, [111.0, 420.0, 1080.0, 36.0], 3dp6GDoGdx, 5719491]
[unordered-list, [111.0, 456.0, 1080.0, 36.0], 3dp6GDoGdx, 5719491]
[unordered-list, [111.0, 492.0, 1080.0, 36.0], 3dp6GDoGdx, 5719491]
[unordered-list, [111.0, 528.0, 1080.0, 36.0], 3dp6GDoGdx, 5719491]
[unordered-list, [111.0, 564.0, 1080.0, 36.0], 3dp6GDoGdx, 5719491]
[unordered-list, [111.0, 600.0, 1080.0, 36.0], 3dp6GDoGdx, 5719491]
[unordered-list, [111.0, 636.0, 1080.0, 36.0], 3dp6GDoGdx, 5719491]
[unordered-list, [111.0, 672.0, 1080.0, 36.0], 3dp6GDoGdx, 5719491]
[unordered-list, [111.0, 708.0, 1080.0, 36.0], 3dp6GDoGdx, 5719491]
[unordered-list, [111.0, 744.0, 1080.0, 36.0], 3dp6GDoGdx, 5719491]
[unordered-list, [111.0, 780.0, 1080.0, 36.0], 3dp6GDoGdx, 5719491]
[unordered-list, [111.0, 816.0, 1080.0, 36.0], 3dp6GDoGdx, 5719491]
[unordered-list, [111.0, 852.0, 1080.0, 36.0], 3dp6GDoGdx, 5719491]
[unordered-list, [111.0, 888.0, 1080.0, 36.0], 3dp6GDoGdx, 5719491]
[unordered-list, [111.0, 924.0, 1080.0, 36.0], 3dp6GDoGdx, 5719491]
[unordered-list, [111.0, 960.0, 1080.0, 36.0], 3dp6GDoGdx, 5719491]
[unordered-list, [111.0, 996.0, 1080.0, 36.0], 3dp6GDoGdx, 5719491]
[unordered-list, [111.0, 1032.0, 1080.0, 36.0], 3dp6GDoGdx, 5719491]
[unordered-list, [111.0, 1068.0, 1080.0, 36.0], 3dp6GDoGdx, 5719491]
[unordered-list, [111.0, 1104.0, 1080.0, 36.0], 3dp6GDoGdx, 5719491]
[unordered-list, [111.0, 1140.0, 1080.0, 36.0], 3dp6GDoGdx, 5719491]
[unordered-list, [111.0, 1176.0, 1080.0, 36.0], 3dp6GDoGdx, 5719491]
[unordered-list, [111.0, 1212.0, 1080.0, 36.0], 3dp6GDoGdx, 5719491]
[unordered-list, [111.0, 1248.0, 1080.0, 36.0], 3dp6GDoGdx, 5719491]
[unordered-list, [111.0, 1284.0, 1080.0, 36.0], 3dp6GDoGdx, 5719491]
[unordered-list, [111.0, 1320.0, 1080.0, 36.0], 3dp6GDoGdx, 5719491]
[unordered-list, [111.0, 1356.0, 1080.0, 36.0], 3dp6GDoGdx, 5719491]
[unordered-list, [111.0, 1392.0, 1080.0, 36.0], 3dp6GDoGdx, 5719491]
[unordered-list, [111.0, 1428.0, 1080.0, 36.0], 3dp6GDoGdx, 5719491]
[unordered-list, [111.0, 1464.0, 1080.0, 36.0], 3dp6GDoGdx, 5719491]
