[1359, 823]
[folio, [599.0, 66.0, 126.0, 18.0], zjv2We_vdF, 5781835]
[folio, [599.0, 84.0, 126.0, 18.0], zjv2We_vdF, 5781835]
[folio, [599.0, 102.0, 126.0, 18.0], zjv2We_vdF, 5781835]
[folio, [306.0, 131.0, 192.0, 18.0], shoonya_7sT5CXHIITQEVZ, 5781835]
[paragraph, [84.0, 165.0, 633.0, 18.0], shoonya_13s6FLCKR4BLZ2, 5781835]
[ordered-list, [81.0, 191.0, 641.0, 18.0], shoonya_10sS6VX66NFURJ, 5781835]
[ordered-list, [81.0, 209.0, 641.0, 18.0], shoonya_10sS6VX66NFURJ, 5781835]
[ordered-list, [81.0, 227.0, 641.0, 18.0], shoonya_10sS6VX66NFURJ, 5781835]
[ordered-list, [81.0, 245.0, 641.0, 18.0], shoonya_10sS6VX66NFURJ, 5781835]
[ordered-list, [81.0, 277.0, 643.0, 18.0], shoonya_6sO2JGJ2UL33PD, 5781835]
[ordered-list, [81.0, 295.0, 643.0, 18.0], shoonya_6sO2JGJ2UL33PD, 5781835]
[ordered-list, [81.0, 313.0, 643.0, 18.0], shoonya_6sO2JGJ2UL33PD, 5781835]
[ordered-list, [81.0, 331.0, 643.0, 18.0], shoonya_6sO2JGJ2UL33PD, 5781835]
[ordered-list, [81.0, 349.0, 643.0, 18.0], shoonya_6sO2JGJ2UL33PD, 5781835]
[ordered-list, [81.0, 367.0, 643.0, 18.0], shoonya_6sO2JGJ2UL33PD, 5781835]
[ordered-list, [81.0, 385.0, 643.0, 18.0], shoonya_6sO2JGJ2UL33PD, 5781835]
[ordered-list, [81.0, 403.0, 643.0, 18.0], shoonya_6sO2JGJ2UL33PD, 5781835]
[ordered-list, [81.0, 421.0, 643.0, 18.0], shoonya_6sO2JGJ2UL33PD, 5781835]
[ordered-list, [81.0, 439.0, 643.0, 18.0], shoonya_6sO2JGJ2UL33PD, 5781835]
[ordered-list, [81.0, 457.0, 643.0, 18.0], shoonya_6sO2JGJ2UL33PD, 5781835]
[ordered-list, [81.0, 475.0, 643.0, 18.0], shoonya_6sO2JGJ2UL33PD, 5781835]
[ordered-list, [81.0, 493.0, 643.0, 18.0], shoonya_6sO2JGJ2UL33PD, 5781835]
[sub-ordered-list, [80.0, 301.0, 645.0, 18.0], 3kf4xRr54l, 5781835]
[sub-ordered-list, [80.0, 319.0, 645.0, 18.0], 3kf4xRr54l, 5781835]
[sub-ordered-list, [80.0, 337.0, 645.0, 18.0], 3kf4xRr54l, 5781835]
[sub-ordered-list, [80.0, 355.0, 645.0, 18.0], 3kf4xRr54l, 5781835]
[sub-ordered-list, [80.0, 373.0, 645.0, 18.0], 3kf4xRr54l, 5781835]
[sub-ordered-list, [80.0, 391.0, 645.0, 18.0], 3kf4xRr54l, 5781835]
[sub-ordered-list, [80.0, 409.0, 645.0, 18.0], 3kf4xRr54l, 5781835]
[sub-ordered-list, [80.0, 427.0, 645.0, 18.0], 3kf4xRr54l, 5781835]
[sub-ordered-list, [80.0, 445.0, 645.0, 18.0], 3kf4xRr54l, 5781835]
[sub-ordered-list, [80.0, 463.0, 645.0, 18.0], 3kf4xRr54l, 5781835]
[sub-ordered-list, [80.0, 481.0, 645.0, 18.0], 3kf4xRr54l, 5781835]
[sub-ordered-list, [80.0, 499.0, 645.0, 18.0], 3kf4xRr54l, 5781835]
[ordered-list, [86.0, 532.0, 640.0, 18.0], shoonya_0s7MKNNG32HNVU, 5781835]
[ordered-list, [86.0, 550.0, 640.0, 18.0], shoonya_0s7MKNNG32HNVU, 5781835]
[ordered-list, [86.0, 568.0, 640.0, 18.0], shoonya_0s7MKNNG32HNVU, 5781835]
[ordered-list, [86.0, 586.0, 640.0, 18.0], shoonya_0s7MKNNG32HNVU, 5781835]
[ordered-list, [86.0, 604.0, 640.0, 18.0], shoonya_0s7MKNNG32HNVU, 5781835]
[ordered-list, [86.0, 622.0, 640.0, 18.0], shoonya_0s7MKNNG32HNVU, 5781835]
[ordered-list, [86.0, 640.0, 640.0, 18.0], shoonya_0s7MKNNG32HNVU, 5781835]
[ordered-list, [86.0, 658.0, 640.0, 18.0], shoonya_0s7MKNNG32HNVU, 5781835]
[ordered-list, [86.0, 676.0, 640.0, 18.0], shoonya_0s7MKNNG32HNVU, 5781835]
[ordered-list, [86.0, 694.0, 640.0, 18.0], shoonya_0s7MKNNG32HNVU, 5781835]
[ordered-list, [86.0, 712.0, 640.0, 18.0], shoonya_0s7MKNNG32HNVU, 5781835]
[ordered-list, [86.0, 730.0, 640.0, 18.0], shoonya_0s7MKNNG32HNVU, 5781835]
[ordered-list, [86.0, 748.0, 640.0, 18.0], shoonya_0s7MKNNG32HNVU, 5781835]
[ordered-list, [86.0, 766.0, 640.0, 18.0], shoonya_0s7MKNNG32HNVU, 5781835]
[ordered-list, [86.0, 784.0, 640.0, 18.0], shoonya_0s7MKNNG32HNVU, 5781835]
[ordered-list, [86.0, 802.0, 640.0, 18.0], shoonya_0s7MKNNG32HNVU, 5781835]
[ordered-list, [86.0, 820.0, 640.0, 18.0], shoonya_0s7MKNNG32HNVU, 5781835]
[ordered-list, [86.0, 838.0, 640.0, 18.0], shoonya_0s7MKNNG32HNVU, 5781835]
[ordered-list, [86.0, 856.0, 640.0, 18.0], shoonya_0s7MKNNG32HNVU, 5781835]
[sub-ordered-list, [88.0, 567.0, 638.0, 18.0], g3nZWTsJy_, 5781835]
[sub-ordered-list, [88.0, 585.0, 638.0, 18.0], g3nZWTsJy_, 5781835]
[sub-ordered-list, [88.0, 603.0, 638.0, 18.0], g3nZWTsJy_, 5781835]
[sub-ordered-list, [88.0, 621.0, 638.0, 18.0], g3nZWTsJy_, 5781835]
[sub-ordered-list, [88.0, 639.0, 638.0, 18.0], g3nZWTsJy_, 5781835]
[sub-ordered-list, [88.0, 657.0, 638.0, 18.0], g3nZWTsJy_, 5781835]
[sub-ordered-list, [88.0, 675.0, 638.0, 18.0], g3nZWTsJy_, 5781835]
[sub-ordered-list, [88.0, 693.0, 638.0, 18.0], g3nZWTsJy_, 5781835]
[sub-ordered-list, [88.0, 711.0, 638.0, 18.0], g3nZWTsJy_, 5781835]
[sub-ordered-list, [88.0, 729.0, 638.0, 18.0], g3nZWTsJy_, 5781835]
[sub-ordered-list, [88.0, 747.0, 638.0, 18.0], g3nZWTsJy_, 5781835]
[sub-ordered-list, [88.0, 765.0, 638.0, 18.0], g3nZWTsJy_, 5781835]
[sub-ordered-list, [88.0, 783.0, 638.0, 18.0], g3nZWTsJy_, 5781835]
[sub-ordered-list, [88.0, 801.0, 638.0, 18.0], g3nZWTsJy_, 5781835]
[sub-ordered-list, [88.0, 819.0, 638.0, 18.0], g3nZWTsJy_, 5781835]
[sub-ordered-list, [88.0, 837.0, 638.0, 18.0], g3nZWTsJy_, 5781835]
[sub-ordered-list, [88.0, 855.0, 638.0, 18.0], g3nZWTsJy_, 5781835]
[figure-caption, [170.0, 902.0, 146.0, 18.0], shoonya_11sR05D2SHSIJS, 5781835]
[sidebar, [626.0, 1196.0, 98.0, 18.0], 8FDITjonUu, 5781835]
[figure-caption, [234.0, 1221.0, 345.0, 18.0], shoonya_5s83A11HP4ZGAC, 5781835]
