[1050, 693]
[folio, [75.0, 78.0, 89.0, 18.0], shoonya_2sTKNHL0JUM5S9, 5702029]
[folio, [75.0, 96.0, 89.0, 18.0], shoonya_2sTKNHL0JUM5S9, 5702029]
[paragraph, [80.0, 128.0, 531.0, 18.0], sW-c-e8V4B, 5702029]
[paragraph, [80.0, 146.0, 531.0, 18.0], sW-c-e8V4B, 5702029]
[paragraph, [80.0, 164.0, 531.0, 18.0], sW-c-e8V4B, 5702029]
[paragraph, [80.0, 196.0, 529.0, 18.0], shoonya_0sL44E9N4MNX8P, 5702029]
[paragraph, [80.0, 214.0, 529.0, 18.0], shoonya_0sL44E9N4MNX8P, 5702029]
[paragraph, [80.0, 232.0, 529.0, 18.0], shoonya_0sL44E9N4MNX8P, 5702029]
[paragraph, [80.0, 250.0, 529.0, 18.0], shoonya_0sL44E9N4MNX8P, 5702029]
[paragraph, [80.0, 268.0, 529.0, 18.0], shoonya_0sL44E9N4MNX8P, 5702029]
[paragraph, [80.0, 286.0, 529.0, 18.0], shoonya_0sL44E9N4MNX8P, 5702029]
[paragraph, [80.0, 304.0, 529.0, 18.0], shoonya_0sL44E9N4MNX8P, 5702029]
[paragraph, [80.0, 322.0, 529.0, 18.0], shoonya_0sL44E9N4MNX8P, 5702029]
[paragraph, [80.0, 340.0, 529.0, 18.0], shoonya_0sL44E9N4MNX8P, 5702029]
[paragraph, [80.0, 358.0, 529.0, 18.0], shoonya_0sL44E9N4MNX8P, 5702029]
[paragraph, [79.0, 395.0, 531.0, 18.0], 8HSmKhOeEO, 5702029]
[paragraph, [79.0, 413.0, 531.0, 18.0], 8HSmKhOeEO, 5702029]
[paragraph, [79.0, 431.0, 531.0, 18.0], 8HSmKhOeEO, 5702029]
[paragraph, [79.0, 449.0, 531.0, 18.0], 8HSmKhOeEO, 5702029]
[paragraph, [79.0, 467.0, 531.0, 18.0], 8HSmKhOeEO, 5702029]
[paragraph, [79.0, 485.0, 531.0, 18.0], 8HSmKhOeEO, 5702029]
[paragraph, [79.0, 503.0, 531.0, 18.0], 8HSmKhOeEO, 5702029]
[paragraph, [79.0, 521.0, 531.0, 18.0], 8HSmKhOeEO, 5702029]
[paragraph, [79.0, 539.0, 531.0, 18.0], 8HSmKhOeEO, 5702029]
[paragraph, [79.0, 557.0, 531.0, 18.0], 8HSmKhOeEO, 5702029]
[paragraph, [79.0, 575.0, 531.0, 18.0], 8HSmKhOeEO, 5702029]
[paragraph, [79.0, 593.0, 531.0, 18.0], 8HSmKhOeEO, 5702029]
[paragraph, [81.0, 622.0, 530.0, 18.0], shoonya_1s3PAVTH8X62Z9, 5702029]
[paragraph, [81.0, 640.0, 530.0, 18.0], shoonya_1s3PAVTH8X62Z9, 5702029]
[paragraph, [81.0, 658.0, 530.0, 18.0], shoonya_1s3PAVTH8X62Z9, 5702029]
[paragraph, [81.0, 676.0, 530.0, 18.0], shoonya_1s3PAVTH8X62Z9, 5702029]
[paragraph, [81.0, 694.0, 530.0, 18.0], shoonya_1s3PAVTH8X62Z9, 5702029]
[paragraph, [81.0, 712.0, 530.0, 18.0], shoonya_1s3PAVTH8X62Z9, 5702029]
[paragraph, [81.0, 730.0, 530.0, 18.0], shoonya_1s3PAVTH8X62Z9, 5702029]
[paragraph, [81.0, 748.0, 530.0, 18.0], shoonya_1s3PAVTH8X62Z9, 5702029]
[paragraph, [81.0, 766.0, 530.0, 18.0], shoonya_1s3PAVTH8X62Z9, 5702029]
[paragraph, [81.0, 784.0, 530.0, 18.0], shoonya_1s3PAVTH8X62Z9, 5702029]
[paragraph, [81.0, 802.0, 530.0, 18.0], shoonya_1s3PAVTH8X62Z9, 5702029]
[paragraph, [81.0, 820.0, 530.0, 18.0], shoonya_1s3PAVTH8X62Z9, 5702029]
[paragraph, [84.0, 847.0, 526.0, 18.0], shoonya_4sTNA8UW8JVMQX, 5702029]
[paragraph, [84.0, 865.0, 526.0, 18.0], shoonya_4sTNA8UW8JVMQX, 5702029]
[paragraph, [84.0, 883.0, 526.0, 18.0], shoonya_4sTNA8UW8JVMQX, 5702029]
[paragraph, [84.0, 901.0, 526.0, 18.0], shoonya_4sTNA8UW8JVMQX, 5702029]
[paragraph, [84.0, 919.0, 526.0, 18.0], shoonya_4sTNA8UW8JVMQX, 5702029]
[paragraph, [84.0, 937.0, 526.0, 18.0], shoonya_4sTNA8UW8JVMQX, 5702029]
[paragraph, [84.0, 955.0, 526.0, 18.0], shoonya_4sTNA8UW8JVMQX, 5702029]
