[2339, 1653]
[paragraph, [252.0, 246.0, 1148.0, 36.0], shoonya_3sXF5DJH4V7B7M, 5686943]
[paragraph, [252.0, 282.0, 1148.0, 36.0], shoonya_3sXF5DJH4V7B7M, 5686943]
[paragraph, [252.0, 318.0, 1148.0, 36.0], shoonya_3sXF5DJH4V7B7M, 5686943]
[paragraph, [251.0, 378.0, 1155.0, 36.0], shoonya_2sK0POGW3QCJYR, 5686943]
[paragraph, [251.0, 414.0, 1155.0, 36.0], shoonya_2sK0POGW3QCJYR, 5686943]
[paragraph, [251.0, 450.0, 1155.0, 36.0], shoonya_2sK0POGW3QCJYR, 5686943]
[paragraph, [251.0, 486.0, 1155.0, 36.0], shoonya_2sK0POGW3QCJYR, 5686943]
[paragraph, [251.0, 522.0, 1155.0, 36.0], shoonya_2sK0POGW3QCJYR, 5686943]
[paragraph, [251.0, 558.0, 1155.0, 36.0], shoonya_2sK0POGW3QCJYR, 5686943]
[paragraph, [251.0, 594.0, 1155.0, 36.0], shoonya_2sK0POGW3QCJYR, 5686943]
[paragraph, [251.0, 630.0, 1155.0, 36.0], shoonya_2sK0POGW3QCJYR, 5686943]
[paragraph, [251.0, 666.0, 1155.0, 36.0], shoonya_2sK0POGW3QCJYR, 5686943]
[paragraph, [251.0, 702.0, 1155.0, 36.0], shoonya_2sK0POGW3QCJYR, 5686943]
[paragraph, [250.0, 775.0, 1152.0, 36.0], shoonya_0sUSKKC6AHWMYW, 5686943]
[paragraph, [250.0, 811.0, 1152.0, 36.0], shoonya_0sUSKKC6AHWMYW, 5686943]
[paragraph, [250.0, 847.0, 1152.0, 36.0], shoonya_0sUSKKC6AHWMYW, 5686943]
[paragraph, [250.0, 883.0, 1152.0, 36.0], shoonya_0sUSKKC6AHWMYW, 5686943]
[paragraph, [250.0, 919.0, 1152.0, 36.0], shoonya_0sUSKKC6AHWMYW, 5686943]
[paragraph, [250.0, 955.0, 1152.0, 36.0], shoonya_0sUSKKC6AHWMYW, 5686943]
[paragraph, [250.0, 991.0, 1152.0, 36.0], shoonya_0sUSKKC6AHWMYW, 5686943]
[paragraph, [250.0, 1027.0, 1152.0, 36.0], shoonya_0sUSKKC6AHWMYW, 5686943]
[paragraph, [250.0, 1063.0, 1152.0, 36.0], shoonya_0sUSKKC6AHWMYW, 5686943]
[paragraph, [250.0, 1099.0, 1152.0, 36.0], shoonya_0sUSKKC6AHWMYW, 5686943]
[paragraph, [250.0, 1135.0, 1152.0, 36.0], shoonya_0sUSKKC6AHWMYW, 5686943]
[paragraph, [250.0, 1171.0, 1152.0, 36.0], shoonya_0sUSKKC6AHWMYW, 5686943]
[paragraph, [250.0, 1207.0, 1152.0, 36.0], shoonya_0sUSKKC6AHWMYW, 5686943]
[paragraph, [250.0, 1243.0, 1152.0, 36.0], shoonya_0sUSKKC6AHWMYW, 5686943]
[paragraph, [250.0, 1279.0, 1152.0, 36.0], shoonya_0sUSKKC6AHWMYW, 5686943]
[paragraph, [250.0, 1315.0, 1152.0, 36.0], shoonya_0sUSKKC6AHWMYW, 5686943]
[paragraph, [250.0, 1351.0, 1152.0, 36.0], shoonya_0sUSKKC6AHWMYW, 5686943]
[paragraph, [250.0, 1387.0, 1152.0, 36.0], shoonya_0sUSKKC6AHWMYW, 5686943]
[paragraph, [250.0, 1423.0, 1152.0, 36.0], shoonya_0sUSKKC6AHWMYW, 5686943]
[paragraph, [250.0, 1459.0, 1152.0, 36.0], shoonya_0sUSKKC6AHWMYW, 5686943]
[paragraph, [250.0, 1495.0, 1152.0, 36.0], shoonya_0sUSKKC6AHWMYW, 5686943]
[paragraph, [250.0, 1531.0, 1152.0, 36.0], shoonya_0sUSKKC6AHWMYW, 5686943]
[paragraph, [250.0, 1567.0, 1152.0, 36.0], shoonya_0sUSKKC6AHWMYW, 5686943]
[paragraph, [250.0, 1603.0, 1152.0, 36.0], shoonya_0sUSKKC6AHWMYW, 5686943]
[paragraph, [250.0, 1639.0, 1152.0, 36.0], shoonya_0sUSKKC6AHWMYW, 5686943]
[paragraph, [253.0, 1709.0, 1152.0, 36.0], shoonya_1sW87ON3C02B9D, 5686943]
[paragraph, [253.0, 1745.0, 1152.0, 36.0], shoonya_1sW87ON3C02B9D, 5686943]
[paragraph, [253.0, 1781.0, 1152.0, 36.0], shoonya_1sW87ON3C02B9D, 5686943]
[paragraph, [253.0, 1817.0, 1152.0, 36.0], shoonya_1sW87ON3C02B9D, 5686943]
[paragraph, [253.0, 1853.0, 1152.0, 36.0], shoonya_1sW87ON3C02B9D, 5686943]
[paragraph, [250.0, 1911.0, 1156.0, 36.0], shoonya_4s6PJBP77SDFVK, 5686943]
[paragraph, [250.0, 1947.0, 1156.0, 36.0], shoonya_4s6PJBP77SDFVK, 5686943]
[paragraph, [250.0, 1983.0, 1156.0, 36.0], shoonya_4s6PJBP77SDFVK, 5686943]
[paragraph, [250.0, 2019.0, 1156.0, 36.0], shoonya_4s6PJBP77SDFVK, 5686943]
[paragraph, [250.0, 2055.0, 1156.0, 36.0], shoonya_4s6PJBP77SDFVK, 5686943]
