[2200, 1700]
[headline, [532.0, 1194.0, 632.0, 67.5], shoonya_4sFL59WPGZEBPY, 5752915]
[author, [750.0, 1435.0, 196.0, 36.0], shoonya_5sE5NRVJNPB7T7, 5752915]
[author, [750.0, 1471.0, 196.0, 36.0], shoonya_5sE5NRVJNPB7T7, 5752915]
[paragraph, [93.0, 1538.0, 1517.0, 36.0], YOFM1fYYQz, 5752915]
[paragraph, [93.0, 1574.0, 1517.0, 36.0], YOFM1fYYQz, 5752915]
[paragraph, [93.0, 1610.0, 1517.0, 36.0], YOFM1fYYQz, 5752915]
[paragraph, [93.0, 1646.0, 1517.0, 36.0], YOFM1fYYQz, 5752915]
[paragraph, [93.0, 1682.0, 1517.0, 36.0], YOFM1fYYQz, 5752915]
[paragraph, [93.0, 1718.0, 1517.0, 36.0], YOFM1fYYQz, 5752915]
[paragraph, [93.0, 1754.0, 1517.0, 36.0], YOFM1fYYQz, 5752915]
[paragraph, [93.0, 1790.0, 1517.0, 36.0], YOFM1fYYQz, 5752915]
[paragraph, [93.0, 1826.0, 1517.0, 36.0], YOFM1fYYQz, 5752915]
[paragraph, [93.0, 1862.0, 1517.0, 36.0], YOFM1fYYQz, 5752915]
