[596, 421]
[section-title, [252.0, 33.0, 132.0, 30.0], SVVRpIEvxV, 6532961]
[section-title, [56.0, 41.0, 115.0, 30.0], mkMyrh4E0x, 6532961]
[paragraph, [225.0, 77.0, 152.0, 18.0], LwHbs-c_0F, 6532961]
[paragraph, [225.0, 95.0, 152.0, 18.0], LwHbs-c_0F, 6532961]
[paragraph, [225.0, 113.0, 152.0, 18.0], LwHbs-c_0F, 6532961]
[paragraph, [225.0, 131.0, 152.0, 18.0], LwHbs-c_0F, 6532961]
[paragraph, [225.0, 149.0, 152.0, 18.0], LwHbs-c_0F, 6532961]
[paragraph, [29.0, 82.0, 159.0, 18.0], shoonya_0s96SUBWWLLLME, 6532961]
[paragraph, [29.0, 100.0, 159.0, 18.0], shoonya_0s96SUBWWLLLME, 6532961]
[paragraph, [28.0, 132.0, 162.0, 18.0], ATxQcM1FXy, 6532961]
[paragraph, [28.0, 150.0, 162.0, 18.0], ATxQcM1FXy, 6532961]
[paragraph, [229.0, 166.0, 149.0, 18.0], -28dThDja5, 6532961]
[paragraph, [229.0, 184.0, 149.0, 18.0], -28dThDja5, 6532961]
[paragraph, [229.0, 202.0, 149.0, 18.0], -28dThDja5, 6532961]
[paragraph, [229.0, 220.0, 149.0, 18.0], -28dThDja5, 6532961]
[paragraph, [229.0, 238.0, 149.0, 18.0], -28dThDja5, 6532961]
[paragraph, [24.0, 177.0, 170.0, 18.0], 1ChJHFOB_i, 6532961]
[paragraph, [24.0, 195.0, 170.0, 18.0], 1ChJHFOB_i, 6532961]
[paragraph, [213.0, 409.0, 162.0, 18.0], BTEMAPDakr, 6532961]
[paragraph, [213.0, 427.0, 162.0, 18.0], BTEMAPDakr, 6532961]
[paragraph, [213.0, 445.0, 162.0, 18.0], BTEMAPDakr, 6532961]
[paragraph, [210.0, 472.0, 174.0, 18.0], yZmFY4MThl, 6532961]
[paragraph, [210.0, 490.0, 174.0, 18.0], yZmFY4MThl, 6532961]
