[2200, 1700]
[paragraph, [238.0, 196.0, 1029.0, 36.0], shoonya_2sJW7HBYNBNKGU, 5651711]
[paragraph, [238.0, 232.0, 1029.0, 36.0], shoonya_2sJW7HBYNBNKGU, 5651711]
[paragraph, [238.0, 268.0, 1029.0, 36.0], shoonya_2sJW7HBYNBNKGU, 5651711]
[paragraph, [238.0, 304.0, 1029.0, 36.0], shoonya_2sJW7HBYNBNKGU, 5651711]
[paragraph, [257.0, 332.0, 1034.0, 36.0], shoonya_1s8FTQBRG3POF0, 5651711]
[paragraph, [257.0, 368.0, 1034.0, 36.0], shoonya_1s8FTQBRG3POF0, 5651711]
[paragraph, [257.0, 404.0, 1034.0, 36.0], shoonya_1s8FTQBRG3POF0, 5651711]
[paragraph, [257.0, 440.0, 1034.0, 36.0], shoonya_1s8FTQBRG3POF0, 5651711]
[paragraph, [257.0, 476.0, 1034.0, 36.0], shoonya_1s8FTQBRG3POF0, 5651711]
[paragraph, [257.0, 512.0, 1034.0, 36.0], shoonya_1s8FTQBRG3POF0, 5651711]
[paragraph, [257.0, 548.0, 1034.0, 36.0], shoonya_1s8FTQBRG3POF0, 5651711]
[paragraph, [257.0, 584.0, 1034.0, 36.0], shoonya_1s8FTQBRG3POF0, 5651711]
[paragraph, [257.0, 620.0, 1034.0, 36.0], shoonya_1s8FTQBRG3POF0, 5651711]
[paragraph, [257.0, 656.0, 1034.0, 36.0], shoonya_1s8FTQBRG3POF0, 5651711]
[paragraph, [257.0, 692.0, 1034.0, 36.0], shoonya_1s8FTQBRG3POF0, 5651711]
[paragraph, [257.0, 728.0, 1034.0, 36.0], shoonya_1s8FTQBRG3POF0, 5651711]
[paragraph, [257.0, 764.0, 1034.0, 36.0], shoonya_1s8FTQBRG3POF0, 5651711]
[paragraph, [257.0, 800.0, 1034.0, 36.0], shoonya_1s8FTQBRG3POF0, 5651711]
[paragraph, [257.0, 836.0, 1034.0, 36.0], shoonya_1s8FTQBRG3POF0, 5651711]
[paragraph, [257.0, 872.0, 1034.0, 36.0], shoonya_1s8FTQBRG3POF0, 5651711]
[paragraph, [257.0, 908.0, 1034.0, 36.0], shoonya_1s8FTQBRG3POF0, 5651711]
[paragraph, [257.0, 944.0, 1034.0, 36.0], shoonya_1s8FTQBRG3POF0, 5651711]
[paragraph, [257.0, 980.0, 1034.0, 36.0], shoonya_1s8FTQBRG3POF0, 5651711]
[paragraph, [257.0, 1016.0, 1034.0, 36.0], shoonya_1s8FTQBRG3POF0, 5651711]
[paragraph, [257.0, 1052.0, 1034.0, 36.0], shoonya_1s8FTQBRG3POF0, 5651711]
[paragraph, [257.0, 1088.0, 1034.0, 36.0], shoonya_1s8FTQBRG3POF0, 5651711]
[paragraph, [257.0, 1124.0, 1034.0, 36.0], shoonya_1s8FTQBRG3POF0, 5651711]
[paragraph, [257.0, 1160.0, 1034.0, 36.0], shoonya_1s8FTQBRG3POF0, 5651711]
[paragraph, [257.0, 1196.0, 1034.0, 36.0], shoonya_1s8FTQBRG3POF0, 5651711]
[paragraph, [257.0, 1232.0, 1034.0, 36.0], shoonya_1s8FTQBRG3POF0, 5651711]
[paragraph, [276.0, 1270.0, 1032.0, 36.0], shoonya_0sTRUCKCBMHB77, 5651711]
[paragraph, [276.0, 1306.0, 1032.0, 36.0], shoonya_0sTRUCKCBMHB77, 5651711]
[paragraph, [276.0, 1342.0, 1032.0, 36.0], shoonya_0sTRUCKCBMHB77, 5651711]
[paragraph, [276.0, 1378.0, 1032.0, 36.0], shoonya_0sTRUCKCBMHB77, 5651711]
[paragraph, [276.0, 1414.0, 1032.0, 36.0], shoonya_0sTRUCKCBMHB77, 5651711]
[paragraph, [276.0, 1450.0, 1032.0, 36.0], shoonya_0sTRUCKCBMHB77, 5651711]
[paragraph, [276.0, 1486.0, 1032.0, 36.0], shoonya_0sTRUCKCBMHB77, 5651711]
[paragraph, [276.0, 1522.0, 1032.0, 36.0], shoonya_0sTRUCKCBMHB77, 5651711]
[paragraph, [276.0, 1558.0, 1032.0, 36.0], shoonya_0sTRUCKCBMHB77, 5651711]
[paragraph, [276.0, 1594.0, 1032.0, 36.0], shoonya_0sTRUCKCBMHB77, 5651711]
[paragraph, [276.0, 1630.0, 1032.0, 36.0], shoonya_0sTRUCKCBMHB77, 5651711]
[paragraph, [276.0, 1666.0, 1032.0, 36.0], shoonya_0sTRUCKCBMHB77, 5651711]
[paragraph, [276.0, 1702.0, 1032.0, 36.0], shoonya_0sTRUCKCBMHB77, 5651711]
[paragraph, [276.0, 1738.0, 1032.0, 36.0], shoonya_0sTRUCKCBMHB77, 5651711]
[paragraph, [276.0, 1774.0, 1032.0, 36.0], shoonya_0sTRUCKCBMHB77, 5651711]
[paragraph, [276.0, 1810.0, 1032.0, 36.0], shoonya_0sTRUCKCBMHB77, 5651711]
[folio, [1128.0, 1876.0, 104.0, 36.0], sHxNC_YbR1, 5651711]
