[2200, 1700]
[paragraph, [355.0, 61.0, 1094.0, 36.0], shoonya_3sRQXQ782VWG0A, 5730838]
[paragraph, [355.0, 97.0, 1094.0, 36.0], shoonya_3sRQXQ782VWG0A, 5730838]
[paragraph, [355.0, 133.0, 1094.0, 36.0], shoonya_3sRQXQ782VWG0A, 5730838]
[paragraph, [355.0, 169.0, 1094.0, 36.0], shoonya_3sRQXQ782VWG0A, 5730838]
[paragraph, [355.0, 205.0, 1094.0, 36.0], shoonya_3sRQXQ782VWG0A, 5730838]
[paragraph, [355.0, 241.0, 1094.0, 36.0], shoonya_3sRQXQ782VWG0A, 5730838]
[paragraph, [355.0, 277.0, 1094.0, 36.0], shoonya_3sRQXQ782VWG0A, 5730838]
[paragraph, [355.0, 313.0, 1094.0, 36.0], shoonya_3sRQXQ782VWG0A, 5730838]
[paragraph, [355.0, 349.0, 1094.0, 36.0], shoonya_3sRQXQ782VWG0A, 5730838]
[paragraph, [355.0, 385.0, 1094.0, 36.0], shoonya_3sRQXQ782VWG0A, 5730838]
[paragraph, [355.0, 421.0, 1094.0, 36.0], shoonya_3sRQXQ782VWG0A, 5730838]
[paragraph, [355.0, 457.0, 1094.0, 36.0], shoonya_3sRQXQ782VWG0A, 5730838]
[paragraph, [355.0, 493.0, 1094.0, 36.0], shoonya_3sRQXQ782VWG0A, 5730838]
[paragraph, [355.0, 529.0, 1094.0, 36.0], shoonya_3sRQXQ782VWG0A, 5730838]
[paragraph, [355.0, 565.0, 1094.0, 36.0], shoonya_3sRQXQ782VWG0A, 5730838]
[paragraph, [355.0, 601.0, 1094.0, 36.0], shoonya_3sRQXQ782VWG0A, 5730838]
[paragraph, [355.0, 637.0, 1094.0, 36.0], shoonya_3sRQXQ782VWG0A, 5730838]
[paragraph, [355.0, 673.0, 1094.0, 36.0], shoonya_3sRQXQ782VWG0A, 5730838]
[paragraph, [355.0, 709.0, 1094.0, 36.0], shoonya_3sRQXQ782VWG0A, 5730838]
[paragraph, [355.0, 745.0, 1094.0, 36.0], shoonya_3sRQXQ782VWG0A, 5730838]
[paragraph, [355.0, 781.0, 1094.0, 36.0], shoonya_3sRQXQ782VWG0A, 5730838]
[paragraph, [355.0, 817.0, 1094.0, 36.0], shoonya_3sRQXQ782VWG0A, 5730838]
[paragraph, [355.0, 853.0, 1094.0, 36.0], shoonya_3sRQXQ782VWG0A, 5730838]
[paragraph, [355.0, 889.0, 1094.0, 36.0], shoonya_3sRQXQ782VWG0A, 5730838]
[paragraph, [355.0, 925.0, 1094.0, 36.0], shoonya_3sRQXQ782VWG0A, 5730838]
[paragraph, [355.0, 961.0, 1094.0, 36.0], shoonya_3sRQXQ782VWG0A, 5730838]
[paragraph, [355.0, 997.0, 1094.0, 36.0], shoonya_3sRQXQ782VWG0A, 5730838]
[paragraph, [355.0, 1033.0, 1094.0, 36.0], shoonya_3sRQXQ782VWG0A, 5730838]
[paragraph, [346.0, 1078.0, 1092.0, 36.0], shoonya_0s197PCEQIBW3J, 5730838]
[paragraph, [346.0, 1114.0, 1092.0, 36.0], shoonya_0s197PCEQIBW3J, 5730838]
[paragraph, [346.0, 1150.0, 1092.0, 36.0], shoonya_0s197PCEQIBW3J, 5730838]
[paragraph, [346.0, 1186.0, 1092.0, 36.0], shoonya_0s197PCEQIBW3J, 5730838]
[paragraph, [346.0, 1222.0, 1092.0, 36.0], shoonya_0s197PCEQIBW3J, 5730838]
[paragraph, [346.0, 1258.0, 1092.0, 36.0], shoonya_0s197PCEQIBW3J, 5730838]
[paragraph, [346.0, 1294.0, 1092.0, 36.0], shoonya_0s197PCEQIBW3J, 5730838]
[paragraph, [346.0, 1330.0, 1092.0, 36.0], shoonya_0s197PCEQIBW3J, 5730838]
[paragraph, [346.0, 1366.0, 1092.0, 36.0], shoonya_0s197PCEQIBW3J, 5730838]
[paragraph, [346.0, 1402.0, 1092.0, 36.0], shoonya_0s197PCEQIBW3J, 5730838]
[paragraph, [346.0, 1438.0, 1092.0, 36.0], shoonya_0s197PCEQIBW3J, 5730838]
[paragraph, [346.0, 1474.0, 1092.0, 36.0], shoonya_0s197PCEQIBW3J, 5730838]
[paragraph, [346.0, 1510.0, 1092.0, 36.0], shoonya_0s197PCEQIBW3J, 5730838]
[paragraph, [346.0, 1546.0, 1092.0, 36.0], shoonya_0s197PCEQIBW3J, 5730838]
[paragraph, [346.0, 1582.0, 1092.0, 36.0], shoonya_0s197PCEQIBW3J, 5730838]
[paragraph, [346.0, 1618.0, 1092.0, 36.0], shoonya_0s197PCEQIBW3J, 5730838]
[paragraph, [338.0, 1650.0, 1095.0, 36.0], shoonya_2s1M0VPIJIDSKH, 5730838]
[paragraph, [338.0, 1686.0, 1095.0, 36.0], shoonya_2s1M0VPIJIDSKH, 5730838]
[paragraph, [338.0, 1722.0, 1095.0, 36.0], shoonya_2s1M0VPIJIDSKH, 5730838]
[paragraph, [338.0, 1758.0, 1095.0, 36.0], shoonya_2s1M0VPIJIDSKH, 5730838]
[paragraph, [338.0, 1794.0, 1095.0, 36.0], shoonya_2s1M0VPIJIDSKH, 5730838]
[paragraph, [338.0, 1830.0, 1095.0, 36.0], shoonya_2s1M0VPIJIDSKH, 5730838]
[paragraph, [338.0, 1866.0, 1095.0, 36.0], shoonya_2s1M0VPIJIDSKH, 5730838]
[paragraph, [338.0, 1902.0, 1095.0, 36.0], shoonya_2s1M0VPIJIDSKH, 5730838]
[folio, [443.0, 2004.0, 375.0, 36.0], FFUEeL7pLZ, 5730838]
