[671, 472]
[folio, [226.0, 60.0, 70.0, 18.0], rqHFEe236C, 6464515]
[paragraph, [110.0, 93.0, 325.0, 18.0], -ClW-vjLeW, 6464515]
[paragraph, [110.0, 111.0, 325.0, 18.0], -ClW-vjLeW, 6464515]
[paragraph, [110.0, 129.0, 325.0, 18.0], -ClW-vjLeW, 6464515]
[paragraph, [110.0, 147.0, 325.0, 18.0], -ClW-vjLeW, 6464515]
[paragraph, [110.0, 165.0, 325.0, 18.0], -ClW-vjLeW, 6464515]
[paragraph, [110.0, 183.0, 325.0, 18.0], -ClW-vjLeW, 6464515]
[paragraph, [110.0, 201.0, 325.0, 18.0], -ClW-vjLeW, 6464515]
[paragraph, [110.0, 219.0, 325.0, 18.0], -ClW-vjLeW, 6464515]
[paragraph, [110.0, 237.0, 325.0, 18.0], -ClW-vjLeW, 6464515]
[paragraph, [110.0, 255.0, 325.0, 18.0], -ClW-vjLeW, 6464515]
[paragraph, [110.0, 273.0, 325.0, 18.0], -ClW-vjLeW, 6464515]
[paragraph, [110.0, 291.0, 325.0, 18.0], -ClW-vjLeW, 6464515]
[paragraph, [110.0, 309.0, 325.0, 18.0], -ClW-vjLeW, 6464515]
[paragraph, [110.0, 327.0, 325.0, 18.0], -ClW-vjLeW, 6464515]
[paragraph, [110.0, 345.0, 325.0, 18.0], -ClW-vjLeW, 6464515]
[paragraph, [110.0, 363.0, 325.0, 18.0], -ClW-vjLeW, 6464515]
[paragraph, [110.0, 381.0, 325.0, 18.0], -ClW-vjLeW, 6464515]
[paragraph, [110.0, 399.0, 325.0, 18.0], -ClW-vjLeW, 6464515]
[paragraph, [110.0, 417.0, 325.0, 18.0], -ClW-vjLeW, 6464515]
[paragraph, [110.0, 435.0, 325.0, 18.0], -ClW-vjLeW, 6464515]
[paragraph, [110.0, 453.0, 325.0, 18.0], -ClW-vjLeW, 6464515]
[paragraph, [110.0, 471.0, 325.0, 18.0], -ClW-vjLeW, 6464515]
[paragraph, [110.0, 489.0, 325.0, 18.0], -ClW-vjLeW, 6464515]
[paragraph, [110.0, 507.0, 325.0, 18.0], -ClW-vjLeW, 6464515]
[paragraph, [110.0, 525.0, 325.0, 18.0], -ClW-vjLeW, 6464515]
[paragraph, [110.0, 543.0, 325.0, 18.0], -ClW-vjLeW, 6464515]
[paragraph, [110.0, 561.0, 325.0, 18.0], -ClW-vjLeW, 6464515]
[footnote, [112.0, 642.0, 246.0, 18.0], rZxKSpa9MH, 6464515]
