[792, 612]
[author, [256.0, 111.0, 106.0, 18.0], tlemA_MdDh, 6516370]
[paragraph, [152.0, 145.0, 303.0, 18.0], KfU697Bo9_, 6516370]
[paragraph, [264.0, 231.0, 163.0, 18.0], tMzD77E08x, 6516370]
[paragraph, [264.0, 249.0, 163.0, 18.0], tMzD77E08x, 6516370]
[paragraph, [264.0, 267.0, 163.0, 18.0], tMzD77E08x, 6516370]
[paragraph, [264.0, 285.0, 163.0, 18.0], tMzD77E08x, 6516370]
[paragraph, [264.0, 303.0, 163.0, 18.0], tMzD77E08x, 6516370]
[paragraph, [264.0, 321.0, 163.0, 18.0], tMzD77E08x, 6516370]
[paragraph, [264.0, 339.0, 163.0, 18.0], tMzD77E08x, 6516370]
[paragraph, [264.0, 357.0, 163.0, 18.0], tMzD77E08x, 6516370]
[paragraph, [264.0, 375.0, 163.0, 18.0], tMzD77E08x, 6516370]
[paragraph, [264.0, 393.0, 163.0, 18.0], tMzD77E08x, 6516370]
[paragraph, [264.0, 411.0, 163.0, 18.0], tMzD77E08x, 6516370]
[paragraph, [264.0, 429.0, 163.0, 18.0], tMzD77E08x, 6516370]
[paragraph, [264.0, 447.0, 163.0, 18.0], tMzD77E08x, 6516370]
[paragraph, [264.0, 465.0, 163.0, 18.0], tMzD77E08x, 6516370]
[paragraph, [264.0, 483.0, 163.0, 18.0], tMzD77E08x, 6516370]
[paragraph, [264.0, 501.0, 163.0, 18.0], tMzD77E08x, 6516370]
[paragraph, [264.0, 519.0, 163.0, 18.0], tMzD77E08x, 6516370]
[paragraph, [264.0, 537.0, 163.0, 18.0], tMzD77E08x, 6516370]
[paragraph, [264.0, 555.0, 163.0, 18.0], tMzD77E08x, 6516370]
[paragraph, [264.0, 573.0, 163.0, 18.0], tMzD77E08x, 6516370]
[paragraph, [264.0, 591.0, 163.0, 18.0], tMzD77E08x, 6516370]
[paragraph, [264.0, 609.0, 163.0, 18.0], tMzD77E08x, 6516370]
[paragraph, [264.0, 627.0, 163.0, 18.0], tMzD77E08x, 6516370]
[paragraph, [264.0, 645.0, 163.0, 18.0], tMzD77E08x, 6516370]
