[1754, 1241]
[section-title, [443.0, 108.0, 353.0, 49.5], oty3kfj2O6, 5706379]
[section-title, [443.0, 157.5, 353.0, 49.5], oty3kfj2O6, 5706379]
[sidebar, [893.0, 249.0, 217.0, 36.0], 94ayjE2dBM, 5706379]
[sidebar, [508.0, 252.0, 234.0, 36.0], UasSgG-YMZ, 5706379]
[sidebar, [139.0, 254.0, 142.0, 36.0], -56eHXMsgu, 5706379]
[sub-section-title, [463.0, 344.0, 241.0, 36.0], F3QGFc0EUD, 5706379]
[sidebar, [946.0, 349.0, 140.0, 36.0], shoonya_0sH2Y2DQUKSJM5, 5706379]
[ordered-list, [161.0, 418.0, 806.0, 36.0], 9y7Be7kvHn, 5706379]
[ordered-list, [161.0, 454.0, 806.0, 36.0], 9y7Be7kvHn, 5706379]
[ordered-list, [161.0, 490.0, 806.0, 36.0], 9y7Be7kvHn, 5706379]
[ordered-list, [161.0, 526.0, 806.0, 36.0], 9y7Be7kvHn, 5706379]
[ordered-list, [161.0, 562.0, 806.0, 36.0], 9y7Be7kvHn, 5706379]
[ordered-list, [161.0, 598.0, 806.0, 36.0], 9y7Be7kvHn, 5706379]
[ordered-list, [161.0, 634.0, 806.0, 36.0], 9y7Be7kvHn, 5706379]
[ordered-list, [161.0, 670.0, 806.0, 36.0], 9y7Be7kvHn, 5706379]
[ordered-list, [161.0, 706.0, 806.0, 36.0], 9y7Be7kvHn, 5706379]
[ordered-list, [161.0, 742.0, 806.0, 36.0], 9y7Be7kvHn, 5706379]
[ordered-list, [161.0, 778.0, 806.0, 36.0], 9y7Be7kvHn, 5706379]
[ordered-list, [161.0, 814.0, 806.0, 36.0], 9y7Be7kvHn, 5706379]
[ordered-list, [161.0, 850.0, 806.0, 36.0], 9y7Be7kvHn, 5706379]
[ordered-list, [161.0, 886.0, 806.0, 36.0], 9y7Be7kvHn, 5706379]
[ordered-list, [161.0, 922.0, 806.0, 36.0], 9y7Be7kvHn, 5706379]
[ordered-list, [161.0, 958.0, 806.0, 36.0], 9y7Be7kvHn, 5706379]
[ordered-list, [161.0, 994.0, 806.0, 36.0], 9y7Be7kvHn, 5706379]
[ordered-list, [161.0, 1030.0, 806.0, 36.0], 9y7Be7kvHn, 5706379]
[ordered-list, [161.0, 1066.0, 806.0, 36.0], 9y7Be7kvHn, 5706379]
[ordered-list, [161.0, 1102.0, 806.0, 36.0], 9y7Be7kvHn, 5706379]
[ordered-list, [161.0, 1138.0, 806.0, 36.0], 9y7Be7kvHn, 5706379]
[ordered-list, [161.0, 1174.0, 806.0, 36.0], 9y7Be7kvHn, 5706379]
[ordered-list, [161.0, 1210.0, 806.0, 36.0], 9y7Be7kvHn, 5706379]
[ordered-list, [161.0, 1246.0, 806.0, 36.0], 9y7Be7kvHn, 5706379]
[ordered-list, [161.0, 1282.0, 806.0, 36.0], 9y7Be7kvHn, 5706379]
[ordered-list, [161.0, 1318.0, 806.0, 36.0], 9y7Be7kvHn, 5706379]
[ordered-list, [161.0, 1354.0, 806.0, 36.0], 9y7Be7kvHn, 5706379]
[ordered-list, [161.0, 1390.0, 806.0, 36.0], 9y7Be7kvHn, 5706379]
[ordered-list, [161.0, 1426.0, 806.0, 36.0], 9y7Be7kvHn, 5706379]
[ordered-list, [161.0, 1462.0, 806.0, 36.0], 9y7Be7kvHn, 5706379]
[ordered-list, [161.0, 1498.0, 806.0, 36.0], 9y7Be7kvHn, 5706379]
[ordered-list, [161.0, 1534.0, 806.0, 36.0], 9y7Be7kvHn, 5706379]
