[1725, 1275]
[flag, [82.0, 69.0, 318.0, 36.0], shoonya_6s0D5YN4HFTNNF, 5713204]
[section-title, [593.0, 167.0, 263.0, 49.5], AXQZ3VWoeT, 5713204]
[section-title, [593.0, 216.5, 263.0, 49.5], AXQZ3VWoeT, 5713204]
[section-title, [593.0, 266.0, 263.0, 49.5], AXQZ3VWoeT, 5713204]
[headline, [597.0, 352.0, 602.0, 37.5], shoonya_8s8QC9MQ1F4ISS, 5713204]
[headline, [597.0, 389.5, 602.0, 37.5], shoonya_8s8QC9MQ1F4ISS, 5713204]
[headline, [597.0, 427.0, 602.0, 37.5], shoonya_8s8QC9MQ1F4ISS, 5713204]
[headline, [597.0, 464.5, 602.0, 37.5], shoonya_8s8QC9MQ1F4ISS, 5713204]
[headline, [597.0, 502.0, 602.0, 37.5], shoonya_8s8QC9MQ1F4ISS, 5713204]
[headline, [597.0, 539.5, 602.0, 37.5], shoonya_8s8QC9MQ1F4ISS, 5713204]
[paragraph, [578.0, 608.0, 635.0, 36.0], eyttDTx8-P, 5713204]
[paragraph, [578.0, 644.0, 635.0, 36.0], eyttDTx8-P, 5713204]
[paragraph, [578.0, 680.0, 635.0, 36.0], eyttDTx8-P, 5713204]
[paragraph, [578.0, 716.0, 635.0, 36.0], eyttDTx8-P, 5713204]
[contact-info, [578.0, 761.0, 456.0, 36.0], 4CunIhs0H5, 5713204]
[contact-info, [578.0, 797.0, 456.0, 36.0], 4CunIhs0H5, 5713204]
[paragraph, [48.0, 867.0, 578.0, 36.0], shoonya_5sNX7T14A4AKBP, 5713204]
[paragraph, [48.0, 903.0, 578.0, 36.0], shoonya_5sNX7T14A4AKBP, 5713204]
[paragraph, [48.0, 939.0, 578.0, 36.0], shoonya_5sNX7T14A4AKBP, 5713204]
[paragraph, [48.0, 975.0, 578.0, 36.0], shoonya_5sNX7T14A4AKBP, 5713204]
[paragraph, [636.0, 875.0, 578.0, 36.0], shoonya_1sSCQZT6736Y1L, 5713204]
[paragraph, [636.0, 911.0, 578.0, 36.0], shoonya_1sSCQZT6736Y1L, 5713204]
[paragraph, [636.0, 947.0, 578.0, 36.0], shoonya_1sSCQZT6736Y1L, 5713204]
[paragraph, [636.0, 983.0, 578.0, 36.0], shoonya_1sSCQZT6736Y1L, 5713204]
[paragraph, [636.0, 1019.0, 578.0, 36.0], shoonya_1sSCQZT6736Y1L, 5713204]
[paragraph, [636.0, 1055.0, 578.0, 36.0], shoonya_1sSCQZT6736Y1L, 5713204]
[paragraph, [636.0, 1091.0, 578.0, 36.0], shoonya_1sSCQZT6736Y1L, 5713204]
[paragraph, [636.0, 1127.0, 578.0, 36.0], shoonya_1sSCQZT6736Y1L, 5713204]
[paragraph, [636.0, 1163.0, 578.0, 36.0], shoonya_1sSCQZT6736Y1L, 5713204]
[paragraph, [636.0, 1199.0, 578.0, 36.0], shoonya_1sSCQZT6736Y1L, 5713204]
[paragraph, [636.0, 1235.0, 578.0, 36.0], shoonya_1sSCQZT6736Y1L, 5713204]
[paragraph, [636.0, 1271.0, 578.0, 36.0], shoonya_1sSCQZT6736Y1L, 5713204]
[paragraph, [636.0, 1307.0, 578.0, 36.0], shoonya_1sSCQZT6736Y1L, 5713204]
[paragraph, [636.0, 1343.0, 578.0, 36.0], shoonya_1sSCQZT6736Y1L, 5713204]
[paragraph, [636.0, 1379.0, 578.0, 36.0], shoonya_1sSCQZT6736Y1L, 5713204]
[paragraph, [636.0, 1415.0, 578.0, 36.0], shoonya_1sSCQZT6736Y1L, 5713204]
[paragraph, [636.0, 1451.0, 578.0, 36.0], shoonya_1sSCQZT6736Y1L, 5713204]
[paragraph, [51.0, 1026.0, 578.0, 36.0], shoonya_0sEX1RC06ORF8Z, 5713204]
[paragraph, [51.0, 1062.0, 578.0, 36.0], shoonya_0sEX1RC06ORF8Z, 5713204]
[paragraph, [51.0, 1098.0, 578.0, 36.0], shoonya_0sEX1RC06ORF8Z, 5713204]
[paragraph, [51.0, 1134.0, 578.0, 36.0], shoonya_0sEX1RC06ORF8Z, 5713204]
[paragraph, [51.0, 1170.0, 578.0, 36.0], shoonya_0sEX1RC06ORF8Z, 5713204]
[paragraph, [51.0, 1206.0, 578.0, 36.0], shoonya_0sEX1RC06ORF8Z, 5713204]
[paragraph, [51.0, 1242.0, 578.0, 36.0], shoonya_0sEX1RC06ORF8Z, 5713204]
[paragraph, [51.0, 1278.0, 578.0, 36.0], shoonya_0sEX1RC06ORF8Z, 5713204]
[paragraph, [51.0, 1351.0, 582.0, 36.0], BQxTNEGQLS, 5713204]
[paragraph, [51.0, 1387.0, 582.0, 36.0], BQxTNEGQLS, 5713204]
[paragraph, [51.0, 1423.0, 582.0, 36.0], BQxTNEGQLS, 5713204]
[paragraph, [56.0, 1525.0, 572.0, 36.0], zF2Hho4eQ3, 5713204]
[paragraph, [56.0, 1561.0, 572.0, 36.0], zF2Hho4eQ3, 5713204]
[paragraph, [56.0, 1597.0, 572.0, 36.0], zF2Hho4eQ3, 5713204]
[paragraph, [56.0, 1633.0, 572.0, 36.0], zF2Hho4eQ3, 5713204]
[paragraph, [631.0, 1526.0, 602.0, 36.0], shoonya_3sJ8CGCIQCWQQK, 5713204]
[paragraph, [631.0, 1562.0, 602.0, 36.0], shoonya_3sJ8CGCIQCWQQK, 5713204]
[paragraph, [631.0, 1598.0, 602.0, 36.0], shoonya_3sJ8CGCIQCWQQK, 5713204]
