[1492, 1000]
[folio, [413.0, 150.0, 201.0, 18.0], shoonya_2sSV0G6QK19J6Y, 5720797]
[paragraph, [140.0, 208.0, 745.0, 18.0], shoonya_0s8X2I6JTJWLOP, 5720797]
[paragraph, [140.0, 226.0, 745.0, 18.0], shoonya_0s8X2I6JTJWLOP, 5720797]
[paragraph, [140.0, 244.0, 745.0, 18.0], shoonya_0s8X2I6JTJWLOP, 5720797]
[paragraph, [140.0, 262.0, 745.0, 18.0], shoonya_0s8X2I6JTJWLOP, 5720797]
[paragraph, [140.0, 280.0, 745.0, 18.0], shoonya_0s8X2I6JTJWLOP, 5720797]
[paragraph, [140.0, 298.0, 745.0, 18.0], shoonya_0s8X2I6JTJWLOP, 5720797]
[paragraph, [140.0, 316.0, 745.0, 18.0], shoonya_0s8X2I6JTJWLOP, 5720797]
[paragraph, [140.0, 334.0, 745.0, 18.0], shoonya_0s8X2I6JTJWLOP, 5720797]
[paragraph, [140.0, 352.0, 745.0, 18.0], shoonya_0s8X2I6JTJWLOP, 5720797]
[paragraph, [146.0, 372.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 390.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 408.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 426.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 444.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 462.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 480.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 498.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 516.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 534.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 552.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 570.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 588.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 606.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 624.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 642.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 660.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 678.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 696.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 714.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 732.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 750.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 768.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 786.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 804.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 822.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 840.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 858.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 876.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 894.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 912.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 930.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 948.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 966.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 984.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 1002.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 1020.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 1038.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 1056.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 1074.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 1092.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 1110.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 1128.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 1146.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 1164.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 1182.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 1200.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 1218.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 1236.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 1254.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 1272.0, 737.0, 18.0], z5BZzgv62p, 5720797]
[paragraph, [146.0, 1290.0, 737.0, 18.0], z5BZzgv62p, 5720797]
