[2333, 1591]
[paragraph, [276.0, 203.0, 1176.0, 36.0], shoonya_2s8YM0IEGGYHXN, 5734563]
[paragraph, [276.0, 239.0, 1176.0, 36.0], shoonya_2s8YM0IEGGYHXN, 5734563]
[paragraph, [276.0, 275.0, 1176.0, 36.0], shoonya_2s8YM0IEGGYHXN, 5734563]
[paragraph, [276.0, 311.0, 1176.0, 36.0], shoonya_2s8YM0IEGGYHXN, 5734563]
[paragraph, [276.0, 347.0, 1176.0, 36.0], shoonya_2s8YM0IEGGYHXN, 5734563]
[paragraph, [276.0, 383.0, 1176.0, 36.0], shoonya_2s8YM0IEGGYHXN, 5734563]
[paragraph, [278.0, 491.0, 1170.0, 36.0], shoonya_1sI3PJ4AXY3HFN, 5734563]
[paragraph, [278.0, 527.0, 1170.0, 36.0], shoonya_1sI3PJ4AXY3HFN, 5734563]
[paragraph, [278.0, 563.0, 1170.0, 36.0], shoonya_1sI3PJ4AXY3HFN, 5734563]
[paragraph, [278.0, 599.0, 1170.0, 36.0], shoonya_1sI3PJ4AXY3HFN, 5734563]
[paragraph, [278.0, 635.0, 1170.0, 36.0], shoonya_1sI3PJ4AXY3HFN, 5734563]
[paragraph, [278.0, 671.0, 1170.0, 36.0], shoonya_1sI3PJ4AXY3HFN, 5734563]
[paragraph, [278.0, 707.0, 1170.0, 36.0], shoonya_1sI3PJ4AXY3HFN, 5734563]
[paragraph, [278.0, 743.0, 1170.0, 36.0], shoonya_1sI3PJ4AXY3HFN, 5734563]
[paragraph, [278.0, 779.0, 1170.0, 36.0], shoonya_1sI3PJ4AXY3HFN, 5734563]
[paragraph, [278.0, 815.0, 1170.0, 36.0], shoonya_1sI3PJ4AXY3HFN, 5734563]
[paragraph, [278.0, 851.0, 1170.0, 36.0], shoonya_1sI3PJ4AXY3HFN, 5734563]
[paragraph, [278.0, 887.0, 1170.0, 36.0], shoonya_1sI3PJ4AXY3HFN, 5734563]
[paragraph, [268.0, 969.0, 1180.0, 36.0], shoonya_0sFT425JN9Q946, 5734563]
[paragraph, [268.0, 1005.0, 1180.0, 36.0], shoonya_0sFT425JN9Q946, 5734563]
[paragraph, [268.0, 1041.0, 1180.0, 36.0], shoonya_0sFT425JN9Q946, 5734563]
[paragraph, [268.0, 1077.0, 1180.0, 36.0], shoonya_0sFT425JN9Q946, 5734563]
[paragraph, [268.0, 1113.0, 1180.0, 36.0], shoonya_0sFT425JN9Q946, 5734563]
[paragraph, [268.0, 1149.0, 1180.0, 36.0], shoonya_0sFT425JN9Q946, 5734563]
[paragraph, [268.0, 1185.0, 1180.0, 36.0], shoonya_0sFT425JN9Q946, 5734563]
[paragraph, [268.0, 1221.0, 1180.0, 36.0], shoonya_0sFT425JN9Q946, 5734563]
[paragraph, [268.0, 1257.0, 1180.0, 36.0], shoonya_0sFT425JN9Q946, 5734563]
[paragraph, [268.0, 1293.0, 1180.0, 36.0], shoonya_0sFT425JN9Q946, 5734563]
[paragraph, [268.0, 1329.0, 1180.0, 36.0], shoonya_0sFT425JN9Q946, 5734563]
[paragraph, [268.0, 1365.0, 1180.0, 36.0], shoonya_0sFT425JN9Q946, 5734563]
[paragraph, [268.0, 1401.0, 1180.0, 36.0], shoonya_0sFT425JN9Q946, 5734563]
[paragraph, [268.0, 1437.0, 1180.0, 36.0], shoonya_0sFT425JN9Q946, 5734563]
[paragraph, [268.0, 1473.0, 1180.0, 36.0], shoonya_0sFT425JN9Q946, 5734563]
[paragraph, [258.0, 1571.0, 1190.0, 36.0], shoonya_4sDTA3MJZKO0QC, 5734563]
[paragraph, [258.0, 1607.0, 1190.0, 36.0], shoonya_4sDTA3MJZKO0QC, 5734563]
[paragraph, [258.0, 1643.0, 1190.0, 36.0], shoonya_4sDTA3MJZKO0QC, 5734563]
[paragraph, [258.0, 1679.0, 1190.0, 36.0], shoonya_4sDTA3MJZKO0QC, 5734563]
[paragraph, [258.0, 1715.0, 1190.0, 36.0], shoonya_4sDTA3MJZKO0QC, 5734563]
[paragraph, [258.0, 1751.0, 1190.0, 36.0], shoonya_4sDTA3MJZKO0QC, 5734563]
[paragraph, [258.0, 1787.0, 1190.0, 36.0], shoonya_4sDTA3MJZKO0QC, 5734563]
[paragraph, [258.0, 1823.0, 1190.0, 36.0], shoonya_4sDTA3MJZKO0QC, 5734563]
