[624, 1616]
[section-title, [212.0, 62.0, 331.0, 30.0], Gf9-eE2SQM, 5762752]
[paragraph, [979.0, 100.0, 527.0, 18.0], LlX1QyA3bN, 5762752]
[paragraph, [979.0, 118.0, 527.0, 18.0], LlX1QyA3bN, 5762752]
[paragraph, [979.0, 136.0, 527.0, 18.0], LlX1QyA3bN, 5762752]
[paragraph, [979.0, 154.0, 527.0, 18.0], LlX1QyA3bN, 5762752]
[paragraph, [979.0, 172.0, 527.0, 18.0], LlX1QyA3bN, 5762752]
[paragraph, [979.0, 190.0, 527.0, 18.0], LlX1QyA3bN, 5762752]
[paragraph, [979.0, 208.0, 527.0, 18.0], LlX1QyA3bN, 5762752]
[paragraph, [979.0, 246.0, 517.0, 18.0], ObqRBpMmtW, 5762752]
[paragraph, [979.0, 264.0, 517.0, 18.0], ObqRBpMmtW, 5762752]
[paragraph, [979.0, 282.0, 517.0, 18.0], ObqRBpMmtW, 5762752]
[paragraph, [979.0, 300.0, 517.0, 18.0], ObqRBpMmtW, 5762752]
[paragraph, [973.0, 335.0, 539.0, 18.0], co-krkgNh3, 5762752]
[paragraph, [973.0, 353.0, 539.0, 18.0], co-krkgNh3, 5762752]
[paragraph, [973.0, 371.0, 539.0, 18.0], co-krkgNh3, 5762752]
[paragraph, [973.0, 389.0, 539.0, 18.0], co-krkgNh3, 5762752]
[paragraph, [973.0, 407.0, 539.0, 18.0], co-krkgNh3, 5762752]
[paragraph, [973.0, 425.0, 539.0, 18.0], co-krkgNh3, 5762752]
[folio, [971.0, 468.0, 551.0, 18.0], SjxB8pma-a, 5762752]
[folio, [971.0, 486.0, 551.0, 18.0], SjxB8pma-a, 5762752]
[folio, [971.0, 504.0, 551.0, 18.0], SjxB8pma-a, 5762752]
[folio, [971.0, 522.0, 551.0, 18.0], SjxB8pma-a, 5762752]
[folio, [971.0, 540.0, 551.0, 18.0], SjxB8pma-a, 5762752]
[folio, [971.0, 558.0, 551.0, 18.0], SjxB8pma-a, 5762752]
[folio, [971.0, 576.0, 551.0, 18.0], SjxB8pma-a, 5762752]
[folio, [971.0, 594.0, 551.0, 18.0], SjxB8pma-a, 5762752]
[website-link, [10.0, 564.0, 206.0, 18.0], shoonya_0sV2W8MMVWJB5P, 5762752]
[author, [1072.0, 587.0, 367.0, 18.0], eyYmsBM5KH, 5762752]
