[2806, 1984]
[paragraph, [236.0, 234.0, 690.0, 46.5], shoonya_1sQX2RXTJHVS9W, 5693940]
[paragraph, [236.0, 280.5, 690.0, 46.5], shoonya_1sQX2RXTJHVS9W, 5693940]
[paragraph, [236.0, 327.0, 690.0, 46.5], shoonya_1sQX2RXTJHVS9W, 5693940]
[paragraph, [236.0, 373.5, 690.0, 46.5], shoonya_1sQX2RXTJHVS9W, 5693940]
[paragraph, [236.0, 420.0, 690.0, 46.5], shoonya_1sQX2RXTJHVS9W, 5693940]
[paragraph, [236.0, 466.5, 690.0, 46.5], shoonya_1sQX2RXTJHVS9W, 5693940]
[paragraph, [236.0, 513.0, 690.0, 46.5], shoonya_1sQX2RXTJHVS9W, 5693940]
[paragraph, [236.0, 559.5, 690.0, 46.5], shoonya_1sQX2RXTJHVS9W, 5693940]
[paragraph, [236.0, 606.0, 690.0, 46.5], shoonya_1sQX2RXTJHVS9W, 5693940]
[paragraph, [236.0, 652.5, 690.0, 46.5], shoonya_1sQX2RXTJHVS9W, 5693940]
[paragraph, [236.0, 699.0, 690.0, 46.5], shoonya_1sQX2RXTJHVS9W, 5693940]
[paragraph, [968.0, 734.0, 693.0, 46.5], shoonya_3s9HBPM5S5XQYX, 5693940]
[paragraph, [968.0, 780.5, 693.0, 46.5], shoonya_3s9HBPM5S5XQYX, 5693940]
[paragraph, [968.0, 827.0, 693.0, 46.5], shoonya_3s9HBPM5S5XQYX, 5693940]
[paragraph, [968.0, 873.5, 693.0, 46.5], shoonya_3s9HBPM5S5XQYX, 5693940]
[paragraph, [968.0, 920.0, 693.0, 46.5], shoonya_3s9HBPM5S5XQYX, 5693940]
[paragraph, [968.0, 966.5, 693.0, 46.5], shoonya_3s9HBPM5S5XQYX, 5693940]
[paragraph, [968.0, 1013.0, 693.0, 46.5], shoonya_3s9HBPM5S5XQYX, 5693940]
[paragraph, [968.0, 1059.5, 693.0, 46.5], shoonya_3s9HBPM5S5XQYX, 5693940]
[paragraph, [968.0, 1106.0, 693.0, 46.5], shoonya_3s9HBPM5S5XQYX, 5693940]
[paragraph, [968.0, 1152.5, 693.0, 46.5], shoonya_3s9HBPM5S5XQYX, 5693940]
[paragraph, [968.0, 1199.0, 693.0, 46.5], shoonya_3s9HBPM5S5XQYX, 5693940]
[paragraph, [968.0, 1245.5, 693.0, 46.5], shoonya_3s9HBPM5S5XQYX, 5693940]
[paragraph, [968.0, 1292.0, 693.0, 46.5], shoonya_3s9HBPM5S5XQYX, 5693940]
[paragraph, [968.0, 1338.5, 693.0, 46.5], shoonya_3s9HBPM5S5XQYX, 5693940]
[paragraph, [968.0, 1385.0, 693.0, 46.5], shoonya_3s9HBPM5S5XQYX, 5693940]
[paragraph, [968.0, 1431.5, 693.0, 46.5], shoonya_3s9HBPM5S5XQYX, 5693940]
[paragraph, [238.0, 775.0, 686.0, 46.5], shoonya_0s0AV8PXHZMS9P, 5693940]
[paragraph, [238.0, 821.5, 686.0, 46.5], shoonya_0s0AV8PXHZMS9P, 5693940]
[paragraph, [238.0, 868.0, 686.0, 46.5], shoonya_0s0AV8PXHZMS9P, 5693940]
[paragraph, [238.0, 914.5, 686.0, 46.5], shoonya_0s0AV8PXHZMS9P, 5693940]
[paragraph, [238.0, 961.0, 686.0, 46.5], shoonya_0s0AV8PXHZMS9P, 5693940]
[paragraph, [238.0, 1007.5, 686.0, 46.5], shoonya_0s0AV8PXHZMS9P, 5693940]
[paragraph, [238.0, 1054.0, 686.0, 46.5], shoonya_0s0AV8PXHZMS9P, 5693940]
[paragraph, [238.0, 1100.5, 686.0, 46.5], shoonya_0s0AV8PXHZMS9P, 5693940]
[paragraph, [238.0, 1147.0, 686.0, 46.5], shoonya_0s0AV8PXHZMS9P, 5693940]
[paragraph, [238.0, 1193.5, 686.0, 46.5], shoonya_0s0AV8PXHZMS9P, 5693940]
[paragraph, [238.0, 1240.0, 686.0, 46.5], shoonya_0s0AV8PXHZMS9P, 5693940]
[paragraph, [238.0, 1286.5, 686.0, 46.5], shoonya_0s0AV8PXHZMS9P, 5693940]
[paragraph, [238.0, 1333.0, 686.0, 46.5], shoonya_0s0AV8PXHZMS9P, 5693940]
[paragraph, [238.0, 1379.5, 686.0, 46.5], shoonya_0s0AV8PXHZMS9P, 5693940]
[paragraph, [238.0, 1426.0, 686.0, 46.5], shoonya_0s0AV8PXHZMS9P, 5693940]
[paragraph, [238.0, 1472.5, 686.0, 46.5], shoonya_0s0AV8PXHZMS9P, 5693940]
[paragraph, [238.0, 1519.0, 686.0, 46.5], shoonya_0s0AV8PXHZMS9P, 5693940]
[paragraph, [238.0, 1565.5, 686.0, 46.5], shoonya_0s0AV8PXHZMS9P, 5693940]
[paragraph, [238.0, 1612.0, 686.0, 46.5], shoonya_0s0AV8PXHZMS9P, 5693940]
[paragraph, [238.0, 1658.5, 686.0, 46.5], shoonya_0s0AV8PXHZMS9P, 5693940]
[paragraph, [238.0, 1705.0, 686.0, 46.5], shoonya_0s0AV8PXHZMS9P, 5693940]
[paragraph, [238.0, 1751.5, 686.0, 46.5], shoonya_0s0AV8PXHZMS9P, 5693940]
[author, [953.0, 1489.0, 305.0, 46.5], BLSx_SDyKY, 5693940]
[author, [188.0, 1795.0, 528.0, 46.5], zlSC_mlybR, 5693940]
[author, [188.0, 1841.5, 528.0, 46.5], zlSC_mlybR, 5693940]
[paragraph, [969.0, 1930.0, 693.0, 46.5], shoonya_2sO0OZCTLER3OZ, 5693940]
[paragraph, [969.0, 1976.5, 693.0, 46.5], shoonya_2sO0OZCTLER3OZ, 5693940]
[paragraph, [969.0, 2023.0, 693.0, 46.5], shoonya_2sO0OZCTLER3OZ, 5693940]
[paragraph, [969.0, 2069.5, 693.0, 46.5], shoonya_2sO0OZCTLER3OZ, 5693940]
[paragraph, [969.0, 2116.0, 693.0, 46.5], shoonya_2sO0OZCTLER3OZ, 5693940]
[paragraph, [969.0, 2162.5, 693.0, 46.5], shoonya_2sO0OZCTLER3OZ, 5693940]
[paragraph, [969.0, 2209.0, 693.0, 46.5], shoonya_2sO0OZCTLER3OZ, 5693940]
[paragraph, [969.0, 2255.5, 693.0, 46.5], shoonya_2sO0OZCTLER3OZ, 5693940]
[paragraph, [969.0, 2302.0, 693.0, 46.5], shoonya_2sO0OZCTLER3OZ, 5693940]
[paragraph, [969.0, 2348.5, 693.0, 46.5], shoonya_2sO0OZCTLER3OZ, 5693940]
[paragraph, [969.0, 2395.0, 693.0, 46.5], shoonya_2sO0OZCTLER3OZ, 5693940]
[paragraph, [969.0, 2441.5, 693.0, 46.5], shoonya_2sO0OZCTLER3OZ, 5693940]
[paragraph, [969.0, 2488.0, 693.0, 46.5], shoonya_2sO0OZCTLER3OZ, 5693940]
[author, [955.0, 2560.0, 322.0, 46.5], 0A1p3LXzr7, 5693940]
[author, [955.0, 2606.5, 322.0, 46.5], 0A1p3LXzr7, 5693940]
