[1387, 987]
[paragraph, [87.0, 279.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 297.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 315.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 333.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 351.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 369.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 387.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 405.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 423.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 441.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 459.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 477.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 495.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 513.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 531.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 549.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 567.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 585.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 603.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 621.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 639.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 657.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 675.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 693.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 711.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 729.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 747.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 765.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 783.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 801.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 819.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 837.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 855.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 873.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 891.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 909.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 927.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 945.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 963.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 981.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 999.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 1017.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 1035.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 1053.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 1071.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 1089.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 1107.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 1125.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 1143.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 1161.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 1179.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 1197.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 1215.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
[paragraph, [87.0, 1233.0, 807.0, 18.0], shoonya_0sEUTCW69F22SP, 5652956]
