[1755, 1241]
[folio, [193.0, 69.0, 442.0, 36.0], exP8fB5Orc, 5760677]
[paragraph, [198.0, 142.0, 805.0, 36.0], DYMQj_5pu0, 5760677]
[paragraph, [198.0, 178.0, 805.0, 36.0], DYMQj_5pu0, 5760677]
[paragraph, [198.0, 214.0, 805.0, 36.0], DYMQj_5pu0, 5760677]
[paragraph, [198.0, 250.0, 805.0, 36.0], DYMQj_5pu0, 5760677]
[paragraph, [203.0, 298.0, 800.0, 36.0], sUSyDIsQFa, 5760677]
[paragraph, [203.0, 334.0, 800.0, 36.0], sUSyDIsQFa, 5760677]
[paragraph, [203.0, 370.0, 800.0, 36.0], sUSyDIsQFa, 5760677]
[paragraph, [273.0, 471.0, 594.0, 36.0], OB7BWMuz5H, 5760677]
[paragraph, [273.0, 507.0, 594.0, 36.0], OB7BWMuz5H, 5760677]
[paragraph, [273.0, 543.0, 594.0, 36.0], OB7BWMuz5H, 5760677]
[paragraph, [273.0, 579.0, 594.0, 36.0], OB7BWMuz5H, 5760677]
[paragraph, [273.0, 615.0, 594.0, 36.0], OB7BWMuz5H, 5760677]
[paragraph, [273.0, 651.0, 594.0, 36.0], OB7BWMuz5H, 5760677]
[paragraph, [273.0, 687.0, 594.0, 36.0], OB7BWMuz5H, 5760677]
[paragraph, [273.0, 723.0, 594.0, 36.0], OB7BWMuz5H, 5760677]
[paragraph, [273.0, 759.0, 594.0, 36.0], OB7BWMuz5H, 5760677]
[paragraph, [273.0, 795.0, 594.0, 36.0], OB7BWMuz5H, 5760677]
[paragraph, [273.0, 831.0, 594.0, 36.0], OB7BWMuz5H, 5760677]
[paragraph, [273.0, 867.0, 594.0, 36.0], OB7BWMuz5H, 5760677]
[paragraph, [273.0, 903.0, 594.0, 36.0], OB7BWMuz5H, 5760677]
[paragraph, [273.0, 939.0, 594.0, 36.0], OB7BWMuz5H, 5760677]
[paragraph, [198.0, 1009.0, 805.0, 36.0], PBV7Zh29AU, 5760677]
[paragraph, [198.0, 1045.0, 805.0, 36.0], PBV7Zh29AU, 5760677]
[paragraph, [198.0, 1081.0, 805.0, 36.0], PBV7Zh29AU, 5760677]
[paragraph, [198.0, 1117.0, 805.0, 36.0], PBV7Zh29AU, 5760677]
[paragraph, [198.0, 1153.0, 805.0, 36.0], PBV7Zh29AU, 5760677]
[paragraph, [198.0, 1189.0, 805.0, 36.0], PBV7Zh29AU, 5760677]
[paragraph, [198.0, 1225.0, 805.0, 36.0], PBV7Zh29AU, 5760677]
[paragraph, [198.0, 1261.0, 805.0, 36.0], PBV7Zh29AU, 5760677]
[paragraph, [198.0, 1297.0, 805.0, 36.0], PBV7Zh29AU, 5760677]
[paragraph, [198.0, 1333.0, 805.0, 36.0], PBV7Zh29AU, 5760677]
[paragraph, [198.0, 1369.0, 805.0, 36.0], PBV7Zh29AU, 5760677]
[paragraph, [198.0, 1405.0, 805.0, 36.0], PBV7Zh29AU, 5760677]
[paragraph, [198.0, 1441.0, 805.0, 36.0], PBV7Zh29AU, 5760677]
[paragraph, [198.0, 1477.0, 805.0, 36.0], PBV7Zh29AU, 5760677]
[paragraph, [201.0, 1524.0, 806.0, 36.0], 1Ok34bNJIO, 5760677]
[paragraph, [201.0, 1560.0, 806.0, 36.0], 1Ok34bNJIO, 5760677]
