[792, 612]
[contact-info, [264.0, 111.0, 88.0, 18.0], MnHlSYAc0o, 5651331]
[contact-info, [264.0, 129.0, 88.0, 18.0], MnHlSYAc0o, 5651331]
[contact-info, [264.0, 147.0, 88.0, 18.0], MnHlSYAc0o, 5651331]
[contact-info, [264.0, 165.0, 88.0, 18.0], MnHlSYAc0o, 5651331]
[section-title, [453.0, 198.0, 59.0, 30.0], aoZdQZgOO5, 5651331]
[paragraph, [245.0, 259.0, 264.0, 18.0], shoonya_0sPLDZTJ959RP7, 5651331]
[paragraph, [245.0, 277.0, 264.0, 18.0], shoonya_0sPLDZTJ959RP7, 5651331]
[paragraph, [245.0, 295.0, 264.0, 18.0], shoonya_0sPLDZTJ959RP7, 5651331]
[paragraph, [245.0, 313.0, 264.0, 18.0], shoonya_0sPLDZTJ959RP7, 5651331]
[paragraph, [245.0, 331.0, 264.0, 18.0], shoonya_0sPLDZTJ959RP7, 5651331]
[paragraph, [245.0, 349.0, 264.0, 18.0], shoonya_0sPLDZTJ959RP7, 5651331]
[paragraph, [245.0, 367.0, 264.0, 18.0], shoonya_0sPLDZTJ959RP7, 5651331]
[paragraph, [245.0, 385.0, 264.0, 18.0], shoonya_0sPLDZTJ959RP7, 5651331]
[paragraph, [245.0, 403.0, 264.0, 18.0], shoonya_0sPLDZTJ959RP7, 5651331]
[paragraph, [245.0, 421.0, 264.0, 18.0], shoonya_0sPLDZTJ959RP7, 5651331]
[paragraph, [245.0, 439.0, 264.0, 18.0], shoonya_0sPLDZTJ959RP7, 5651331]
[paragraph, [107.0, 283.0, 128.0, 18.0], GYbeBuAuHC, 5651331]
[unordered-list, [108.0, 310.0, 125.0, 18.0], shoonya_2sDAEGV2PSYUXO, 5651331]
[unordered-list, [108.0, 328.0, 125.0, 18.0], shoonya_2sDAEGV2PSYUXO, 5651331]
[unordered-list, [108.0, 346.0, 125.0, 18.0], shoonya_2sDAEGV2PSYUXO, 5651331]
[unordered-list, [108.0, 364.0, 125.0, 18.0], shoonya_2sDAEGV2PSYUXO, 5651331]
[unordered-list, [108.0, 382.0, 125.0, 18.0], shoonya_2sDAEGV2PSYUXO, 5651331]
[unordered-list, [108.0, 400.0, 125.0, 18.0], shoonya_2sDAEGV2PSYUXO, 5651331]
[unordered-list, [108.0, 418.0, 125.0, 18.0], shoonya_2sDAEGV2PSYUXO, 5651331]
[unordered-list, [108.0, 436.0, 125.0, 18.0], shoonya_2sDAEGV2PSYUXO, 5651331]
[unordered-list, [108.0, 454.0, 125.0, 18.0], shoonya_2sDAEGV2PSYUXO, 5651331]
[unordered-list, [108.0, 472.0, 125.0, 18.0], shoonya_2sDAEGV2PSYUXO, 5651331]
[unordered-list, [108.0, 490.0, 125.0, 18.0], shoonya_2sDAEGV2PSYUXO, 5651331]
[unordered-list, [108.0, 508.0, 125.0, 18.0], shoonya_2sDAEGV2PSYUXO, 5651331]
[unordered-list, [108.0, 526.0, 125.0, 18.0], shoonya_2sDAEGV2PSYUXO, 5651331]
[unordered-list, [108.0, 544.0, 125.0, 18.0], shoonya_2sDAEGV2PSYUXO, 5651331]
[unordered-list, [108.0, 562.0, 125.0, 18.0], shoonya_2sDAEGV2PSYUXO, 5651331]
[unordered-list, [108.0, 580.0, 125.0, 18.0], shoonya_2sDAEGV2PSYUXO, 5651331]
[unordered-list, [108.0, 598.0, 125.0, 18.0], shoonya_2sDAEGV2PSYUXO, 5651331]
[unordered-list, [108.0, 616.0, 125.0, 18.0], shoonya_2sDAEGV2PSYUXO, 5651331]
[unordered-list, [108.0, 634.0, 125.0, 18.0], shoonya_2sDAEGV2PSYUXO, 5651331]
[paragraph, [245.0, 503.0, 262.0, 18.0], shoonya_4sL3WM6JCINXGB, 5651331]
[paragraph, [245.0, 535.0, 260.0, 18.0], shoonya_1s4O23R2AA0Q1J, 5651331]
[paragraph, [245.0, 553.0, 260.0, 18.0], shoonya_1s4O23R2AA0Q1J, 5651331]
[paragraph, [245.0, 571.0, 260.0, 18.0], shoonya_1s4O23R2AA0Q1J, 5651331]
[paragraph, [245.0, 589.0, 260.0, 18.0], shoonya_1s4O23R2AA0Q1J, 5651331]
[paragraph, [245.0, 607.0, 260.0, 18.0], shoonya_1s4O23R2AA0Q1J, 5651331]
[paragraph, [245.0, 625.0, 260.0, 18.0], shoonya_1s4O23R2AA0Q1J, 5651331]
[footnote, [260.0, 696.0, 98.0, 18.0], OKT7C_jzRL, 5651331]
