[1571, 1128]
[folio, [124.0, 83.0, 139.0, 36.0], dbeDDqNv4z, 6472309]
[headline, [140.0, 177.0, 901.0, 37.5], shoonya_1s44MQVYOKMJ79, 6472309]
[headline, [140.0, 214.5, 901.0, 37.5], shoonya_1s44MQVYOKMJ79, 6472309]
[paragraph, [147.0, 279.0, 887.0, 36.0], shoonya_7sJ4MK1BZUS0PG, 6472309]
[paragraph, [147.0, 315.0, 887.0, 36.0], shoonya_7sJ4MK1BZUS0PG, 6472309]
[paragraph, [146.0, 390.0, 430.0, 36.0], a4XAnuV5eY, 6472309]
[paragraph, [146.0, 426.0, 430.0, 36.0], a4XAnuV5eY, 6472309]
[paragraph, [146.0, 462.0, 430.0, 36.0], a4XAnuV5eY, 6472309]
[paragraph, [146.0, 498.0, 430.0, 36.0], a4XAnuV5eY, 6472309]
[paragraph, [146.0, 534.0, 430.0, 36.0], a4XAnuV5eY, 6472309]
[paragraph, [146.0, 570.0, 430.0, 36.0], a4XAnuV5eY, 6472309]
[paragraph, [146.0, 606.0, 430.0, 36.0], a4XAnuV5eY, 6472309]
[paragraph, [146.0, 642.0, 430.0, 36.0], a4XAnuV5eY, 6472309]
[unordered-list, [614.0, 396.0, 416.0, 36.0], shoonya_4s213LOHE8I1A2, 6472309]
[unordered-list, [614.0, 432.0, 416.0, 36.0], shoonya_4s213LOHE8I1A2, 6472309]
[unordered-list, [614.0, 468.0, 416.0, 36.0], shoonya_4s213LOHE8I1A2, 6472309]
[unordered-list, [587.0, 550.0, 444.0, 36.0], shoonya_8sS518QLLEK3WP, 6472309]
[unordered-list, [587.0, 586.0, 444.0, 36.0], shoonya_8sS518QLLEK3WP, 6472309]
[unordered-list, [587.0, 622.0, 444.0, 36.0], shoonya_8sS518QLLEK3WP, 6472309]
[unordered-list, [587.0, 658.0, 444.0, 36.0], shoonya_8sS518QLLEK3WP, 6472309]
[unordered-list, [587.0, 694.0, 444.0, 36.0], shoonya_8sS518QLLEK3WP, 6472309]
[unordered-list, [587.0, 730.0, 444.0, 36.0], shoonya_8sS518QLLEK3WP, 6472309]
[unordered-list, [587.0, 766.0, 444.0, 36.0], shoonya_8sS518QLLEK3WP, 6472309]
[unordered-list, [587.0, 802.0, 444.0, 36.0], shoonya_8sS518QLLEK3WP, 6472309]
[unordered-list, [587.0, 838.0, 444.0, 36.0], shoonya_8sS518QLLEK3WP, 6472309]
[unordered-list, [587.0, 874.0, 444.0, 36.0], shoonya_8sS518QLLEK3WP, 6472309]
[unordered-list, [587.0, 910.0, 444.0, 36.0], shoonya_8sS518QLLEK3WP, 6472309]
[unordered-list, [587.0, 946.0, 444.0, 36.0], shoonya_8sS518QLLEK3WP, 6472309]
[unordered-list, [587.0, 982.0, 444.0, 36.0], shoonya_8sS518QLLEK3WP, 6472309]
[unordered-list, [587.0, 1018.0, 444.0, 36.0], shoonya_8sS518QLLEK3WP, 6472309]
[unordered-list, [587.0, 1054.0, 444.0, 36.0], shoonya_8sS518QLLEK3WP, 6472309]
[unordered-list, [587.0, 1090.0, 444.0, 36.0], shoonya_8sS518QLLEK3WP, 6472309]
[unordered-list, [150.0, 750.0, 420.0, 36.0], shoonya_6s6R6PUI8RS9SX, 6472309]
[unordered-list, [150.0, 786.0, 420.0, 36.0], shoonya_6s6R6PUI8RS9SX, 6472309]
[unordered-list, [150.0, 822.0, 420.0, 36.0], shoonya_6s6R6PUI8RS9SX, 6472309]
[unordered-list, [150.0, 858.0, 420.0, 36.0], shoonya_6s6R6PUI8RS9SX, 6472309]
[unordered-list, [150.0, 894.0, 420.0, 36.0], shoonya_6s6R6PUI8RS9SX, 6472309]
[unordered-list, [150.0, 930.0, 420.0, 36.0], shoonya_6s6R6PUI8RS9SX, 6472309]
[unordered-list, [150.0, 966.0, 420.0, 36.0], shoonya_6s6R6PUI8RS9SX, 6472309]
[unordered-list, [150.0, 1002.0, 420.0, 36.0], shoonya_6s6R6PUI8RS9SX, 6472309]
[unordered-list, [150.0, 1038.0, 420.0, 36.0], shoonya_6s6R6PUI8RS9SX, 6472309]
[unordered-list, [150.0, 1074.0, 420.0, 36.0], shoonya_6s6R6PUI8RS9SX, 6472309]
[unordered-list, [150.0, 1110.0, 420.0, 36.0], shoonya_6s6R6PUI8RS9SX, 6472309]
[unordered-list, [150.0, 1146.0, 420.0, 36.0], shoonya_6s6R6PUI8RS9SX, 6472309]
[unordered-list, [150.0, 1182.0, 420.0, 36.0], shoonya_6s6R6PUI8RS9SX, 6472309]
[unordered-list, [150.0, 1218.0, 420.0, 36.0], shoonya_6s6R6PUI8RS9SX, 6472309]
[unordered-list, [150.0, 1254.0, 420.0, 36.0], shoonya_6s6R6PUI8RS9SX, 6472309]
[unordered-list, [150.0, 1290.0, 420.0, 36.0], shoonya_6s6R6PUI8RS9SX, 6472309]
[unordered-list, [589.0, 1200.0, 439.0, 36.0], 59Aa-P_s4r, 6472309]
[unordered-list, [589.0, 1236.0, 439.0, 36.0], 59Aa-P_s4r, 6472309]
[unordered-list, [589.0, 1272.0, 439.0, 36.0], 59Aa-P_s4r, 6472309]
[unordered-list, [589.0, 1308.0, 439.0, 36.0], 59Aa-P_s4r, 6472309]
[unordered-list, [589.0, 1344.0, 439.0, 36.0], 59Aa-P_s4r, 6472309]
[unordered-list, [589.0, 1380.0, 439.0, 36.0], 59Aa-P_s4r, 6472309]
