[585, 406]
[section-title, [74.0, 105.0, 250.0, 30.0], RN89f3Hjy3, 6495750]
[paragraph, [47.0, 182.0, 307.0, 18.0], SABCgYArj_, 6495750]
[paragraph, [47.0, 200.0, 307.0, 18.0], SABCgYArj_, 6495750]
[paragraph, [47.0, 218.0, 307.0, 18.0], SABCgYArj_, 6495750]
[paragraph, [47.0, 236.0, 307.0, 18.0], SABCgYArj_, 6495750]
[paragraph, [47.0, 254.0, 307.0, 18.0], SABCgYArj_, 6495750]
[paragraph, [47.0, 272.0, 307.0, 18.0], SABCgYArj_, 6495750]
[paragraph, [47.0, 290.0, 307.0, 18.0], SABCgYArj_, 6495750]
[paragraph, [47.0, 308.0, 307.0, 18.0], SABCgYArj_, 6495750]
[paragraph, [45.0, 329.0, 309.0, 18.0], nJ72jU_tmb, 6495750]
[paragraph, [45.0, 347.0, 309.0, 18.0], nJ72jU_tmb, 6495750]
[paragraph, [45.0, 365.0, 309.0, 18.0], nJ72jU_tmb, 6495750]
[paragraph, [45.0, 383.0, 309.0, 18.0], nJ72jU_tmb, 6495750]
[paragraph, [45.0, 401.0, 309.0, 18.0], nJ72jU_tmb, 6495750]
[paragraph, [45.0, 419.0, 309.0, 18.0], nJ72jU_tmb, 6495750]
[paragraph, [44.0, 443.0, 309.0, 18.0], MYgZWTO_d6, 6495750]
[paragraph, [44.0, 461.0, 309.0, 18.0], MYgZWTO_d6, 6495750]
[paragraph, [44.0, 479.0, 309.0, 18.0], MYgZWTO_d6, 6495750]
[paragraph, [44.0, 497.0, 309.0, 18.0], MYgZWTO_d6, 6495750]
[paragraph, [44.0, 515.0, 309.0, 18.0], MYgZWTO_d6, 6495750]
