[2200, 1700]
[paragraph, [94.0, 207.0, 708.0, 36.0], shoonya_0sDTXXXUO802GE, 5753015]
[paragraph, [94.0, 243.0, 708.0, 36.0], shoonya_0sDTXXXUO802GE, 5753015]
[paragraph, [901.0, 210.0, 714.0, 36.0], M6HyDy87Bj, 5753015]
[paragraph, [901.0, 246.0, 714.0, 36.0], M6HyDy87Bj, 5753015]
[paragraph, [901.0, 282.0, 714.0, 36.0], M6HyDy87Bj, 5753015]
[paragraph, [901.0, 318.0, 714.0, 36.0], M6HyDy87Bj, 5753015]
[paragraph, [901.0, 354.0, 714.0, 36.0], M6HyDy87Bj, 5753015]
[paragraph, [901.0, 390.0, 714.0, 36.0], M6HyDy87Bj, 5753015]
[paragraph, [89.0, 346.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 382.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 418.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 454.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 490.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 526.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 562.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 598.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 634.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 670.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 706.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 742.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 778.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 814.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 850.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 886.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 922.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 958.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 994.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 1030.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 1066.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 1102.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 1138.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 1174.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 1210.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 1246.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 1282.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 1318.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 1354.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 1390.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 1426.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 1462.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 1498.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 1534.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 1570.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 1606.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 1642.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 1678.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 1714.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 1750.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 1786.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 1822.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 1858.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [89.0, 1894.0, 709.0, 36.0], JWiUVXZDvj, 5753015]
[paragraph, [898.0, 486.0, 709.0, 36.0], bXEA3Yq2G_, 5753015]
[paragraph, [898.0, 522.0, 709.0, 36.0], bXEA3Yq2G_, 5753015]
[paragraph, [898.0, 558.0, 709.0, 36.0], bXEA3Yq2G_, 5753015]
[paragraph, [898.0, 594.0, 709.0, 36.0], bXEA3Yq2G_, 5753015]
[paragraph, [903.0, 669.0, 707.0, 36.0], UFbqGJlg-f, 5753015]
[paragraph, [903.0, 705.0, 707.0, 36.0], UFbqGJlg-f, 5753015]
[paragraph, [903.0, 741.0, 707.0, 36.0], UFbqGJlg-f, 5753015]
[paragraph, [901.0, 811.0, 709.0, 36.0], aMjfACAppO, 5753015]
[paragraph, [901.0, 847.0, 709.0, 36.0], aMjfACAppO, 5753015]
[paragraph, [901.0, 883.0, 709.0, 36.0], aMjfACAppO, 5753015]
[paragraph, [901.0, 919.0, 709.0, 36.0], aMjfACAppO, 5753015]
[paragraph, [901.0, 955.0, 709.0, 36.0], aMjfACAppO, 5753015]
[paragraph, [901.0, 991.0, 709.0, 36.0], aMjfACAppO, 5753015]
[paragraph, [901.0, 1027.0, 709.0, 36.0], aMjfACAppO, 5753015]
[paragraph, [901.0, 1063.0, 709.0, 36.0], aMjfACAppO, 5753015]
[paragraph, [901.0, 1099.0, 709.0, 36.0], aMjfACAppO, 5753015]
[paragraph, [901.0, 1135.0, 709.0, 36.0], aMjfACAppO, 5753015]
[paragraph, [901.0, 1171.0, 709.0, 36.0], aMjfACAppO, 5753015]
[paragraph, [901.0, 1207.0, 709.0, 36.0], aMjfACAppO, 5753015]
[paragraph, [901.0, 1243.0, 709.0, 36.0], aMjfACAppO, 5753015]
[paragraph, [901.0, 1279.0, 709.0, 36.0], aMjfACAppO, 5753015]
[paragraph, [901.0, 1315.0, 709.0, 36.0], aMjfACAppO, 5753015]
[paragraph, [901.0, 1351.0, 709.0, 36.0], aMjfACAppO, 5753015]
[paragraph, [898.0, 1449.0, 716.0, 36.0], YWCqC9bt2_, 5753015]
[paragraph, [898.0, 1485.0, 716.0, 36.0], YWCqC9bt2_, 5753015]
[paragraph, [901.0, 1589.0, 707.0, 36.0], 5A241vnaM8, 5753015]
[paragraph, [901.0, 1625.0, 707.0, 36.0], 5A241vnaM8, 5753015]
[paragraph, [901.0, 1661.0, 707.0, 36.0], 5A241vnaM8, 5753015]
[paragraph, [901.0, 1697.0, 707.0, 36.0], 5A241vnaM8, 5753015]
[paragraph, [901.0, 1733.0, 707.0, 36.0], 5A241vnaM8, 5753015]
[paragraph, [901.0, 1769.0, 707.0, 36.0], 5A241vnaM8, 5753015]
[paragraph, [896.0, 1862.0, 716.0, 36.0], xX5HNfxG07, 5753015]
[paragraph, [896.0, 1898.0, 716.0, 36.0], xX5HNfxG07, 5753015]
