[1220, 755]
[section-title, [291.0, 61.0, 159.0, 30.0], shoonya_11sD9ZCDMVGGU8, 6470127]
[paragraph, [58.0, 166.0, 625.0, 18.0], shoonya_0sNL27D83FOOG5, 6470127]
[paragraph, [58.0, 184.0, 625.0, 18.0], shoonya_0sNL27D83FOOG5, 6470127]
[paragraph, [58.0, 202.0, 625.0, 18.0], shoonya_0sNL27D83FOOG5, 6470127]
[paragraph, [57.0, 234.0, 626.0, 18.0], exbWMX0kJz, 6470127]
[paragraph, [57.0, 252.0, 626.0, 18.0], exbWMX0kJz, 6470127]
[paragraph, [57.0, 270.0, 626.0, 18.0], exbWMX0kJz, 6470127]
[paragraph, [57.0, 288.0, 626.0, 18.0], exbWMX0kJz, 6470127]
[paragraph, [57.0, 306.0, 626.0, 18.0], exbWMX0kJz, 6470127]
[paragraph, [57.0, 324.0, 626.0, 18.0], exbWMX0kJz, 6470127]
[paragraph, [57.0, 342.0, 626.0, 18.0], exbWMX0kJz, 6470127]
[paragraph, [57.0, 360.0, 626.0, 18.0], exbWMX0kJz, 6470127]
[paragraph, [57.0, 378.0, 626.0, 18.0], exbWMX0kJz, 6470127]
[paragraph, [95.0, 420.0, 473.0, 18.0], MYflmHwh-b, 6470127]
[paragraph, [52.0, 459.0, 630.0, 18.0], N5OTPh_LPW, 6470127]
[paragraph, [52.0, 477.0, 630.0, 18.0], N5OTPh_LPW, 6470127]
[paragraph, [52.0, 495.0, 630.0, 18.0], N5OTPh_LPW, 6470127]
[paragraph, [57.0, 526.0, 625.0, 18.0], e_XibUxf6W, 6470127]
[paragraph, [57.0, 544.0, 625.0, 18.0], e_XibUxf6W, 6470127]
[paragraph, [57.0, 562.0, 625.0, 18.0], e_XibUxf6W, 6470127]
[paragraph, [56.0, 592.0, 628.0, 18.0], GBea5aana1, 6470127]
[paragraph, [56.0, 610.0, 628.0, 18.0], GBea5aana1, 6470127]
[paragraph, [56.0, 628.0, 628.0, 18.0], GBea5aana1, 6470127]
[paragraph, [87.0, 662.0, 304.0, 18.0], _8AeSlNyxc, 6470127]
[paragraph, [55.0, 698.0, 630.0, 18.0], ICN5dogt-x, 6470127]
[paragraph, [55.0, 716.0, 630.0, 18.0], ICN5dogt-x, 6470127]
[paragraph, [55.0, 734.0, 630.0, 18.0], ICN5dogt-x, 6470127]
[paragraph, [55.0, 752.0, 630.0, 18.0], ICN5dogt-x, 6470127]
[paragraph, [55.0, 770.0, 630.0, 18.0], ICN5dogt-x, 6470127]
[paragraph, [55.0, 788.0, 630.0, 18.0], ICN5dogt-x, 6470127]
[paragraph, [54.0, 823.0, 630.0, 18.0], tFyvsZuUgs, 6470127]
[paragraph, [54.0, 841.0, 630.0, 18.0], tFyvsZuUgs, 6470127]
[paragraph, [54.0, 859.0, 630.0, 18.0], tFyvsZuUgs, 6470127]
[paragraph, [53.0, 889.0, 631.0, 18.0], -Q2Tug1j7p, 6470127]
[paragraph, [53.0, 907.0, 631.0, 18.0], -Q2Tug1j7p, 6470127]
[paragraph, [53.0, 925.0, 631.0, 18.0], -Q2Tug1j7p, 6470127]
[paragraph, [84.0, 957.0, 580.0, 18.0], EDUq8ubtMz, 6470127]
[paragraph, [52.0, 995.0, 630.0, 18.0], 98dyy_vJuq, 6470127]
[paragraph, [52.0, 1013.0, 630.0, 18.0], 98dyy_vJuq, 6470127]
[paragraph, [52.0, 1031.0, 630.0, 18.0], 98dyy_vJuq, 6470127]
[paragraph, [85.0, 1060.0, 598.0, 18.0], xRKzpO6vTT, 6470127]
[paragraph, [85.0, 1078.0, 598.0, 18.0], xRKzpO6vTT, 6470127]
[paragraph, [84.0, 1100.0, 396.0, 18.0], kEstYG7MY_, 6470127]
[paragraph, [84.0, 1118.0, 396.0, 18.0], kEstYG7MY_, 6470127]
