[2200, 1700]
[paragraph, [326.0, 95.0, 1099.0, 36.0], shoonya_1s7FMX8L42N012, 5731528]
[paragraph, [326.0, 131.0, 1099.0, 36.0], shoonya_1s7FMX8L42N012, 5731528]
[paragraph, [326.0, 167.0, 1099.0, 36.0], shoonya_1s7FMX8L42N012, 5731528]
[paragraph, [326.0, 203.0, 1099.0, 36.0], shoonya_1s7FMX8L42N012, 5731528]
[paragraph, [326.0, 239.0, 1099.0, 36.0], shoonya_1s7FMX8L42N012, 5731528]
[paragraph, [326.0, 275.0, 1099.0, 36.0], shoonya_1s7FMX8L42N012, 5731528]
[paragraph, [326.0, 311.0, 1099.0, 36.0], shoonya_1s7FMX8L42N012, 5731528]
[paragraph, [326.0, 347.0, 1099.0, 36.0], shoonya_1s7FMX8L42N012, 5731528]
[paragraph, [326.0, 383.0, 1099.0, 36.0], shoonya_1s7FMX8L42N012, 5731528]
[paragraph, [326.0, 419.0, 1099.0, 36.0], shoonya_1s7FMX8L42N012, 5731528]
[paragraph, [326.0, 455.0, 1099.0, 36.0], shoonya_1s7FMX8L42N012, 5731528]
[paragraph, [329.0, 495.0, 1113.0, 36.0], shoonya_3sCRHIZAA1X17J, 5731528]
[paragraph, [329.0, 531.0, 1113.0, 36.0], shoonya_3sCRHIZAA1X17J, 5731528]
[paragraph, [329.0, 567.0, 1113.0, 36.0], shoonya_3sCRHIZAA1X17J, 5731528]
[paragraph, [329.0, 603.0, 1113.0, 36.0], shoonya_3sCRHIZAA1X17J, 5731528]
[paragraph, [329.0, 639.0, 1113.0, 36.0], shoonya_3sCRHIZAA1X17J, 5731528]
[paragraph, [329.0, 675.0, 1113.0, 36.0], shoonya_3sCRHIZAA1X17J, 5731528]
[paragraph, [329.0, 711.0, 1113.0, 36.0], shoonya_3sCRHIZAA1X17J, 5731528]
[paragraph, [329.0, 747.0, 1113.0, 36.0], shoonya_3sCRHIZAA1X17J, 5731528]
[paragraph, [329.0, 783.0, 1113.0, 36.0], shoonya_3sCRHIZAA1X17J, 5731528]
[paragraph, [333.0, 841.0, 1082.0, 36.0], shoonya_2sF0PO71GZ0NE9, 5731528]
[paragraph, [333.0, 877.0, 1082.0, 36.0], shoonya_2sF0PO71GZ0NE9, 5731528]
[paragraph, [333.0, 913.0, 1082.0, 36.0], shoonya_2sF0PO71GZ0NE9, 5731528]
[paragraph, [333.0, 949.0, 1082.0, 36.0], shoonya_2sF0PO71GZ0NE9, 5731528]
[paragraph, [333.0, 985.0, 1082.0, 36.0], shoonya_2sF0PO71GZ0NE9, 5731528]
[paragraph, [333.0, 1021.0, 1082.0, 36.0], shoonya_2sF0PO71GZ0NE9, 5731528]
[paragraph, [333.0, 1057.0, 1082.0, 36.0], shoonya_2sF0PO71GZ0NE9, 5731528]
[paragraph, [334.0, 1115.0, 1089.0, 36.0], shoonya_0s1PA3A4DQR3OY, 5731528]
[paragraph, [334.0, 1151.0, 1089.0, 36.0], shoonya_0s1PA3A4DQR3OY, 5731528]
[paragraph, [334.0, 1187.0, 1089.0, 36.0], shoonya_0s1PA3A4DQR3OY, 5731528]
[paragraph, [334.0, 1223.0, 1089.0, 36.0], shoonya_0s1PA3A4DQR3OY, 5731528]
[paragraph, [334.0, 1259.0, 1089.0, 36.0], shoonya_0s1PA3A4DQR3OY, 5731528]
[paragraph, [334.0, 1295.0, 1089.0, 36.0], shoonya_0s1PA3A4DQR3OY, 5731528]
[paragraph, [334.0, 1331.0, 1089.0, 36.0], shoonya_0s1PA3A4DQR3OY, 5731528]
[paragraph, [334.0, 1367.0, 1089.0, 36.0], shoonya_0s1PA3A4DQR3OY, 5731528]
[paragraph, [334.0, 1403.0, 1089.0, 36.0], shoonya_0s1PA3A4DQR3OY, 5731528]
[paragraph, [334.0, 1439.0, 1089.0, 36.0], shoonya_0s1PA3A4DQR3OY, 5731528]
[paragraph, [334.0, 1475.0, 1089.0, 36.0], shoonya_0s1PA3A4DQR3OY, 5731528]
[paragraph, [334.0, 1511.0, 1089.0, 36.0], shoonya_0s1PA3A4DQR3OY, 5731528]
[paragraph, [334.0, 1547.0, 1089.0, 36.0], shoonya_0s1PA3A4DQR3OY, 5731528]
[paragraph, [334.0, 1583.0, 1089.0, 36.0], shoonya_0s1PA3A4DQR3OY, 5731528]
[paragraph, [334.0, 1619.0, 1089.0, 36.0], shoonya_0s1PA3A4DQR3OY, 5731528]
[paragraph, [334.0, 1655.0, 1089.0, 36.0], shoonya_0s1PA3A4DQR3OY, 5731528]
[paragraph, [334.0, 1691.0, 1089.0, 36.0], shoonya_0s1PA3A4DQR3OY, 5731528]
[paragraph, [334.0, 1727.0, 1089.0, 36.0], shoonya_0s1PA3A4DQR3OY, 5731528]
[paragraph, [334.0, 1763.0, 1089.0, 36.0], shoonya_0s1PA3A4DQR3OY, 5731528]
[paragraph, [334.0, 1799.0, 1089.0, 36.0], shoonya_0s1PA3A4DQR3OY, 5731528]
[paragraph, [334.0, 1835.0, 1089.0, 36.0], shoonya_0s1PA3A4DQR3OY, 5731528]
[paragraph, [334.0, 1871.0, 1089.0, 36.0], shoonya_0s1PA3A4DQR3OY, 5731528]
[paragraph, [334.0, 1907.0, 1089.0, 36.0], shoonya_0s1PA3A4DQR3OY, 5731528]
[paragraph, [334.0, 1943.0, 1089.0, 36.0], shoonya_0s1PA3A4DQR3OY, 5731528]
[folio, [411.0, 2042.0, 371.0, 36.0], 2YXn7z9xO-, 5731528]
