[792, 612]
[folio, [251.0, 49.0, 79.0, 18.0], aeg6AT0a-c, 6493875]
[paragraph, [84.0, 87.0, 404.0, 18.0], shoonya_0s13L8SISIHGFW, 6493875]
[paragraph, [84.0, 105.0, 404.0, 18.0], shoonya_0s13L8SISIHGFW, 6493875]
[paragraph, [84.0, 123.0, 404.0, 18.0], shoonya_0s13L8SISIHGFW, 6493875]
[paragraph, [84.0, 141.0, 404.0, 18.0], shoonya_0s13L8SISIHGFW, 6493875]
[paragraph, [84.0, 159.0, 404.0, 18.0], shoonya_0s13L8SISIHGFW, 6493875]
[paragraph, [84.0, 177.0, 404.0, 18.0], shoonya_0s13L8SISIHGFW, 6493875]
[paragraph, [84.0, 195.0, 404.0, 18.0], shoonya_0s13L8SISIHGFW, 6493875]
[paragraph, [84.0, 213.0, 404.0, 18.0], shoonya_0s13L8SISIHGFW, 6493875]
[paragraph, [84.0, 231.0, 404.0, 18.0], shoonya_0s13L8SISIHGFW, 6493875]
[paragraph, [84.0, 249.0, 404.0, 18.0], shoonya_0s13L8SISIHGFW, 6493875]
[paragraph, [84.0, 267.0, 404.0, 18.0], shoonya_0s13L8SISIHGFW, 6493875]
[paragraph, [84.0, 285.0, 404.0, 18.0], shoonya_0s13L8SISIHGFW, 6493875]
[paragraph, [84.0, 303.0, 404.0, 18.0], shoonya_0s13L8SISIHGFW, 6493875]
[paragraph, [84.0, 321.0, 404.0, 18.0], shoonya_0s13L8SISIHGFW, 6493875]
[paragraph, [84.0, 339.0, 404.0, 18.0], shoonya_0s13L8SISIHGFW, 6493875]
[paragraph, [84.0, 357.0, 404.0, 18.0], shoonya_0s13L8SISIHGFW, 6493875]
[paragraph, [84.0, 375.0, 404.0, 18.0], shoonya_0s13L8SISIHGFW, 6493875]
[paragraph, [84.0, 393.0, 404.0, 18.0], shoonya_0s13L8SISIHGFW, 6493875]
[paragraph, [84.0, 411.0, 404.0, 18.0], shoonya_0s13L8SISIHGFW, 6493875]
[paragraph, [84.0, 429.0, 404.0, 18.0], shoonya_0s13L8SISIHGFW, 6493875]
[paragraph, [84.0, 447.0, 404.0, 18.0], shoonya_0s13L8SISIHGFW, 6493875]
[paragraph, [84.0, 465.0, 404.0, 18.0], shoonya_0s13L8SISIHGFW, 6493875]
[paragraph, [84.0, 483.0, 404.0, 18.0], shoonya_0s13L8SISIHGFW, 6493875]
[paragraph, [84.0, 501.0, 404.0, 18.0], shoonya_0s13L8SISIHGFW, 6493875]
[paragraph, [84.0, 519.0, 404.0, 18.0], shoonya_0s13L8SISIHGFW, 6493875]
[paragraph, [84.0, 537.0, 404.0, 18.0], shoonya_0s13L8SISIHGFW, 6493875]
[paragraph, [84.0, 555.0, 404.0, 18.0], shoonya_0s13L8SISIHGFW, 6493875]
[paragraph, [84.0, 573.0, 404.0, 18.0], shoonya_0s13L8SISIHGFW, 6493875]
[paragraph, [84.0, 591.0, 404.0, 18.0], shoonya_0s13L8SISIHGFW, 6493875]
[paragraph, [84.0, 609.0, 404.0, 18.0], shoonya_0s13L8SISIHGFW, 6493875]
[paragraph, [84.0, 627.0, 404.0, 18.0], shoonya_0s13L8SISIHGFW, 6493875]
[paragraph, [84.0, 645.0, 404.0, 18.0], shoonya_0s13L8SISIHGFW, 6493875]
[paragraph, [84.0, 663.0, 404.0, 18.0], shoonya_0s13L8SISIHGFW, 6493875]
[paragraph, [84.0, 681.0, 404.0, 18.0], shoonya_0s13L8SISIHGFW, 6493875]
