[1787, 1218]
[paragraph, [106.0, 118.0, 971.0, 36.0], shoonya_0sMVFBRHDB0D4T, 5651287]
[paragraph, [106.0, 154.0, 971.0, 36.0], shoonya_0sMVFBRHDB0D4T, 5651287]
[paragraph, [106.0, 190.0, 971.0, 36.0], shoonya_0sMVFBRHDB0D4T, 5651287]
[paragraph, [106.0, 226.0, 971.0, 36.0], shoonya_0sMVFBRHDB0D4T, 5651287]
[paragraph, [106.0, 262.0, 971.0, 36.0], shoonya_0sMVFBRHDB0D4T, 5651287]
[paragraph, [108.0, 312.0, 972.0, 36.0], BQVF6S_ZR0, 5651287]
[paragraph, [108.0, 348.0, 972.0, 36.0], BQVF6S_ZR0, 5651287]
[paragraph, [108.0, 384.0, 972.0, 36.0], BQVF6S_ZR0, 5651287]
[paragraph, [114.0, 428.0, 963.0, 36.0], ldniotiQcW, 5651287]
[paragraph, [114.0, 464.0, 963.0, 36.0], ldniotiQcW, 5651287]
[paragraph, [114.0, 500.0, 963.0, 36.0], ldniotiQcW, 5651287]
[paragraph, [117.0, 540.0, 962.0, 36.0], fcMs6mEXd9, 5651287]
[paragraph, [117.0, 576.0, 962.0, 36.0], fcMs6mEXd9, 5651287]
[paragraph, [117.0, 612.0, 962.0, 36.0], fcMs6mEXd9, 5651287]
[paragraph, [117.0, 648.0, 962.0, 36.0], fcMs6mEXd9, 5651287]
[paragraph, [312.0, 704.0, 504.0, 36.0], shoonya_2s4GIGQGUIE1EB, 5651287]
[paragraph, [312.0, 740.0, 504.0, 36.0], shoonya_2s4GIGQGUIE1EB, 5651287]
[paragraph, [312.0, 776.0, 504.0, 36.0], shoonya_2s4GIGQGUIE1EB, 5651287]
[paragraph, [111.0, 829.0, 984.0, 36.0], shoonya_1sX974ODMFJEKY, 5651287]
[paragraph, [111.0, 865.0, 984.0, 36.0], shoonya_1sX974ODMFJEKY, 5651287]
[paragraph, [111.0, 901.0, 984.0, 36.0], shoonya_1sX974ODMFJEKY, 5651287]
[paragraph, [111.0, 937.0, 984.0, 36.0], shoonya_1sX974ODMFJEKY, 5651287]
[paragraph, [111.0, 973.0, 984.0, 36.0], shoonya_1sX974ODMFJEKY, 5651287]
[paragraph, [111.0, 1009.0, 984.0, 36.0], shoonya_1sX974ODMFJEKY, 5651287]
[paragraph, [111.0, 1045.0, 984.0, 36.0], shoonya_1sX974ODMFJEKY, 5651287]
[paragraph, [128.0, 1096.0, 968.0, 36.0], shoonya_4sPZT400PL0640, 5651287]
[paragraph, [128.0, 1132.0, 968.0, 36.0], shoonya_4sPZT400PL0640, 5651287]
[paragraph, [128.0, 1168.0, 968.0, 36.0], shoonya_4sPZT400PL0640, 5651287]
[paragraph, [128.0, 1204.0, 968.0, 36.0], shoonya_4sPZT400PL0640, 5651287]
[paragraph, [128.0, 1240.0, 968.0, 36.0], shoonya_4sPZT400PL0640, 5651287]
[paragraph, [128.0, 1276.0, 968.0, 36.0], shoonya_4sPZT400PL0640, 5651287]
[paragraph, [126.0, 1298.0, 977.0, 36.0], shoonya_3sH67ANIR743H0, 5651287]
[paragraph, [126.0, 1334.0, 977.0, 36.0], shoonya_3sH67ANIR743H0, 5651287]
[paragraph, [126.0, 1370.0, 977.0, 36.0], shoonya_3sH67ANIR743H0, 5651287]
[paragraph, [126.0, 1406.0, 977.0, 36.0], shoonya_3sH67ANIR743H0, 5651287]
[paragraph, [144.0, 1458.0, 979.0, 36.0], zajoL4bdWb, 5651287]
[paragraph, [144.0, 1494.0, 979.0, 36.0], zajoL4bdWb, 5651287]
[paragraph, [144.0, 1530.0, 979.0, 36.0], zajoL4bdWb, 5651287]
[paragraph, [144.0, 1566.0, 979.0, 36.0], zajoL4bdWb, 5651287]
