[2339, 1653]
[folio, [1007.0, 137.0, 474.0, 36.0], ZyuRP3oH4q, 5685631]
[folio, [1007.0, 173.0, 474.0, 36.0], ZyuRP3oH4q, 5685631]
[unordered-list, [323.0, 240.0, 1163.0, 36.0], shoonya_0sBDHJZRCSSAO0, 5685631]
[unordered-list, [323.0, 276.0, 1163.0, 36.0], shoonya_0sBDHJZRCSSAO0, 5685631]
[unordered-list, [323.0, 312.0, 1163.0, 36.0], shoonya_0sBDHJZRCSSAO0, 5685631]
[unordered-list, [323.0, 348.0, 1163.0, 36.0], shoonya_0sBDHJZRCSSAO0, 5685631]
[unordered-list, [323.0, 384.0, 1163.0, 36.0], shoonya_0sBDHJZRCSSAO0, 5685631]
[unordered-list, [323.0, 420.0, 1163.0, 36.0], shoonya_0sBDHJZRCSSAO0, 5685631]
[unordered-list, [323.0, 456.0, 1163.0, 36.0], shoonya_0sBDHJZRCSSAO0, 5685631]
[unordered-list, [323.0, 492.0, 1163.0, 36.0], shoonya_0sBDHJZRCSSAO0, 5685631]
[unordered-list, [323.0, 528.0, 1163.0, 36.0], shoonya_0sBDHJZRCSSAO0, 5685631]
[unordered-list, [323.0, 564.0, 1163.0, 36.0], shoonya_0sBDHJZRCSSAO0, 5685631]
[unordered-list, [323.0, 600.0, 1163.0, 36.0], shoonya_0sBDHJZRCSSAO0, 5685631]
[unordered-list, [323.0, 636.0, 1163.0, 36.0], shoonya_0sBDHJZRCSSAO0, 5685631]
[unordered-list, [323.0, 672.0, 1163.0, 36.0], shoonya_0sBDHJZRCSSAO0, 5685631]
[unordered-list, [323.0, 708.0, 1163.0, 36.0], shoonya_0sBDHJZRCSSAO0, 5685631]
[unordered-list, [323.0, 744.0, 1163.0, 36.0], shoonya_0sBDHJZRCSSAO0, 5685631]
[unordered-list, [323.0, 780.0, 1163.0, 36.0], shoonya_0sBDHJZRCSSAO0, 5685631]
[unordered-list, [323.0, 816.0, 1163.0, 36.0], shoonya_0sBDHJZRCSSAO0, 5685631]
[unordered-list, [323.0, 852.0, 1163.0, 36.0], shoonya_0sBDHJZRCSSAO0, 5685631]
[unordered-list, [323.0, 888.0, 1163.0, 36.0], shoonya_0sBDHJZRCSSAO0, 5685631]
[unordered-list, [323.0, 924.0, 1163.0, 36.0], shoonya_0sBDHJZRCSSAO0, 5685631]
[unordered-list, [323.0, 960.0, 1163.0, 36.0], shoonya_0sBDHJZRCSSAO0, 5685631]
[unordered-list, [323.0, 996.0, 1163.0, 36.0], shoonya_0sBDHJZRCSSAO0, 5685631]
[paragraph, [338.0, 1051.0, 1117.0, 36.0], 82wzelKCo5, 5685631]
[paragraph, [338.0, 1087.0, 1117.0, 36.0], 82wzelKCo5, 5685631]
[paragraph, [338.0, 1123.0, 1117.0, 36.0], 82wzelKCo5, 5685631]
[paragraph, [338.0, 1159.0, 1117.0, 36.0], 82wzelKCo5, 5685631]
[paragraph, [338.0, 1195.0, 1117.0, 36.0], 82wzelKCo5, 5685631]
[paragraph, [338.0, 1231.0, 1117.0, 36.0], 82wzelKCo5, 5685631]
