[1650, 934]
[folio, [335.0, 105.0, 258.0, 36.0], shoonya_2s5JIGRF9RQFR6, 5766631]
[paragraph, [61.0, 160.0, 805.0, 36.0], shoonya_4sVN5IRHRQKR7P, 5766631]
[paragraph, [61.0, 196.0, 805.0, 36.0], shoonya_4sVN5IRHRQKR7P, 5766631]
[ordered-list, [57.0, 249.0, 809.0, 36.0], shoonya_5s9A71LZ9QTSB8, 5766631]
[ordered-list, [57.0, 285.0, 809.0, 36.0], shoonya_5s9A71LZ9QTSB8, 5766631]
[ordered-list, [57.0, 321.0, 809.0, 36.0], shoonya_5s9A71LZ9QTSB8, 5766631]
[ordered-list, [57.0, 357.0, 809.0, 36.0], shoonya_5s9A71LZ9QTSB8, 5766631]
[ordered-list, [57.0, 415.0, 812.0, 36.0], 1wgPDirqRq, 5766631]
[ordered-list, [57.0, 451.0, 812.0, 36.0], 1wgPDirqRq, 5766631]
[ordered-list, [57.0, 487.0, 812.0, 36.0], 1wgPDirqRq, 5766631]
[ordered-list, [57.0, 523.0, 812.0, 36.0], 1wgPDirqRq, 5766631]
[ordered-list, [57.0, 559.0, 812.0, 36.0], 1wgPDirqRq, 5766631]
[section-title, [64.0, 639.0, 356.0, 49.5], shoonya_3sAEDWMG7XXU4Y, 5766631]
[ordered-list, [61.0, 704.0, 814.0, 36.0], shoonya_1sQJ4N8AFQCUJ7, 5766631]
[ordered-list, [61.0, 740.0, 814.0, 36.0], shoonya_1sQJ4N8AFQCUJ7, 5766631]
[ordered-list, [61.0, 776.0, 814.0, 36.0], shoonya_1sQJ4N8AFQCUJ7, 5766631]
[ordered-list, [61.0, 812.0, 814.0, 36.0], shoonya_1sQJ4N8AFQCUJ7, 5766631]
[ordered-list, [61.0, 848.0, 814.0, 36.0], shoonya_1sQJ4N8AFQCUJ7, 5766631]
[ordered-list, [61.0, 884.0, 814.0, 36.0], shoonya_1sQJ4N8AFQCUJ7, 5766631]
[ordered-list, [61.0, 920.0, 814.0, 36.0], shoonya_1sQJ4N8AFQCUJ7, 5766631]
[ordered-list, [61.0, 956.0, 814.0, 36.0], shoonya_1sQJ4N8AFQCUJ7, 5766631]
[ordered-list, [61.0, 992.0, 814.0, 36.0], shoonya_1sQJ4N8AFQCUJ7, 5766631]
[ordered-list, [61.0, 1028.0, 814.0, 36.0], shoonya_1sQJ4N8AFQCUJ7, 5766631]
[ordered-list, [61.0, 1064.0, 814.0, 36.0], shoonya_1sQJ4N8AFQCUJ7, 5766631]
[ordered-list, [61.0, 1100.0, 814.0, 36.0], shoonya_1sQJ4N8AFQCUJ7, 5766631]
[ordered-list, [61.0, 1136.0, 814.0, 36.0], shoonya_1sQJ4N8AFQCUJ7, 5766631]
[ordered-list, [61.0, 1172.0, 814.0, 36.0], shoonya_1sQJ4N8AFQCUJ7, 5766631]
[ordered-list, [61.0, 1208.0, 814.0, 36.0], shoonya_1sQJ4N8AFQCUJ7, 5766631]
[ordered-list, [61.0, 1244.0, 814.0, 36.0], shoonya_1sQJ4N8AFQCUJ7, 5766631]
[ordered-list, [61.0, 1280.0, 814.0, 36.0], shoonya_1sQJ4N8AFQCUJ7, 5766631]
[ordered-list, [61.0, 1316.0, 814.0, 36.0], shoonya_1sQJ4N8AFQCUJ7, 5766631]
[ordered-list, [61.0, 1352.0, 814.0, 36.0], shoonya_1sQJ4N8AFQCUJ7, 5766631]
[ordered-list, [61.0, 1388.0, 814.0, 36.0], shoonya_1sQJ4N8AFQCUJ7, 5766631]
[ordered-list, [61.0, 1424.0, 814.0, 36.0], shoonya_1sQJ4N8AFQCUJ7, 5766631]
[ordered-list, [61.0, 1460.0, 814.0, 36.0], shoonya_1sQJ4N8AFQCUJ7, 5766631]
