[1987, 1270]
[folio, [593.0, 124.0, 96.0, 36.0], shoonya_1s6X3R5ZDIL6C1, 5683169]
[paragraph, [134.0, 193.0, 1009.0, 36.0], shoonya_0sPTLTSTS5U9RY, 5683169]
[paragraph, [134.0, 229.0, 1009.0, 36.0], shoonya_0sPTLTSTS5U9RY, 5683169]
[paragraph, [134.0, 265.0, 1009.0, 36.0], shoonya_0sPTLTSTS5U9RY, 5683169]
[paragraph, [134.0, 301.0, 1009.0, 36.0], shoonya_0sPTLTSTS5U9RY, 5683169]
[paragraph, [134.0, 337.0, 1009.0, 36.0], shoonya_0sPTLTSTS5U9RY, 5683169]
[paragraph, [134.0, 373.0, 1009.0, 36.0], shoonya_0sPTLTSTS5U9RY, 5683169]
[paragraph, [134.0, 409.0, 1009.0, 36.0], shoonya_0sPTLTSTS5U9RY, 5683169]
[paragraph, [134.0, 445.0, 1009.0, 36.0], shoonya_0sPTLTSTS5U9RY, 5683169]
[paragraph, [134.0, 481.0, 1009.0, 36.0], shoonya_0sPTLTSTS5U9RY, 5683169]
[paragraph, [134.0, 517.0, 1009.0, 36.0], shoonya_0sPTLTSTS5U9RY, 5683169]
[paragraph, [134.0, 553.0, 1009.0, 36.0], shoonya_0sPTLTSTS5U9RY, 5683169]
[paragraph, [134.0, 589.0, 1009.0, 36.0], shoonya_0sPTLTSTS5U9RY, 5683169]
[paragraph, [134.0, 625.0, 1009.0, 36.0], shoonya_0sPTLTSTS5U9RY, 5683169]
[paragraph, [134.0, 661.0, 1009.0, 36.0], shoonya_0sPTLTSTS5U9RY, 5683169]
[paragraph, [134.0, 697.0, 1009.0, 36.0], shoonya_0sPTLTSTS5U9RY, 5683169]
[paragraph, [134.0, 733.0, 1009.0, 36.0], shoonya_0sPTLTSTS5U9RY, 5683169]
[paragraph, [134.0, 769.0, 1009.0, 36.0], shoonya_0sPTLTSTS5U9RY, 5683169]
[paragraph, [134.0, 805.0, 1009.0, 36.0], shoonya_0sPTLTSTS5U9RY, 5683169]
[paragraph, [134.0, 841.0, 1009.0, 36.0], shoonya_0sPTLTSTS5U9RY, 5683169]
[paragraph, [134.0, 877.0, 1009.0, 36.0], shoonya_0sPTLTSTS5U9RY, 5683169]
[paragraph, [134.0, 913.0, 1009.0, 36.0], shoonya_0sPTLTSTS5U9RY, 5683169]
[paragraph, [134.0, 949.0, 1009.0, 36.0], shoonya_0sPTLTSTS5U9RY, 5683169]
[paragraph, [134.0, 985.0, 1009.0, 36.0], shoonya_0sPTLTSTS5U9RY, 5683169]
[paragraph, [130.0, 1034.0, 1010.0, 36.0], shoonya_2sDREJVVMCV2T5, 5683169]
[paragraph, [130.0, 1070.0, 1010.0, 36.0], shoonya_2sDREJVVMCV2T5, 5683169]
[paragraph, [130.0, 1106.0, 1010.0, 36.0], shoonya_2sDREJVVMCV2T5, 5683169]
[paragraph, [130.0, 1142.0, 1010.0, 36.0], shoonya_2sDREJVVMCV2T5, 5683169]
[paragraph, [130.0, 1178.0, 1010.0, 36.0], shoonya_2sDREJVVMCV2T5, 5683169]
[paragraph, [130.0, 1214.0, 1010.0, 36.0], shoonya_2sDREJVVMCV2T5, 5683169]
[paragraph, [130.0, 1250.0, 1010.0, 36.0], shoonya_2sDREJVVMCV2T5, 5683169]
[paragraph, [127.0, 1295.0, 1016.0, 36.0], shoonya_3s6TJUAKQOX4W5, 5683169]
[paragraph, [127.0, 1331.0, 1016.0, 36.0], shoonya_3s6TJUAKQOX4W5, 5683169]
[paragraph, [127.0, 1367.0, 1016.0, 36.0], shoonya_3s6TJUAKQOX4W5, 5683169]
[paragraph, [127.0, 1403.0, 1016.0, 36.0], shoonya_3s6TJUAKQOX4W5, 5683169]
[paragraph, [127.0, 1439.0, 1016.0, 36.0], shoonya_3s6TJUAKQOX4W5, 5683169]
[paragraph, [127.0, 1475.0, 1016.0, 36.0], shoonya_3s6TJUAKQOX4W5, 5683169]
[paragraph, [127.0, 1511.0, 1016.0, 36.0], shoonya_3s6TJUAKQOX4W5, 5683169]
[paragraph, [127.0, 1547.0, 1016.0, 36.0], shoonya_3s6TJUAKQOX4W5, 5683169]
[paragraph, [127.0, 1583.0, 1016.0, 36.0], shoonya_3s6TJUAKQOX4W5, 5683169]
[paragraph, [127.0, 1619.0, 1016.0, 36.0], shoonya_3s6TJUAKQOX4W5, 5683169]
[paragraph, [127.0, 1655.0, 1016.0, 36.0], shoonya_3s6TJUAKQOX4W5, 5683169]
[paragraph, [127.0, 1691.0, 1016.0, 36.0], shoonya_3s6TJUAKQOX4W5, 5683169]
[paragraph, [133.0, 1766.0, 1008.0, 36.0], KgGq51p_m1, 5683169]
[paragraph, [133.0, 1802.0, 1008.0, 36.0], KgGq51p_m1, 5683169]
