[1357, 825]
[folio, [92.0, 60.0, 116.0, 18.0], VNySA9J2cG, 5782221]
[folio, [92.0, 78.0, 116.0, 18.0], VNySA9J2cG, 5782221]
[paragraph, [92.0, 154.0, 640.0, 18.0], shoonya_0sT7Y2HF0GB6RT, 5782221]
[paragraph, [92.0, 172.0, 640.0, 18.0], shoonya_0sT7Y2HF0GB6RT, 5782221]
[paragraph, [92.0, 190.0, 640.0, 18.0], shoonya_0sT7Y2HF0GB6RT, 5782221]
[paragraph, [92.0, 208.0, 640.0, 18.0], shoonya_0sT7Y2HF0GB6RT, 5782221]
[paragraph, [92.0, 226.0, 640.0, 18.0], shoonya_0sT7Y2HF0GB6RT, 5782221]
[paragraph, [92.0, 244.0, 640.0, 18.0], shoonya_0sT7Y2HF0GB6RT, 5782221]
[paragraph, [92.0, 262.0, 640.0, 18.0], shoonya_0sT7Y2HF0GB6RT, 5782221]
[ordered-list, [80.0, 287.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 305.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 323.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 341.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 359.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 377.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 395.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 413.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 431.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 449.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 467.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 485.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 503.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 521.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 539.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 557.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 575.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 593.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 611.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 629.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 647.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 665.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 683.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 701.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 719.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 737.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 755.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 773.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 791.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 809.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 827.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 845.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 863.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 881.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 899.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 917.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 935.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 953.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 971.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 989.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 1007.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 1025.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 1043.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 1061.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 1079.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 1097.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 1115.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 1133.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 1151.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 1169.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 1187.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[ordered-list, [80.0, 1205.0, 667.0, 18.0], shoonya_4sX9YUUINRN9XZ, 5782221]
[sub-ordered-list, [92.0, 732.0, 644.0, 18.0], 9tR1ocpXXX, 5782221]
[sub-ordered-list, [92.0, 750.0, 644.0, 18.0], 9tR1ocpXXX, 5782221]
[sub-ordered-list, [92.0, 768.0, 644.0, 18.0], 9tR1ocpXXX, 5782221]
[sub-ordered-list, [92.0, 786.0, 644.0, 18.0], 9tR1ocpXXX, 5782221]
[sub-ordered-list, [92.0, 804.0, 644.0, 18.0], 9tR1ocpXXX, 5782221]
[sub-ordered-list, [92.0, 822.0, 644.0, 18.0], 9tR1ocpXXX, 5782221]
[sub-ordered-list, [92.0, 840.0, 644.0, 18.0], 9tR1ocpXXX, 5782221]
[sub-ordered-list, [92.0, 858.0, 644.0, 18.0], 9tR1ocpXXX, 5782221]
[sub-ordered-list, [92.0, 876.0, 644.0, 18.0], 9tR1ocpXXX, 5782221]
[sub-ordered-list, [92.0, 894.0, 644.0, 18.0], 9tR1ocpXXX, 5782221]
[sub-ordered-list, [92.0, 912.0, 644.0, 18.0], 9tR1ocpXXX, 5782221]
[sub-ordered-list, [92.0, 930.0, 644.0, 18.0], 9tR1ocpXXX, 5782221]
[sub-ordered-list, [92.0, 948.0, 644.0, 18.0], 9tR1ocpXXX, 5782221]
[sub-ordered-list, [92.0, 966.0, 644.0, 18.0], 9tR1ocpXXX, 5782221]
[sub-ordered-list, [93.0, 1105.0, 642.0, 18.0], 8rMd55bEZD, 5782221]
[sub-ordered-list, [93.0, 1123.0, 642.0, 18.0], 8rMd55bEZD, 5782221]
[sub-ordered-list, [93.0, 1141.0, 642.0, 18.0], 8rMd55bEZD, 5782221]
[sub-ordered-list, [93.0, 1159.0, 642.0, 18.0], 8rMd55bEZD, 5782221]
[sub-ordered-list, [93.0, 1177.0, 642.0, 18.0], 8rMd55bEZD, 5782221]
[sub-ordered-list, [93.0, 1195.0, 642.0, 18.0], 8rMd55bEZD, 5782221]
[sub-ordered-list, [93.0, 1213.0, 642.0, 18.0], 8rMd55bEZD, 5782221]
