[2338, 1654]
[paragraph, [188.0, 184.0, 1273.0, 36.0], shoonya_1s7Q2TV5872EAR, 5754034]
[paragraph, [188.0, 220.0, 1273.0, 36.0], shoonya_1s7Q2TV5872EAR, 5754034]
[paragraph, [188.0, 256.0, 1273.0, 36.0], shoonya_1s7Q2TV5872EAR, 5754034]
[paragraph, [188.0, 292.0, 1273.0, 36.0], shoonya_1s7Q2TV5872EAR, 5754034]
[paragraph, [188.0, 328.0, 1273.0, 36.0], shoonya_1s7Q2TV5872EAR, 5754034]
[paragraph, [188.0, 364.0, 1273.0, 36.0], shoonya_1s7Q2TV5872EAR, 5754034]
[paragraph, [188.0, 400.0, 1273.0, 36.0], shoonya_1s7Q2TV5872EAR, 5754034]
[paragraph, [188.0, 436.0, 1273.0, 36.0], shoonya_1s7Q2TV5872EAR, 5754034]
[paragraph, [188.0, 472.0, 1273.0, 36.0], shoonya_1s7Q2TV5872EAR, 5754034]
[paragraph, [188.0, 508.0, 1273.0, 36.0], shoonya_1s7Q2TV5872EAR, 5754034]
[paragraph, [188.0, 544.0, 1273.0, 36.0], shoonya_1s7Q2TV5872EAR, 5754034]
[paragraph, [188.0, 580.0, 1273.0, 36.0], shoonya_1s7Q2TV5872EAR, 5754034]
[paragraph, [188.0, 616.0, 1273.0, 36.0], shoonya_1s7Q2TV5872EAR, 5754034]
[paragraph, [188.0, 652.0, 1273.0, 36.0], shoonya_1s7Q2TV5872EAR, 5754034]
[paragraph, [188.0, 688.0, 1273.0, 36.0], shoonya_1s7Q2TV5872EAR, 5754034]
[paragraph, [188.0, 724.0, 1273.0, 36.0], shoonya_1s7Q2TV5872EAR, 5754034]
[paragraph, [188.0, 760.0, 1273.0, 36.0], shoonya_1s7Q2TV5872EAR, 5754034]
[paragraph, [188.0, 796.0, 1273.0, 36.0], shoonya_1s7Q2TV5872EAR, 5754034]
[paragraph, [188.0, 832.0, 1273.0, 36.0], shoonya_1s7Q2TV5872EAR, 5754034]
[paragraph, [188.0, 868.0, 1273.0, 36.0], shoonya_1s7Q2TV5872EAR, 5754034]
[paragraph, [188.0, 904.0, 1273.0, 36.0], shoonya_1s7Q2TV5872EAR, 5754034]
[paragraph, [188.0, 940.0, 1273.0, 36.0], shoonya_1s7Q2TV5872EAR, 5754034]
[paragraph, [188.0, 976.0, 1273.0, 36.0], shoonya_1s7Q2TV5872EAR, 5754034]
[paragraph, [188.0, 1012.0, 1273.0, 36.0], shoonya_1s7Q2TV5872EAR, 5754034]
[paragraph, [188.0, 1048.0, 1273.0, 36.0], shoonya_1s7Q2TV5872EAR, 5754034]
[paragraph, [188.0, 1084.0, 1273.0, 36.0], shoonya_1s7Q2TV5872EAR, 5754034]
[paragraph, [188.0, 1120.0, 1273.0, 36.0], shoonya_1s7Q2TV5872EAR, 5754034]
[paragraph, [188.0, 1156.0, 1273.0, 36.0], shoonya_1s7Q2TV5872EAR, 5754034]
[paragraph, [188.0, 1192.0, 1273.0, 36.0], shoonya_1s7Q2TV5872EAR, 5754034]
[paragraph, [188.0, 1228.0, 1273.0, 36.0], shoonya_1s7Q2TV5872EAR, 5754034]
[paragraph, [188.0, 1264.0, 1273.0, 36.0], shoonya_1s7Q2TV5872EAR, 5754034]
[paragraph, [184.0, 1309.0, 1268.0, 36.0], shoonya_0sFOWPC32G2RML, 5754034]
[paragraph, [184.0, 1345.0, 1268.0, 36.0], shoonya_0sFOWPC32G2RML, 5754034]
[paragraph, [184.0, 1381.0, 1268.0, 36.0], shoonya_0sFOWPC32G2RML, 5754034]
[paragraph, [184.0, 1417.0, 1268.0, 36.0], shoonya_0sFOWPC32G2RML, 5754034]
[paragraph, [184.0, 1453.0, 1268.0, 36.0], shoonya_0sFOWPC32G2RML, 5754034]
[paragraph, [184.0, 1489.0, 1268.0, 36.0], shoonya_0sFOWPC32G2RML, 5754034]
[paragraph, [184.0, 1525.0, 1268.0, 36.0], shoonya_0sFOWPC32G2RML, 5754034]
[paragraph, [184.0, 1561.0, 1268.0, 36.0], shoonya_0sFOWPC32G2RML, 5754034]
[paragraph, [184.0, 1597.0, 1268.0, 36.0], shoonya_0sFOWPC32G2RML, 5754034]
[paragraph, [184.0, 1633.0, 1268.0, 36.0], shoonya_0sFOWPC32G2RML, 5754034]
[paragraph, [184.0, 1669.0, 1268.0, 36.0], shoonya_0sFOWPC32G2RML, 5754034]
[paragraph, [184.0, 1705.0, 1268.0, 36.0], shoonya_0sFOWPC32G2RML, 5754034]
[paragraph, [184.0, 1741.0, 1268.0, 36.0], shoonya_0sFOWPC32G2RML, 5754034]
[paragraph, [184.0, 1777.0, 1268.0, 36.0], shoonya_0sFOWPC32G2RML, 5754034]
[paragraph, [184.0, 1813.0, 1268.0, 36.0], shoonya_0sFOWPC32G2RML, 5754034]
[paragraph, [184.0, 1849.0, 1268.0, 36.0], shoonya_0sFOWPC32G2RML, 5754034]
[paragraph, [184.0, 1885.0, 1268.0, 36.0], shoonya_0sFOWPC32G2RML, 5754034]
[paragraph, [184.0, 1921.0, 1268.0, 36.0], shoonya_0sFOWPC32G2RML, 5754034]
[paragraph, [184.0, 1957.0, 1268.0, 36.0], shoonya_0sFOWPC32G2RML, 5754034]
[paragraph, [184.0, 1993.0, 1268.0, 36.0], shoonya_0sFOWPC32G2RML, 5754034]
[paragraph, [184.0, 2029.0, 1268.0, 36.0], shoonya_0sFOWPC32G2RML, 5754034]
