[1536, 2048]
[section-title, [222.0, 156.0, 479.0, 49.5], yLq5IXc_u8, 6473660]
[paragraph, [192.0, 276.0, 1408.0, 36.0], _wJOT3hWje, 6473660]
[paragraph, [192.0, 312.0, 1408.0, 36.0], _wJOT3hWje, 6473660]
[paragraph, [192.0, 348.0, 1408.0, 36.0], _wJOT3hWje, 6473660]
[paragraph, [192.0, 384.0, 1408.0, 36.0], _wJOT3hWje, 6473660]
[paragraph, [192.0, 420.0, 1408.0, 36.0], _wJOT3hWje, 6473660]
[section-title, [220.0, 673.0, 204.0, 49.5], y7gWhNM0QA, 6473660]
[ordered-list, [171.0, 770.0, 1738.0, 36.0], 2nShZiI0Qf, 6473660]
[ordered-list, [171.0, 806.0, 1738.0, 36.0], 2nShZiI0Qf, 6473660]
[ordered-list, [171.0, 842.0, 1738.0, 36.0], 2nShZiI0Qf, 6473660]
[ordered-list, [171.0, 878.0, 1738.0, 36.0], 2nShZiI0Qf, 6473660]
[ordered-list, [171.0, 914.0, 1738.0, 36.0], 2nShZiI0Qf, 6473660]
[ordered-list, [171.0, 950.0, 1738.0, 36.0], 2nShZiI0Qf, 6473660]
[ordered-list, [171.0, 986.0, 1738.0, 36.0], 2nShZiI0Qf, 6473660]
[ordered-list, [171.0, 1022.0, 1738.0, 36.0], 2nShZiI0Qf, 6473660]
[ordered-list, [171.0, 1058.0, 1738.0, 36.0], 2nShZiI0Qf, 6473660]
[ordered-list, [171.0, 1094.0, 1738.0, 36.0], 2nShZiI0Qf, 6473660]
[ordered-list, [171.0, 1130.0, 1738.0, 36.0], 2nShZiI0Qf, 6473660]
[ordered-list, [171.0, 1166.0, 1738.0, 36.0], 2nShZiI0Qf, 6473660]
[contact-info, [1833.0, 1347.0, 214.0, 36.0], shoonya_0s3XKMVTZF31TI, 6473660]
[contact-info, [1833.0, 1383.0, 214.0, 36.0], shoonya_0s3XKMVTZF31TI, 6473660]
[contact-info, [1833.0, 1419.0, 214.0, 36.0], shoonya_0s3XKMVTZF31TI, 6473660]
[contact-info, [1833.0, 1455.0, 214.0, 36.0], shoonya_0s3XKMVTZF31TI, 6473660]
[contact-info, [1833.0, 1491.0, 214.0, 36.0], shoonya_0s3XKMVTZF31TI, 6473660]
