[1298, 853]
[section-title, [288.0, 67.0, 278.0, 30.0], shoonya_4sUDF1X6MRTJ6T, 5710447]
[paragraph, [73.0, 111.0, 716.0, 18.0], shoonya_1sXJQQ86NZQUSP, 5710447]
[paragraph, [73.0, 129.0, 716.0, 18.0], shoonya_1sXJQQ86NZQUSP, 5710447]
[paragraph, [73.0, 147.0, 716.0, 18.0], shoonya_1sXJQQ86NZQUSP, 5710447]
[paragraph, [73.0, 165.0, 716.0, 18.0], shoonya_1sXJQQ86NZQUSP, 5710447]
[paragraph, [73.0, 183.0, 716.0, 18.0], shoonya_1sXJQQ86NZQUSP, 5710447]
[paragraph, [73.0, 201.0, 716.0, 18.0], shoonya_1sXJQQ86NZQUSP, 5710447]
[paragraph, [73.0, 219.0, 716.0, 18.0], shoonya_1sXJQQ86NZQUSP, 5710447]
[paragraph, [73.0, 237.0, 716.0, 18.0], shoonya_1sXJQQ86NZQUSP, 5710447]
[paragraph, [73.0, 255.0, 716.0, 18.0], shoonya_1sXJQQ86NZQUSP, 5710447]
[paragraph, [73.0, 273.0, 716.0, 18.0], shoonya_1sXJQQ86NZQUSP, 5710447]
[paragraph, [73.0, 291.0, 716.0, 18.0], shoonya_1sXJQQ86NZQUSP, 5710447]
[paragraph, [73.0, 309.0, 716.0, 18.0], shoonya_1sXJQQ86NZQUSP, 5710447]
[paragraph, [69.0, 337.0, 718.0, 18.0], shoonya_2sUGJSUQNOPJDQ, 5710447]
[paragraph, [69.0, 355.0, 718.0, 18.0], shoonya_2sUGJSUQNOPJDQ, 5710447]
[paragraph, [69.0, 373.0, 718.0, 18.0], shoonya_2sUGJSUQNOPJDQ, 5710447]
[paragraph, [69.0, 391.0, 718.0, 18.0], shoonya_2sUGJSUQNOPJDQ, 5710447]
[paragraph, [69.0, 409.0, 718.0, 18.0], shoonya_2sUGJSUQNOPJDQ, 5710447]
[paragraph, [69.0, 427.0, 718.0, 18.0], shoonya_2sUGJSUQNOPJDQ, 5710447]
[paragraph, [69.0, 445.0, 718.0, 18.0], shoonya_2sUGJSUQNOPJDQ, 5710447]
[paragraph, [69.0, 463.0, 718.0, 18.0], shoonya_2sUGJSUQNOPJDQ, 5710447]
[paragraph, [69.0, 481.0, 718.0, 18.0], shoonya_2sUGJSUQNOPJDQ, 5710447]
[paragraph, [69.0, 499.0, 718.0, 18.0], shoonya_2sUGJSUQNOPJDQ, 5710447]
[paragraph, [69.0, 517.0, 718.0, 18.0], shoonya_2sUGJSUQNOPJDQ, 5710447]
[paragraph, [69.0, 535.0, 718.0, 18.0], shoonya_2sUGJSUQNOPJDQ, 5710447]
[paragraph, [69.0, 553.0, 718.0, 18.0], shoonya_2sUGJSUQNOPJDQ, 5710447]
[paragraph, [69.0, 571.0, 718.0, 18.0], shoonya_2sUGJSUQNOPJDQ, 5710447]
[paragraph, [69.0, 589.0, 718.0, 18.0], shoonya_2sUGJSUQNOPJDQ, 5710447]
[paragraph, [69.0, 607.0, 718.0, 18.0], shoonya_2sUGJSUQNOPJDQ, 5710447]
[paragraph, [69.0, 625.0, 718.0, 18.0], shoonya_2sUGJSUQNOPJDQ, 5710447]
[paragraph, [69.0, 643.0, 718.0, 18.0], shoonya_2sUGJSUQNOPJDQ, 5710447]
[paragraph, [69.0, 661.0, 718.0, 18.0], shoonya_2sUGJSUQNOPJDQ, 5710447]
[paragraph, [69.0, 679.0, 718.0, 18.0], shoonya_2sUGJSUQNOPJDQ, 5710447]
[paragraph, [69.0, 697.0, 718.0, 18.0], shoonya_2sUGJSUQNOPJDQ, 5710447]
[paragraph, [68.0, 713.0, 717.0, 18.0], shoonya_3sP41A7R8IUVHX, 5710447]
[paragraph, [68.0, 731.0, 717.0, 18.0], shoonya_3sP41A7R8IUVHX, 5710447]
[paragraph, [68.0, 749.0, 717.0, 18.0], shoonya_3sP41A7R8IUVHX, 5710447]
[paragraph, [68.0, 767.0, 717.0, 18.0], shoonya_3sP41A7R8IUVHX, 5710447]
[paragraph, [68.0, 785.0, 717.0, 18.0], shoonya_3sP41A7R8IUVHX, 5710447]
