[1667, 1042]
[folio, [150.0, 77.0, 173.0, 36.0], shoonya_0sU2FKTDHI1Y93, 5753003]
[headline, [382.0, 166.0, 332.0, 37.5], TFG6GxvinA, 5753003]
[paragraph, [122.0, 266.0, 855.0, 36.0], iD1XgHxu5U, 5753003]
[paragraph, [122.0, 302.0, 855.0, 36.0], iD1XgHxu5U, 5753003]
[paragraph, [122.0, 338.0, 855.0, 36.0], iD1XgHxu5U, 5753003]
[paragraph, [122.0, 374.0, 855.0, 36.0], iD1XgHxu5U, 5753003]
[paragraph, [122.0, 410.0, 855.0, 36.0], iD1XgHxu5U, 5753003]
[paragraph, [122.0, 446.0, 855.0, 36.0], iD1XgHxu5U, 5753003]
[paragraph, [122.0, 482.0, 855.0, 36.0], iD1XgHxu5U, 5753003]
[paragraph, [122.0, 518.0, 855.0, 36.0], iD1XgHxu5U, 5753003]
[paragraph, [122.0, 554.0, 855.0, 36.0], iD1XgHxu5U, 5753003]
[paragraph, [115.0, 626.0, 858.0, 36.0], OOKtuUnQLq, 5753003]
[paragraph, [115.0, 662.0, 858.0, 36.0], OOKtuUnQLq, 5753003]
[paragraph, [115.0, 698.0, 858.0, 36.0], OOKtuUnQLq, 5753003]
[paragraph, [115.0, 734.0, 858.0, 36.0], OOKtuUnQLq, 5753003]
[paragraph, [115.0, 770.0, 858.0, 36.0], OOKtuUnQLq, 5753003]
[paragraph, [115.0, 806.0, 858.0, 36.0], OOKtuUnQLq, 5753003]
[paragraph, [114.0, 878.0, 859.0, 36.0], 59h8uyN19H, 5753003]
[paragraph, [114.0, 914.0, 859.0, 36.0], 59h8uyN19H, 5753003]
[paragraph, [114.0, 950.0, 859.0, 36.0], 59h8uyN19H, 5753003]
[paragraph, [114.0, 986.0, 859.0, 36.0], 59h8uyN19H, 5753003]
[paragraph, [114.0, 1022.0, 859.0, 36.0], 59h8uyN19H, 5753003]
[paragraph, [114.0, 1058.0, 859.0, 36.0], 59h8uyN19H, 5753003]
[paragraph, [114.0, 1094.0, 859.0, 36.0], 59h8uyN19H, 5753003]
[paragraph, [114.0, 1130.0, 859.0, 36.0], 59h8uyN19H, 5753003]
[paragraph, [114.0, 1166.0, 859.0, 36.0], 59h8uyN19H, 5753003]
[paragraph, [114.0, 1202.0, 859.0, 36.0], 59h8uyN19H, 5753003]
[paragraph, [114.0, 1238.0, 859.0, 36.0], 59h8uyN19H, 5753003]
[paragraph, [114.0, 1274.0, 859.0, 36.0], 59h8uyN19H, 5753003]
[paragraph, [114.0, 1310.0, 859.0, 36.0], 59h8uyN19H, 5753003]
[paragraph, [114.0, 1346.0, 859.0, 36.0], 59h8uyN19H, 5753003]
[paragraph, [114.0, 1382.0, 859.0, 36.0], 59h8uyN19H, 5753003]
[paragraph, [114.0, 1418.0, 859.0, 36.0], 59h8uyN19H, 5753003]
[paragraph, [114.0, 1454.0, 859.0, 36.0], 59h8uyN19H, 5753003]
