[612, 792]
[section-title, [374.0, 62.0, 81.0, 30.0], rx7NotIIU0, 6534767]
[paragraph, [87.0, 112.0, 652.0, 18.0], shoonya_0s5UWS2YUFO536, 6534767]
[paragraph, [87.0, 130.0, 652.0, 18.0], shoonya_0s5UWS2YUFO536, 6534767]
[paragraph, [87.0, 148.0, 652.0, 18.0], shoonya_0s5UWS2YUFO536, 6534767]
[paragraph, [87.0, 166.0, 652.0, 18.0], shoonya_0s5UWS2YUFO536, 6534767]
[paragraph, [87.0, 184.0, 652.0, 18.0], shoonya_0s5UWS2YUFO536, 6534767]
[paragraph, [75.0, 208.0, 667.0, 18.0], gNBcYal8tJ, 6534767]
[paragraph, [75.0, 226.0, 667.0, 18.0], gNBcYal8tJ, 6534767]
[paragraph, [75.0, 244.0, 667.0, 18.0], gNBcYal8tJ, 6534767]
[paragraph, [75.0, 262.0, 667.0, 18.0], gNBcYal8tJ, 6534767]
[paragraph, [77.0, 281.0, 671.0, 18.0], PCxU8H_SI0, 6534767]
[paragraph, [77.0, 299.0, 671.0, 18.0], PCxU8H_SI0, 6534767]
[paragraph, [77.0, 317.0, 671.0, 18.0], PCxU8H_SI0, 6534767]
[paragraph, [77.0, 335.0, 671.0, 18.0], PCxU8H_SI0, 6534767]
[paragraph, [77.0, 353.0, 671.0, 18.0], PCxU8H_SI0, 6534767]
[paragraph, [82.0, 384.0, 664.0, 18.0], KrPiSC0Ed1, 6534767]
[paragraph, [82.0, 402.0, 664.0, 18.0], KrPiSC0Ed1, 6534767]
[paragraph, [83.0, 433.0, 661.0, 18.0], 9sEoEyl_-O, 6534767]
[paragraph, [83.0, 451.0, 661.0, 18.0], 9sEoEyl_-O, 6534767]
[paragraph, [83.0, 469.0, 661.0, 18.0], 9sEoEyl_-O, 6534767]
[author, [639.0, 493.0, 104.0, 18.0], H98pWxNAKR, 6534767]
[paragraph, [695.0, 515.0, 46.0, 18.0], b4OBFBqJB5, 6534767]
[paragraph, [635.0, 534.0, 107.0, 18.0], iP6S9wMEWb, 6534767]
