[792, 612]
[paragraph, [91.0, 60.0, 449.0, 18.0], cOoDAT5QDS, 5717367]
[paragraph, [91.0, 78.0, 449.0, 18.0], cOoDAT5QDS, 5717367]
[ordered-list, [78.0, 105.0, 472.0, 18.0], Xvbwd5O1do, 5717367]
[ordered-list, [78.0, 123.0, 472.0, 18.0], Xvbwd5O1do, 5717367]
[ordered-list, [78.0, 141.0, 472.0, 18.0], Xvbwd5O1do, 5717367]
[ordered-list, [78.0, 159.0, 472.0, 18.0], Xvbwd5O1do, 5717367]
[ordered-list, [78.0, 177.0, 472.0, 18.0], Xvbwd5O1do, 5717367]
[ordered-list, [78.0, 195.0, 472.0, 18.0], Xvbwd5O1do, 5717367]
[ordered-list, [78.0, 213.0, 472.0, 18.0], Xvbwd5O1do, 5717367]
[ordered-list, [78.0, 231.0, 472.0, 18.0], Xvbwd5O1do, 5717367]
[ordered-list, [78.0, 249.0, 472.0, 18.0], Xvbwd5O1do, 5717367]
[ordered-list, [60.0, 270.0, 493.0, 18.0], k8xoyYBIke, 5717367]
[ordered-list, [60.0, 288.0, 493.0, 18.0], k8xoyYBIke, 5717367]
[ordered-list, [60.0, 306.0, 493.0, 18.0], k8xoyYBIke, 5717367]
[ordered-list, [60.0, 324.0, 493.0, 18.0], k8xoyYBIke, 5717367]
[ordered-list, [60.0, 342.0, 493.0, 18.0], k8xoyYBIke, 5717367]
[ordered-list, [60.0, 360.0, 493.0, 18.0], k8xoyYBIke, 5717367]
[ordered-list, [60.0, 378.0, 493.0, 18.0], k8xoyYBIke, 5717367]
[ordered-list, [60.0, 396.0, 493.0, 18.0], k8xoyYBIke, 5717367]
[ordered-list, [60.0, 414.0, 493.0, 18.0], k8xoyYBIke, 5717367]
[ordered-list, [60.0, 432.0, 493.0, 18.0], k8xoyYBIke, 5717367]
[ordered-list, [60.0, 450.0, 493.0, 18.0], k8xoyYBIke, 5717367]
[ordered-list, [60.0, 468.0, 493.0, 18.0], k8xoyYBIke, 5717367]
[ordered-list, [60.0, 486.0, 493.0, 18.0], k8xoyYBIke, 5717367]
[ordered-list, [60.0, 504.0, 493.0, 18.0], k8xoyYBIke, 5717367]
[ordered-list, [60.0, 522.0, 493.0, 18.0], k8xoyYBIke, 5717367]
[ordered-list, [60.0, 540.0, 493.0, 18.0], k8xoyYBIke, 5717367]
[ordered-list, [60.0, 558.0, 493.0, 18.0], k8xoyYBIke, 5717367]
[ordered-list, [60.0, 576.0, 493.0, 18.0], k8xoyYBIke, 5717367]
[ordered-list, [60.0, 594.0, 493.0, 18.0], k8xoyYBIke, 5717367]
[ordered-list, [60.0, 612.0, 493.0, 18.0], k8xoyYBIke, 5717367]
[ordered-list, [60.0, 630.0, 493.0, 18.0], k8xoyYBIke, 5717367]
[ordered-list, [60.0, 648.0, 493.0, 18.0], k8xoyYBIke, 5717367]
[ordered-list, [60.0, 666.0, 493.0, 18.0], k8xoyYBIke, 5717367]
[ordered-list, [60.0, 684.0, 493.0, 18.0], k8xoyYBIke, 5717367]
[ordered-list, [60.0, 702.0, 493.0, 18.0], k8xoyYBIke, 5717367]
[sub-ordered-list, [76.0, 376.0, 470.0, 18.0], fGJ6oTYLgr, 5717367]
[sub-ordered-list, [76.0, 394.0, 470.0, 18.0], fGJ6oTYLgr, 5717367]
