[2230, 1704]
[paragraph, [105.0, 163.0, 769.0, 36.0], shoonya_1s00WOKQ7OMY0F, 5653750]
[paragraph, [105.0, 199.0, 769.0, 36.0], shoonya_1s00WOKQ7OMY0F, 5653750]
[paragraph, [105.0, 235.0, 769.0, 36.0], shoonya_1s00WOKQ7OMY0F, 5653750]
[paragraph, [105.0, 271.0, 769.0, 36.0], shoonya_1s00WOKQ7OMY0F, 5653750]
[paragraph, [105.0, 307.0, 769.0, 36.0], shoonya_1s00WOKQ7OMY0F, 5653750]
[paragraph, [105.0, 343.0, 769.0, 36.0], shoonya_1s00WOKQ7OMY0F, 5653750]
[paragraph, [105.0, 379.0, 769.0, 36.0], shoonya_1s00WOKQ7OMY0F, 5653750]
[paragraph, [105.0, 415.0, 769.0, 36.0], shoonya_1s00WOKQ7OMY0F, 5653750]
[paragraph, [105.0, 451.0, 769.0, 36.0], shoonya_1s00WOKQ7OMY0F, 5653750]
[paragraph, [105.0, 487.0, 769.0, 36.0], shoonya_1s00WOKQ7OMY0F, 5653750]
[paragraph, [105.0, 523.0, 769.0, 36.0], shoonya_1s00WOKQ7OMY0F, 5653750]
[paragraph, [105.0, 559.0, 769.0, 36.0], shoonya_1s00WOKQ7OMY0F, 5653750]
[paragraph, [105.0, 595.0, 769.0, 36.0], shoonya_1s00WOKQ7OMY0F, 5653750]
[paragraph, [105.0, 631.0, 769.0, 36.0], shoonya_1s00WOKQ7OMY0F, 5653750]
[paragraph, [105.0, 667.0, 769.0, 36.0], shoonya_1s00WOKQ7OMY0F, 5653750]
[paragraph, [105.0, 703.0, 769.0, 36.0], shoonya_1s00WOKQ7OMY0F, 5653750]
[paragraph, [105.0, 739.0, 769.0, 36.0], shoonya_1s00WOKQ7OMY0F, 5653750]
[paragraph, [105.0, 775.0, 769.0, 36.0], shoonya_1s00WOKQ7OMY0F, 5653750]
[paragraph, [105.0, 811.0, 769.0, 36.0], shoonya_1s00WOKQ7OMY0F, 5653750]
[paragraph, [105.0, 847.0, 769.0, 36.0], shoonya_1s00WOKQ7OMY0F, 5653750]
[paragraph, [912.0, 165.0, 765.0, 36.0], shoonya_7sB9AE5MYU0YM8, 5653750]
[paragraph, [912.0, 201.0, 765.0, 36.0], shoonya_7sB9AE5MYU0YM8, 5653750]
[paragraph, [912.0, 237.0, 765.0, 36.0], shoonya_7sB9AE5MYU0YM8, 5653750]
[paragraph, [912.0, 273.0, 765.0, 36.0], shoonya_7sB9AE5MYU0YM8, 5653750]
[paragraph, [912.0, 309.0, 765.0, 36.0], shoonya_7sB9AE5MYU0YM8, 5653750]
[paragraph, [912.0, 345.0, 765.0, 36.0], shoonya_7sB9AE5MYU0YM8, 5653750]
[paragraph, [912.0, 381.0, 765.0, 36.0], shoonya_7sB9AE5MYU0YM8, 5653750]
[paragraph, [912.0, 417.0, 765.0, 36.0], shoonya_7sB9AE5MYU0YM8, 5653750]
