[1650, 1275]
[paragraph, [131.0, 62.0, 991.0, 36.0], 9Xz4x7HBEU, 5710441]
[paragraph, [131.0, 98.0, 991.0, 36.0], 9Xz4x7HBEU, 5710441]
[paragraph, [131.0, 134.0, 991.0, 36.0], 9Xz4x7HBEU, 5710441]
[paragraph, [131.0, 170.0, 991.0, 36.0], 9Xz4x7HBEU, 5710441]
[paragraph, [131.0, 206.0, 991.0, 36.0], 9Xz4x7HBEU, 5710441]
[paragraph, [131.0, 242.0, 991.0, 36.0], 9Xz4x7HBEU, 5710441]
[paragraph, [131.0, 278.0, 991.0, 36.0], 9Xz4x7HBEU, 5710441]
[paragraph, [131.0, 314.0, 991.0, 36.0], 9Xz4x7HBEU, 5710441]
[paragraph, [131.0, 350.0, 991.0, 36.0], 9Xz4x7HBEU, 5710441]
[paragraph, [131.0, 386.0, 991.0, 36.0], 9Xz4x7HBEU, 5710441]
[paragraph, [131.0, 422.0, 991.0, 36.0], 9Xz4x7HBEU, 5710441]
[paragraph, [131.0, 458.0, 991.0, 36.0], 9Xz4x7HBEU, 5710441]
[paragraph, [131.0, 494.0, 991.0, 36.0], 9Xz4x7HBEU, 5710441]
[paragraph, [131.0, 530.0, 991.0, 36.0], 9Xz4x7HBEU, 5710441]
[paragraph, [131.0, 566.0, 991.0, 36.0], 9Xz4x7HBEU, 5710441]
[paragraph, [131.0, 602.0, 991.0, 36.0], 9Xz4x7HBEU, 5710441]
[paragraph, [131.0, 638.0, 991.0, 36.0], 9Xz4x7HBEU, 5710441]
[paragraph, [131.0, 674.0, 991.0, 36.0], 9Xz4x7HBEU, 5710441]
[paragraph, [131.0, 710.0, 991.0, 36.0], 9Xz4x7HBEU, 5710441]
[paragraph, [131.0, 746.0, 991.0, 36.0], 9Xz4x7HBEU, 5710441]
[paragraph, [131.0, 782.0, 991.0, 36.0], 9Xz4x7HBEU, 5710441]
[paragraph, [131.0, 818.0, 991.0, 36.0], 9Xz4x7HBEU, 5710441]
[paragraph, [131.0, 854.0, 991.0, 36.0], 9Xz4x7HBEU, 5710441]
[paragraph, [131.0, 924.0, 987.0, 36.0], NenYCz886H, 5710441]
[paragraph, [131.0, 960.0, 987.0, 36.0], NenYCz886H, 5710441]
[paragraph, [131.0, 996.0, 987.0, 36.0], NenYCz886H, 5710441]
[paragraph, [131.0, 1032.0, 987.0, 36.0], NenYCz886H, 5710441]
[paragraph, [129.0, 1085.0, 988.0, 36.0], shoonya_1s97E96VS3G3BT, 5710441]
[paragraph, [129.0, 1121.0, 988.0, 36.0], shoonya_1s97E96VS3G3BT, 5710441]
[paragraph, [129.0, 1157.0, 988.0, 36.0], shoonya_1s97E96VS3G3BT, 5710441]
[paragraph, [129.0, 1193.0, 988.0, 36.0], shoonya_1s97E96VS3G3BT, 5710441]
[paragraph, [129.0, 1229.0, 988.0, 36.0], shoonya_1s97E96VS3G3BT, 5710441]
[paragraph, [135.0, 1275.0, 982.0, 36.0], 1dlC7BN4Jf, 5710441]
[paragraph, [135.0, 1311.0, 982.0, 36.0], 1dlC7BN4Jf, 5710441]
[paragraph, [132.0, 1386.0, 987.0, 36.0], shoonya_2sN1NRWC91TWO9, 5710441]
[paragraph, [132.0, 1422.0, 987.0, 36.0], shoonya_2sN1NRWC91TWO9, 5710441]
[paragraph, [132.0, 1458.0, 987.0, 36.0], shoonya_2sN1NRWC91TWO9, 5710441]
