[2334, 1650]
[paragraph, [180.0, 142.0, 1215.0, 36.0], shoonya_0sWULZG5K9DLBC, 5652941]
[paragraph, [180.0, 178.0, 1215.0, 36.0], shoonya_0sWULZG5K9DLBC, 5652941]
[paragraph, [180.0, 214.0, 1215.0, 36.0], shoonya_0sWULZG5K9DLBC, 5652941]
[paragraph, [180.0, 250.0, 1215.0, 36.0], shoonya_0sWULZG5K9DLBC, 5652941]
[paragraph, [180.0, 286.0, 1215.0, 36.0], shoonya_0sWULZG5K9DLBC, 5652941]
[paragraph, [180.0, 322.0, 1215.0, 36.0], shoonya_0sWULZG5K9DLBC, 5652941]
[paragraph, [180.0, 358.0, 1215.0, 36.0], shoonya_0sWULZG5K9DLBC, 5652941]
[paragraph, [180.0, 394.0, 1215.0, 36.0], shoonya_0sWULZG5K9DLBC, 5652941]
[paragraph, [180.0, 430.0, 1215.0, 36.0], shoonya_0sWULZG5K9DLBC, 5652941]
[paragraph, [180.0, 466.0, 1215.0, 36.0], shoonya_0sWULZG5K9DLBC, 5652941]
[paragraph, [180.0, 502.0, 1215.0, 36.0], shoonya_0sWULZG5K9DLBC, 5652941]
[paragraph, [180.0, 538.0, 1215.0, 36.0], shoonya_0sWULZG5K9DLBC, 5652941]
[paragraph, [180.0, 574.0, 1215.0, 36.0], shoonya_0sWULZG5K9DLBC, 5652941]
[paragraph, [180.0, 610.0, 1215.0, 36.0], shoonya_0sWULZG5K9DLBC, 5652941]
[paragraph, [180.0, 646.0, 1215.0, 36.0], shoonya_0sWULZG5K9DLBC, 5652941]
[paragraph, [180.0, 682.0, 1215.0, 36.0], shoonya_0sWULZG5K9DLBC, 5652941]
[paragraph, [180.0, 718.0, 1215.0, 36.0], shoonya_0sWULZG5K9DLBC, 5652941]
[paragraph, [191.0, 753.0, 1198.0, 36.0], shoonya_1sXEVIHKWCQNJI, 5652941]
[paragraph, [191.0, 789.0, 1198.0, 36.0], shoonya_1sXEVIHKWCQNJI, 5652941]
[paragraph, [191.0, 825.0, 1198.0, 36.0], shoonya_1sXEVIHKWCQNJI, 5652941]
[paragraph, [191.0, 861.0, 1198.0, 36.0], shoonya_1sXEVIHKWCQNJI, 5652941]
[paragraph, [191.0, 897.0, 1198.0, 36.0], shoonya_1sXEVIHKWCQNJI, 5652941]
[paragraph, [191.0, 933.0, 1198.0, 36.0], shoonya_1sXEVIHKWCQNJI, 5652941]
[paragraph, [191.0, 969.0, 1198.0, 36.0], shoonya_1sXEVIHKWCQNJI, 5652941]
[paragraph, [191.0, 1005.0, 1198.0, 36.0], shoonya_1sXEVIHKWCQNJI, 5652941]
[paragraph, [191.0, 1041.0, 1198.0, 36.0], shoonya_1sXEVIHKWCQNJI, 5652941]
[paragraph, [191.0, 1077.0, 1198.0, 36.0], shoonya_1sXEVIHKWCQNJI, 5652941]
[paragraph, [191.0, 1113.0, 1198.0, 36.0], shoonya_1sXEVIHKWCQNJI, 5652941]
[paragraph, [178.0, 1181.0, 1220.0, 36.0], shoonya_3s6NTAITE24T97, 5652941]
[paragraph, [178.0, 1217.0, 1220.0, 36.0], shoonya_3s6NTAITE24T97, 5652941]
[paragraph, [178.0, 1253.0, 1220.0, 36.0], shoonya_3s6NTAITE24T97, 5652941]
[paragraph, [178.0, 1289.0, 1220.0, 36.0], shoonya_3s6NTAITE24T97, 5652941]
[paragraph, [178.0, 1325.0, 1220.0, 36.0], shoonya_3s6NTAITE24T97, 5652941]
[paragraph, [178.0, 1361.0, 1220.0, 36.0], shoonya_3s6NTAITE24T97, 5652941]
[paragraph, [178.0, 1397.0, 1220.0, 36.0], shoonya_3s6NTAITE24T97, 5652941]
[paragraph, [178.0, 1433.0, 1220.0, 36.0], shoonya_3s6NTAITE24T97, 5652941]
[paragraph, [187.0, 1499.0, 1196.0, 36.0], shoonya_2sCCW100MWUS1F, 5652941]
[paragraph, [187.0, 1535.0, 1196.0, 36.0], shoonya_2sCCW100MWUS1F, 5652941]
[paragraph, [187.0, 1571.0, 1196.0, 36.0], shoonya_2sCCW100MWUS1F, 5652941]
[paragraph, [187.0, 1607.0, 1196.0, 36.0], shoonya_2sCCW100MWUS1F, 5652941]
[paragraph, [187.0, 1643.0, 1196.0, 36.0], shoonya_2sCCW100MWUS1F, 5652941]
[paragraph, [187.0, 1679.0, 1196.0, 36.0], shoonya_2sCCW100MWUS1F, 5652941]
[paragraph, [187.0, 1715.0, 1196.0, 36.0], shoonya_2sCCW100MWUS1F, 5652941]
[paragraph, [187.0, 1751.0, 1196.0, 36.0], shoonya_2sCCW100MWUS1F, 5652941]
[paragraph, [187.0, 1787.0, 1196.0, 36.0], shoonya_2sCCW100MWUS1F, 5652941]
[paragraph, [187.0, 1823.0, 1196.0, 36.0], shoonya_2sCCW100MWUS1F, 5652941]
[paragraph, [187.0, 1859.0, 1196.0, 36.0], shoonya_2sCCW100MWUS1F, 5652941]
[paragraph, [187.0, 1895.0, 1196.0, 36.0], shoonya_2sCCW100MWUS1F, 5652941]
[paragraph, [187.0, 1931.0, 1196.0, 36.0], shoonya_2sCCW100MWUS1F, 5652941]
[paragraph, [187.0, 1967.0, 1196.0, 36.0], shoonya_2sCCW100MWUS1F, 5652941]
[paragraph, [187.0, 2003.0, 1196.0, 36.0], shoonya_2sCCW100MWUS1F, 5652941]
[folio, [924.0, 2086.0, 389.0, 36.0], axGp4x8vV1, 5652941]
