[1787, 1218]
[paragraph, [106.0, 94.0, 1001.0, 36.0], shoonya_2s6WEDREGZDDPT, 5650824]
[paragraph, [106.0, 130.0, 1001.0, 36.0], shoonya_2s6WEDREGZDDPT, 5650824]
[paragraph, [106.0, 166.0, 1001.0, 36.0], shoonya_2s6WEDREGZDDPT, 5650824]
[paragraph, [106.0, 202.0, 1001.0, 36.0], shoonya_2s6WEDREGZDDPT, 5650824]
[paragraph, [103.0, 258.0, 999.0, 36.0], shoonya_0s99P2GPI1JVAG, 5650824]
[paragraph, [103.0, 294.0, 999.0, 36.0], shoonya_0s99P2GPI1JVAG, 5650824]
[paragraph, [105.0, 339.0, 1000.0, 36.0], aP1fa7HRLV, 5650824]
[paragraph, [105.0, 375.0, 1000.0, 36.0], aP1fa7HRLV, 5650824]
[paragraph, [105.0, 411.0, 1000.0, 36.0], aP1fa7HRLV, 5650824]
[paragraph, [105.0, 447.0, 1000.0, 36.0], aP1fa7HRLV, 5650824]
[paragraph, [102.0, 502.0, 1003.0, 36.0], C4Qy7YsRVa, 5650824]
[paragraph, [102.0, 538.0, 1003.0, 36.0], C4Qy7YsRVa, 5650824]
[paragraph, [95.0, 576.0, 1010.0, 36.0], nRs5bHTG6g, 5650824]
[paragraph, [95.0, 612.0, 1010.0, 36.0], nRs5bHTG6g, 5650824]
[paragraph, [95.0, 648.0, 1010.0, 36.0], nRs5bHTG6g, 5650824]
[paragraph, [95.0, 684.0, 1010.0, 36.0], nRs5bHTG6g, 5650824]
[paragraph, [95.0, 720.0, 1010.0, 36.0], nRs5bHTG6g, 5650824]
[paragraph, [95.0, 756.0, 1010.0, 36.0], nRs5bHTG6g, 5650824]
[paragraph, [95.0, 792.0, 1010.0, 36.0], nRs5bHTG6g, 5650824]
[paragraph, [95.0, 828.0, 1010.0, 36.0], nRs5bHTG6g, 5650824]
[paragraph, [95.0, 864.0, 1010.0, 36.0], nRs5bHTG6g, 5650824]
[paragraph, [97.0, 934.0, 1010.0, 36.0], aW9zT8Veon, 5650824]
[paragraph, [104.0, 977.0, 1007.0, 36.0], shoonya_1s5F4FG22SW6G2, 5650824]
[paragraph, [104.0, 1013.0, 1007.0, 36.0], shoonya_1s5F4FG22SW6G2, 5650824]
[paragraph, [104.0, 1049.0, 1007.0, 36.0], shoonya_1s5F4FG22SW6G2, 5650824]
[paragraph, [105.0, 1092.0, 1004.0, 36.0], nxQA30Fapg, 5650824]
[paragraph, [105.0, 1128.0, 1004.0, 36.0], nxQA30Fapg, 5650824]
[paragraph, [159.0, 1173.0, 913.0, 36.0], gaX59QlILI, 5650824]
[paragraph, [109.0, 1217.0, 1003.0, 36.0], 7KH7w42IDJ, 5650824]
[paragraph, [109.0, 1253.0, 1003.0, 36.0], 7KH7w42IDJ, 5650824]
[paragraph, [109.0, 1289.0, 1003.0, 36.0], 7KH7w42IDJ, 5650824]
[paragraph, [109.0, 1325.0, 1003.0, 36.0], 7KH7w42IDJ, 5650824]
[paragraph, [109.0, 1361.0, 1003.0, 36.0], 7KH7w42IDJ, 5650824]
[paragraph, [109.0, 1397.0, 1003.0, 36.0], 7KH7w42IDJ, 5650824]
[paragraph, [109.0, 1433.0, 1003.0, 36.0], 7KH7w42IDJ, 5650824]
[paragraph, [109.0, 1469.0, 1003.0, 36.0], 7KH7w42IDJ, 5650824]
[paragraph, [103.0, 1534.0, 1011.0, 36.0], shoonya_3sWCNHWB1OB91L, 5650824]
[paragraph, [103.0, 1570.0, 1011.0, 36.0], shoonya_3sWCNHWB1OB91L, 5650824]
[footnote, [462.0, 1651.0, 225.0, 36.0], iDJ2xO69zj, 5650824]
