[1725, 1313]
[paragraph, [120.0, 723.0, 527.0, 36.0], shoonya_0sX6XSPUATZJQC, 5771551]
[paragraph, [120.0, 759.0, 527.0, 36.0], shoonya_0sX6XSPUATZJQC, 5771551]
[paragraph, [120.0, 795.0, 527.0, 36.0], shoonya_0sX6XSPUATZJQC, 5771551]
[paragraph, [120.0, 831.0, 527.0, 36.0], shoonya_0sX6XSPUATZJQC, 5771551]
[paragraph, [120.0, 867.0, 527.0, 36.0], shoonya_0sX6XSPUATZJQC, 5771551]
[paragraph, [120.0, 903.0, 527.0, 36.0], shoonya_0sX6XSPUATZJQC, 5771551]
[paragraph, [120.0, 939.0, 527.0, 36.0], shoonya_0sX6XSPUATZJQC, 5771551]
[paragraph, [120.0, 975.0, 527.0, 36.0], shoonya_0sX6XSPUATZJQC, 5771551]
[paragraph, [120.0, 1011.0, 527.0, 36.0], shoonya_0sX6XSPUATZJQC, 5771551]
[paragraph, [120.0, 1047.0, 527.0, 36.0], shoonya_0sX6XSPUATZJQC, 5771551]
[paragraph, [120.0, 1083.0, 527.0, 36.0], shoonya_0sX6XSPUATZJQC, 5771551]
[paragraph, [120.0, 1119.0, 527.0, 36.0], shoonya_0sX6XSPUATZJQC, 5771551]
[paragraph, [120.0, 1155.0, 527.0, 36.0], shoonya_0sX6XSPUATZJQC, 5771551]
[paragraph, [661.0, 723.0, 529.0, 36.0], shoonya_1s49YLDDG51OUQ, 5771551]
[paragraph, [661.0, 759.0, 529.0, 36.0], shoonya_1s49YLDDG51OUQ, 5771551]
[paragraph, [661.0, 795.0, 529.0, 36.0], shoonya_1s49YLDDG51OUQ, 5771551]
[paragraph, [661.0, 831.0, 529.0, 36.0], shoonya_1s49YLDDG51OUQ, 5771551]
[paragraph, [661.0, 867.0, 529.0, 36.0], shoonya_1s49YLDDG51OUQ, 5771551]
[paragraph, [661.0, 903.0, 529.0, 36.0], shoonya_1s49YLDDG51OUQ, 5771551]
[paragraph, [662.0, 967.0, 527.0, 36.0], shoonya_4sEFSQYI25IPW5, 5771551]
[paragraph, [662.0, 1003.0, 527.0, 36.0], shoonya_4sEFSQYI25IPW5, 5771551]
[paragraph, [662.0, 1039.0, 527.0, 36.0], shoonya_4sEFSQYI25IPW5, 5771551]
[paragraph, [662.0, 1075.0, 527.0, 36.0], shoonya_4sEFSQYI25IPW5, 5771551]
[paragraph, [662.0, 1111.0, 527.0, 36.0], shoonya_4sEFSQYI25IPW5, 5771551]
[paragraph, [662.0, 1147.0, 527.0, 36.0], shoonya_4sEFSQYI25IPW5, 5771551]
[paragraph, [662.0, 1183.0, 527.0, 36.0], shoonya_4sEFSQYI25IPW5, 5771551]
[paragraph, [120.0, 1228.0, 528.0, 36.0], shoonya_2sCTTT3J9RXQXZ, 5771551]
[paragraph, [120.0, 1264.0, 528.0, 36.0], shoonya_2sCTTT3J9RXQXZ, 5771551]
[paragraph, [120.0, 1300.0, 528.0, 36.0], shoonya_2sCTTT3J9RXQXZ, 5771551]
[paragraph, [120.0, 1336.0, 528.0, 36.0], shoonya_2sCTTT3J9RXQXZ, 5771551]
[paragraph, [120.0, 1372.0, 528.0, 36.0], shoonya_2sCTTT3J9RXQXZ, 5771551]
[paragraph, [120.0, 1408.0, 528.0, 36.0], shoonya_2sCTTT3J9RXQXZ, 5771551]
[paragraph, [120.0, 1444.0, 528.0, 36.0], shoonya_2sCTTT3J9RXQXZ, 5771551]
[paragraph, [120.0, 1480.0, 528.0, 36.0], shoonya_2sCTTT3J9RXQXZ, 5771551]
[paragraph, [120.0, 1516.0, 528.0, 36.0], shoonya_2sCTTT3J9RXQXZ, 5771551]
[sidebar, [672.0, 1257.0, 514.0, 36.0], VoqDT3n7vH, 5771551]
[sidebar, [672.0, 1293.0, 514.0, 36.0], VoqDT3n7vH, 5771551]
[sidebar, [672.0, 1329.0, 514.0, 36.0], VoqDT3n7vH, 5771551]
[sidebar, [672.0, 1365.0, 514.0, 36.0], VoqDT3n7vH, 5771551]
[sidebar, [672.0, 1401.0, 514.0, 36.0], VoqDT3n7vH, 5771551]
[sidebar, [672.0, 1437.0, 514.0, 36.0], VoqDT3n7vH, 5771551]
[sidebar, [672.0, 1473.0, 514.0, 36.0], VoqDT3n7vH, 5771551]
[sidebar, [672.0, 1509.0, 514.0, 36.0], VoqDT3n7vH, 5771551]
[folio, [585.0, 1578.0, 149.0, 36.0], V28lu302Cn, 5771551]
