[2339, 1656]
[headline, [584.0, 173.0, 480.0, 67.5], shoonya_4sV1X17MOS7YCY, 5690472]
[paragraph, [162.0, 282.0, 1325.0, 36.0], shoonya_1sFWKZP4ZYXYVM, 5690472]
[paragraph, [162.0, 318.0, 1325.0, 36.0], shoonya_1sFWKZP4ZYXYVM, 5690472]
[paragraph, [162.0, 354.0, 1325.0, 36.0], shoonya_1sFWKZP4ZYXYVM, 5690472]
[paragraph, [162.0, 390.0, 1325.0, 36.0], shoonya_1sFWKZP4ZYXYVM, 5690472]
[paragraph, [162.0, 426.0, 1325.0, 36.0], shoonya_1sFWKZP4ZYXYVM, 5690472]
[paragraph, [162.0, 462.0, 1325.0, 36.0], shoonya_1sFWKZP4ZYXYVM, 5690472]
[paragraph, [162.0, 498.0, 1325.0, 36.0], shoonya_1sFWKZP4ZYXYVM, 5690472]
[paragraph, [162.0, 534.0, 1325.0, 36.0], shoonya_1sFWKZP4ZYXYVM, 5690472]
[paragraph, [162.0, 570.0, 1325.0, 36.0], shoonya_1sFWKZP4ZYXYVM, 5690472]
[paragraph, [162.0, 606.0, 1325.0, 36.0], shoonya_1sFWKZP4ZYXYVM, 5690472]
[paragraph, [162.0, 642.0, 1325.0, 36.0], shoonya_1sFWKZP4ZYXYVM, 5690472]
[paragraph, [163.0, 708.0, 1324.0, 36.0], shoonya_3sEEHLDQAUEQA7, 5690472]
[paragraph, [163.0, 744.0, 1324.0, 36.0], shoonya_3sEEHLDQAUEQA7, 5690472]
[paragraph, [163.0, 780.0, 1324.0, 36.0], shoonya_3sEEHLDQAUEQA7, 5690472]
[paragraph, [163.0, 816.0, 1324.0, 36.0], shoonya_3sEEHLDQAUEQA7, 5690472]
[paragraph, [163.0, 852.0, 1324.0, 36.0], shoonya_3sEEHLDQAUEQA7, 5690472]
[paragraph, [163.0, 888.0, 1324.0, 36.0], shoonya_3sEEHLDQAUEQA7, 5690472]
[paragraph, [163.0, 924.0, 1324.0, 36.0], shoonya_3sEEHLDQAUEQA7, 5690472]
