[1754, 1241]
[ordered-list, [196.0, 137.0, 903.0, 36.0], KkWQd_mxFO, 5706597]
[ordered-list, [196.0, 173.0, 903.0, 36.0], KkWQd_mxFO, 5706597]
[ordered-list, [196.0, 209.0, 903.0, 36.0], KkWQd_mxFO, 5706597]
[ordered-list, [196.0, 245.0, 903.0, 36.0], KkWQd_mxFO, 5706597]
[ordered-list, [127.0, 345.0, 966.0, 36.0], wBrqrWs5Ct, 5706597]
[ordered-list, [127.0, 381.0, 966.0, 36.0], wBrqrWs5Ct, 5706597]
[ordered-list, [127.0, 417.0, 966.0, 36.0], wBrqrWs5Ct, 5706597]
[ordered-list, [127.0, 453.0, 966.0, 36.0], wBrqrWs5Ct, 5706597]
[ordered-list, [127.0, 489.0, 966.0, 36.0], wBrqrWs5Ct, 5706597]
[ordered-list, [127.0, 525.0, 966.0, 36.0], wBrqrWs5Ct, 5706597]
[ordered-list, [127.0, 561.0, 966.0, 36.0], wBrqrWs5Ct, 5706597]
[ordered-list, [127.0, 597.0, 966.0, 36.0], wBrqrWs5Ct, 5706597]
[ordered-list, [127.0, 633.0, 966.0, 36.0], wBrqrWs5Ct, 5706597]
[ordered-list, [127.0, 669.0, 966.0, 36.0], wBrqrWs5Ct, 5706597]
[ordered-list, [127.0, 705.0, 966.0, 36.0], wBrqrWs5Ct, 5706597]
[ordered-list, [127.0, 741.0, 966.0, 36.0], wBrqrWs5Ct, 5706597]
[ordered-list, [127.0, 777.0, 966.0, 36.0], wBrqrWs5Ct, 5706597]
[ordered-list, [127.0, 813.0, 966.0, 36.0], wBrqrWs5Ct, 5706597]
[ordered-list, [127.0, 849.0, 966.0, 36.0], wBrqrWs5Ct, 5706597]
[ordered-list, [127.0, 885.0, 966.0, 36.0], wBrqrWs5Ct, 5706597]
[ordered-list, [127.0, 921.0, 966.0, 36.0], wBrqrWs5Ct, 5706597]
[ordered-list, [127.0, 957.0, 966.0, 36.0], wBrqrWs5Ct, 5706597]
[ordered-list, [127.0, 993.0, 966.0, 36.0], wBrqrWs5Ct, 5706597]
[ordered-list, [127.0, 1029.0, 966.0, 36.0], wBrqrWs5Ct, 5706597]
[ordered-list, [127.0, 1065.0, 966.0, 36.0], wBrqrWs5Ct, 5706597]
[ordered-list, [127.0, 1101.0, 966.0, 36.0], wBrqrWs5Ct, 5706597]
[ordered-list, [127.0, 1137.0, 966.0, 36.0], wBrqrWs5Ct, 5706597]
